<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OPUSDTSWAP,60,20250531,190000,0.6348,0.6465,0.633,0.6439,2199845.44
OPUSDTSWAP,60,20250531,200000,0.6439,0.6474,0.6395,0.6406,1670500.68
OPUSDTSWAP,60,20250531,210000,0.6406,0.6551,0.6401,0.6548,1583221.76
OPUSDTSWAP,60,20250531,220000,0.6549,0.6612,0.6537,0.6558,1781901.69
OPUSDTSWAP,60,20250531,230000,0.6558,0.6583,0.6529,0.656,713059.21
OPUSDTSWAP,60,20250601,000000,0.6561,0.6607,0.6532,0.6579,1817612.86
OPUSDTSWAP,60,20250601,010000,0.658,0.6589,0.6526,0.6538,1018829.43
OPUSDTSWAP,60,20250601,020000,0.6537,0.6608,0.6489,0.6496,2403409.76
OPUSDTSWAP,60,20250601,030000,0.6495,0.6519,0.6446,0.6518,2030405.2
OPUSDTSWAP,60,20250601,040000,0.6517,0.6553,0.6461,0.6491,1783494.36
OPUSDTSWAP,60,20250601,050000,0.649,0.6567,0.6434,0.656,1988653.47
OPUSDTSWAP,60,20250601,060000,0.6561,0.6564,0.6459,0.6509,1718918.36
OPUSDTSWAP,60,20250601,070000,0.6509,0.6589,0.6475,0.6579,1400792.78
OPUSDTSWAP,60,20250601,080000,0.6578,0.6609,0.6527,0.657,1262621.45
OPUSDTSWAP,60,20250601,090000,0.657,0.6613,0.6551,0.6591,1236444.44
OPUSDTSWAP,60,20250601,100000,0.6591,0.6616,0.6551,0.6559,1495453.08
OPUSDTSWAP,60,20250601,110000,0.6559,0.6571,0.6474,0.6503,1784210.66
OPUSDTSWAP,60,20250601,120000,0.6503,0.6519,0.6371,0.6402,2885865.57
OPUSDTSWAP,60,20250601,130000,0.6403,0.6427,0.6358,0.6394,1721521.47
OPUSDTSWAP,60,20250601,140000,0.6394,0.6449,0.6377,0.6402,1331003.17
OPUSDTSWAP,60,20250601,150000,0.6403,0.6404,0.6316,0.6337,2128460.93
OPUSDTSWAP,60,20250601,160000,0.6338,0.643,0.6333,0.6401,1421394.11
OPUSDTSWAP,60,20250601,170000,0.64,0.6566,0.6399,0.6474,2362108.8
OPUSDTSWAP,60,20250601,180000,0.6474,0.6497,0.6452,0.6482,1330885.43
OPUSDTSWAP,60,20250601,190000,0.648,0.6572,0.6469,0.6504,2524943.66
OPUSDTSWAP,60,20250601,200000,0.6504,0.6514,0.6426,0.643,1978438.1
OPUSDTSWAP,60,20250601,210000,0.643,0.6431,0.6309,0.6368,3116448.68
OPUSDTSWAP,60,20250601,220000,0.637,0.6406,0.6348,0.6397,1075700.63
OPUSDTSWAP,60,20250601,230000,0.6397,0.6427,0.6348,0.6395,981617.73
OPUSDTSWAP,60,20250602,000000,0.6395,0.6492,0.6388,0.6463,1032384.5
OPUSDTSWAP,60,20250602,010000,0.6463,0.6522,0.6446,0.6452,1281951.56
OPUSDTSWAP,60,20250602,020000,0.6454,0.6505,0.6453,0.6479,1100737.44
OPUSDTSWAP,60,20250602,030000,0.6479,0.6488,0.6435,0.6486,1395495.61
OPUSDTSWAP,60,20250602,040000,0.6485,0.6523,0.6425,0.6431,1449290.5
OPUSDTSWAP,60,20250602,050000,0.6431,0.6437,0.6375,0.6394,1258277.88
OPUSDTSWAP,60,20250602,060000,0.6395,0.6401,0.6339,0.6369,1447475.0
OPUSDTSWAP,60,20250602,070000,0.6369,0.6395,0.635,0.6362,1009964.18
OPUSDTSWAP,60,20250602,080000,0.6363,0.6409,0.6325,0.6363,936634.87
OPUSDTSWAP,60,20250602,090000,0.6363,0.6461,0.6341,0.643,1643005.5
OPUSDTSWAP,60,20250602,100000,0.6429,0.6529,0.6429,0.6493,1967797.32
OPUSDTSWAP,60,20250602,110000,0.6492,0.6546,0.6398,0.6411,3027638.98
OPUSDTSWAP,60,20250602,120000,0.6412,0.6413,0.6318,0.6339,2811803.06
OPUSDTSWAP,60,20250602,130000,0.6337,0.635,0.6274,0.6332,3300578.29
OPUSDTSWAP,60,20250602,140000,0.6333,0.6415,0.6323,0.6375,2851228.06
OPUSDTSWAP,60,20250602,150000,0.6374,0.6431,0.6317,0.6412,1891226.35
OPUSDTSWAP,60,20250602,160000,0.6413,0.6494,0.6375,0.6408,2621996.09
OPUSDTSWAP,60,20250602,170000,0.6406,0.6552,0.6385,0.6477,3008469.0
