<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PARTIUSDTSWAP,1440,20250325,030000,0.3406,0.4398,0.3,0.3285,33889852.59
PARTIUSDTSWAP,1440,20250326,030000,0.3284,0.4076,0.312,0.343,44881246.42
PARTIUSDTSWAP,1440,20250327,030000,0.3431,0.384,0.3223,0.3422,25070141.33
PARTIUSDTSWAP,1440,20250328,030000,0.3422,0.3589,0.297,0.3115,20936442.76
PARTIUSDTSWAP,1440,20250329,030000,0.3114,0.3165,0.2398,0.2495,20025214.12
PARTIUSDTSWAP,1440,20250330,030000,0.2495,0.2758,0.2236,0.2581,18436455.45
PARTIUSDTSWAP,1440,20250331,030000,0.2581,0.2633,0.2292,0.2335,10220910.99
PARTIUSDTSWAP,1440,20250401,030000,0.2334,0.24,0.2127,0.213,8853938.91
PARTIUSDTSWAP,1440,20250402,030000,0.213,0.2133,0.1829,0.1834,14411940.18
PARTIUSDTSWAP,1440,20250403,030000,0.1834,0.2076,0.1827,0.1928,10695486.54
PARTIUSDTSWAP,1440,20250404,030000,0.1928,0.1979,0.1852,0.1884,8049465.17
PARTIUSDTSWAP,1440,20250405,030000,0.1883,0.2277,0.1668,0.1712,21554720.77
PARTIUSDTSWAP,1440,20250406,030000,0.1711,0.1777,0.1547,0.167,10036022.61
PARTIUSDTSWAP,1440,20250407,030000,0.167,0.1833,0.1599,0.176,11185106.73
PARTIUSDTSWAP,1440,20250408,030000,0.176,0.1812,0.1628,0.1774,7974816.26
PARTIUSDTSWAP,1440,20250409,030000,0.1774,0.2116,0.1741,0.2011,13146347.81
PARTIUSDTSWAP,1440,20250410,030000,0.2012,0.2027,0.1731,0.1759,8754019.65
PARTIUSDTSWAP,1440,20250411,030000,0.1759,0.192,0.1673,0.184,7912629.31
PARTIUSDTSWAP,1440,20250412,030000,0.1839,0.2205,0.1762,0.2015,9604504.47
PARTIUSDTSWAP,1440,20250413,030000,0.2016,0.2087,0.1735,0.1784,5152136.98
PARTIUSDTSWAP,1440,20250414,030000,0.1785,0.1828,0.1592,0.1605,4678333.45
