<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PARTIUSDTSWAP,60,20250531,190000,0.2195,0.2349,0.2186,0.234,171509.62
PARTIUSDTSWAP,60,20250531,200000,0.2339,0.2343,0.2259,0.2269,164013.49
PARTIUSDTSWAP,60,20250531,210000,0.2269,0.2425,0.2261,0.2324,176736.49
PARTIUSDTSWAP,60,20250531,220000,0.2324,0.2357,0.2286,0.2289,87148.37
PARTIUSDTSWAP,60,20250531,230000,0.2289,0.233,0.2286,0.2314,50374.25
PARTIUSDTSWAP,60,20250601,000000,0.2313,0.2316,0.2271,0.2278,28999.01
PARTIUSDTSWAP,60,20250601,010000,0.2276,0.2293,0.2258,0.2274,23791.94
PARTIUSDTSWAP,60,20250601,020000,0.2274,0.2292,0.2256,0.2261,22159.22
PARTIUSDTSWAP,60,20250601,030000,0.226,0.2269,0.222,0.224,48595.88
PARTIUSDTSWAP,60,20250601,040000,0.2239,0.2259,0.2219,0.2223,25949.11
PARTIUSDTSWAP,60,20250601,050000,0.2222,0.2255,0.2198,0.2248,75333.35
PARTIUSDTSWAP,60,20250601,060000,0.225,0.2256,0.2217,0.2235,60765.53
PARTIUSDTSWAP,60,20250601,070000,0.2235,0.2259,0.2234,0.225,19090.92
PARTIUSDTSWAP,60,20250601,080000,0.2249,0.234,0.2243,0.2332,80869.32
PARTIUSDTSWAP,60,20250601,090000,0.2333,0.2367,0.2323,0.2348,99854.27
PARTIUSDTSWAP,60,20250601,100000,0.2347,0.2418,0.2325,0.2405,160867.84
PARTIUSDTSWAP,60,20250601,110000,0.2404,0.2437,0.2348,0.2382,196081.54
PARTIUSDTSWAP,60,20250601,120000,0.2384,0.2413,0.2335,0.2347,121328.67
PARTIUSDTSWAP,60,20250601,130000,0.2347,0.2367,0.2331,0.2354,57455.97
PARTIUSDTSWAP,60,20250601,140000,0.2354,0.2368,0.2302,0.2314,79955.49
PARTIUSDTSWAP,60,20250601,150000,0.2314,0.2318,0.228,0.2294,66156.8
PARTIUSDTSWAP,60,20250601,160000,0.2295,0.2332,0.2286,0.231,66811.58
PARTIUSDTSWAP,60,20250601,170000,0.2311,0.2336,0.2297,0.2321,48194.52
PARTIUSDTSWAP,60,20250601,180000,0.2321,0.233,0.2303,0.2308,36718.45
PARTIUSDTSWAP,60,20250601,190000,0.2308,0.2345,0.2293,0.233,44268.36
PARTIUSDTSWAP,60,20250601,200000,0.233,0.2339,0.2306,0.2333,28710.96
PARTIUSDTSWAP,60,20250601,210000,0.2333,0.2345,0.2305,0.2337,30997.4
PARTIUSDTSWAP,60,20250601,220000,0.2338,0.2386,0.2338,0.2384,65358.09
PARTIUSDTSWAP,60,20250601,230000,0.2384,0.243,0.237,0.243,55095.19
PARTIUSDTSWAP,60,20250602,000000,0.2429,0.2484,0.2411,0.2479,56745.08
PARTIUSDTSWAP,60,20250602,010000,0.2478,0.2481,0.2431,0.2439,44691.47
PARTIUSDTSWAP,60,20250602,020000,0.2439,0.2485,0.2432,0.2468,56535.29
PARTIUSDTSWAP,60,20250602,030000,0.2468,0.2474,0.2415,0.2427,73358.59
PARTIUSDTSWAP,60,20250602,040000,0.2428,0.2442,0.2396,0.2396,33449.1
PARTIUSDTSWAP,60,20250602,050000,0.2396,0.2415,0.2377,0.2388,37152.62
PARTIUSDTSWAP,60,20250602,060000,0.2388,0.2402,0.2376,0.2381,28489.32
PARTIUSDTSWAP,60,20250602,070000,0.238,0.2392,0.2351,0.2356,34203.22
PARTIUSDTSWAP,60,20250602,080000,0.2356,0.2416,0.2356,0.2409,44550.55
PARTIUSDTSWAP,60,20250602,090000,0.2409,0.2485,0.2382,0.2478,78420.42
PARTIUSDTSWAP,60,20250602,100000,0.2478,0.2513,0.2444,0.2489,154521.39
PARTIUSDTSWAP,60,20250602,110000,0.2489,0.2501,0.2457,0.2474,86567.92
PARTIUSDTSWAP,60,20250602,120000,0.2474,0.2478,0.2442,0.2454,61796.56
PARTIUSDTSWAP,60,20250602,130000,0.2453,0.2456,0.2416,0.2451,65804.42
PARTIUSDTSWAP,60,20250602,140000,0.245,0.2529,0.2441,0.2506,310367.22
PARTIUSDTSWAP,60,20250602,150000,0.2505,0.2527,0.2401,0.2413,254540.57
PARTIUSDTSWAP,60,20250602,160000,0.2414,0.2455,0.2409,0.2429,105357.34
PARTIUSDTSWAP,60,20250602,170000,0.2428,0.2464,0.2416,0.2443,62377.99
PARTIUSDTSWAP,60,20250602,180000,0.2444,0.2469,0.2426,0.2465,43638.6
PARTIUSDTSWAP,60,20250602,190000,0.2466,0.2484,0.2439,0.2476,56466.71
PARTIUSDTSWAP,60,20250602,200000,0.2477,0.2552,0.2468,0.2513,145657.26
PARTIUSDTSWAP,60,20250602,210000,0.2513,0.2557,0.2484,0.2487,66522.63
PARTIUSDTSWAP,60,20250602,220000,0.2488,0.2489,0.2413,0.2443,69354.49
PARTIUSDTSWAP,60,20250602,230000,0.2443,0.2464,0.2409,0.242,83888.71
PARTIUSDTSWAP,60,20250603,000000,0.2419,0.2451,0.241,0.2419,52626.8
PARTIUSDTSWAP,60,20250603,010000,0.2421,0.2473,0.2421,0.2444,54457.73
PARTIUSDTSWAP,60,20250603,020000,0.2445,0.2479,0.2439,0.2457,41636.15
PARTIUSDTSWAP,60,20250603,030000,0.2457,0.2462,0.2421,0.2439,70520.32
PARTIUSDTSWAP,60,20250603,040000,0.2439,0.2497,0.2426,0.2449,124383.39
PARTIUSDTSWAP,60,20250603,050000,0.245,0.2478,0.2442,0.2477,63969.99
PARTIUSDTSWAP,60,20250603,060000,0.2477,0.2488,0.2453,0.2456,48848.92
PARTIUSDTSWAP,60,20250603,070000,0.2456,0.2483,0.2439,0.2475,39844.92
PARTIUSDTSWAP,60,20250603,080000,0.2476,0.2505,0.2465,0.2483,28805.29
PARTIUSDTSWAP,60,20250603,090000,0.2484,0.2511,0.2478,0.2506,36858.59
PARTIUSDTSWAP,60,20250603,100000,0.2505,0.2519,0.2482,0.2489,32765.15
PARTIUSDTSWAP,60,20250603,110000,0.2489,0.2497,0.2463,0.2472,32130.0
PARTIUSDTSWAP,60,20250603,120000,0.2472,0.2519,0.2467,0.2499,31654.7
PARTIUSDTSWAP,60,20250603,130000,0.2498,0.2518,0.2481,0.2509,24029.01
PARTIUSDTSWAP,60,20250603,140000,0.2509,0.253,0.2496,0.2527,22418.17
PARTIUSDTSWAP,60,20250603,150000,0.2527,0.2528,0.2482,0.249,26215.35
PARTIUSDTSWAP,60,20250603,160000,0.249,0.2513,0.247,0.2485,32740.01
PARTIUSDTSWAP,60,20250603,170000,0.2486,0.2515,0.2481,0.2512,25417.86
PARTIUSDTSWAP,60,20250603,180000,0.2513,0.2525,0.2494,0.2505,41818.33
PARTIUSDTSWAP,60,20250603,190000,0.2505,0.2518,0.2496,0.2498,31996.87
PARTIUSDTSWAP,60,20250603,200000,0.2499,0.2516,0.2491,0.2492,26036.08
PARTIUSDTSWAP,60,20250603,210000,0.2491,0.2492,0.2455,0.2465,44872.13
PARTIUSDTSWAP,60,20250603,220000,0.2466,0.2503,0.2466,0.2484,24680.22
PARTIUSDTSWAP,60,20250603,230000,0.2484,0.2494,0.2463,0.2464,25071.01
PARTIUSDTSWAP,60,20250604,000000,0.2464,0.2485,0.2435,0.2457,34651.23
PARTIUSDTSWAP,60,20250604,010000,0.2455,0.2488,0.2455,0.2488,22574.46
PARTIUSDTSWAP,60,20250604,020000,0.2489,0.2499,0.2477,0.2493,20329.65
PARTIUSDTSWAP,60,20250604,030000,0.2494,0.2507,0.2445,0.2472,33781.23
