<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PARTIUSDTSWAP,3,20250604,172700,0.2343,0.2344,0.2339,0.2343,715.55
PARTIUSDTSWAP,3,20250604,173000,0.2342,0.2347,0.2342,0.2346,512.9
PARTIUSDTSWAP,3,20250604,173300,0.2347,0.2351,0.2347,0.2349,616.09
PARTIUSDTSWAP,3,20250604,173600,0.2348,0.2348,0.2336,0.2339,1784.25
PARTIUSDTSWAP,3,20250604,173900,0.2338,0.2344,0.2335,0.2344,744.42
PARTIUSDTSWAP,3,20250604,174200,0.2344,0.2344,0.2338,0.2341,1392.34
PARTIUSDTSWAP,3,20250604,174500,0.234,0.2342,0.2335,0.2342,734.53
PARTIUSDTSWAP,3,20250604,174800,0.2342,0.2344,0.2339,0.2339,1238.45
PARTIUSDTSWAP,3,20250604,175100,0.2339,0.2343,0.2337,0.2343,1165.52
PARTIUSDTSWAP,3,20250604,175400,0.2342,0.2348,0.2342,0.2347,455.52
PARTIUSDTSWAP,3,20250604,175700,0.2347,0.2348,0.2342,0.2345,1412.66
PARTIUSDTSWAP,3,20250604,180000,0.2346,0.2347,0.234,0.234,1223.44
PARTIUSDTSWAP,3,20250604,180300,0.2339,0.2339,0.2333,0.2337,1472.17
PARTIUSDTSWAP,3,20250604,180600,0.2338,0.2354,0.2338,0.234,5448.94
PARTIUSDTSWAP,3,20250604,180900,0.234,0.2345,0.2339,0.2344,972.04
PARTIUSDTSWAP,3,20250604,181200,0.2342,0.2345,0.2337,0.234,3659.61
PARTIUSDTSWAP,3,20250604,181500,0.2341,0.2348,0.234,0.2344,1070.07
PARTIUSDTSWAP,3,20250604,181800,0.2344,0.2346,0.234,0.2341,1336.55
PARTIUSDTSWAP,3,20250604,182100,0.2342,0.2348,0.2339,0.2346,3198.0
PARTIUSDTSWAP,3,20250604,182400,0.2346,0.2349,0.2344,0.2344,949.19
PARTIUSDTSWAP,3,20250604,182700,0.2344,0.2356,0.2344,0.2356,1733.15
PARTIUSDTSWAP,3,20250604,183000,0.2357,0.2364,0.2355,0.2362,2279.22
PARTIUSDTSWAP,3,20250604,183300,0.2363,0.2372,0.2363,0.237,1596.68
PARTIUSDTSWAP,3,20250604,183600,0.2371,0.2372,0.2365,0.237,1746.24
PARTIUSDTSWAP,3,20250604,183900,0.237,0.2372,0.2369,0.237,456.94
PARTIUSDTSWAP,3,20250604,184200,0.2371,0.2372,0.2364,0.2365,1348.62
PARTIUSDTSWAP,3,20250604,184500,0.2366,0.2373,0.2365,0.2367,1055.95
PARTIUSDTSWAP,3,20250604,184800,0.2368,0.237,0.2364,0.2368,1060.63
PARTIUSDTSWAP,3,20250604,185100,0.2368,0.2371,0.2366,0.2368,1919.97
PARTIUSDTSWAP,3,20250604,185400,0.2368,0.2379,0.2365,0.2379,1189.68
PARTIUSDTSWAP,3,20250604,185700,0.2377,0.2378,0.2371,0.2373,1035.42
PARTIUSDTSWAP,3,20250604,190000,0.2374,0.2374,0.2361,0.2362,2056.83
PARTIUSDTSWAP,3,20250604,190300,0.2362,0.2363,0.2353,0.2353,2317.83
PARTIUSDTSWAP,3,20250604,190600,0.2353,0.2357,0.2347,0.2348,1591.33
PARTIUSDTSWAP,3,20250604,190900,0.2348,0.2357,0.2348,0.2353,1700.89
PARTIUSDTSWAP,3,20250604,191200,0.2355,0.2355,0.235,0.235,1149.71
PARTIUSDTSWAP,3,20250604,191500,0.2349,0.2351,0.2342,0.2342,1018.29
PARTIUSDTSWAP,3,20250604,191800,0.2344,0.2344,0.2338,0.2342,943.23
PARTIUSDTSWAP,3,20250604,192100,0.2343,0.2344,0.2331,0.2336,1654.16
PARTIUSDTSWAP,3,20250604,192400,0.2336,0.2336,0.2332,0.2334,514.39
PARTIUSDTSWAP,3,20250604,192700,0.2333,0.2338,0.233,0.2335,1257.49
PARTIUSDTSWAP,3,20250604,193000,0.2335,0.2343,0.2335,0.2343,876.79
PARTIUSDTSWAP,3,20250604,193300,0.2343,0.2355,0.2343,0.2349,1476.32
PARTIUSDTSWAP,3,20250604,193600,0.235,0.2352,0.2344,0.2346,554.6
PARTIUSDTSWAP,3,20250604,193900,0.2345,0.2351,0.2345,0.2346,922.29
PARTIUSDTSWAP,3,20250604,194200,0.2346,0.2351,0.2346,0.2348,435.89
PARTIUSDTSWAP,3,20250604,194500,0.2348,0.2351,0.2345,0.235,688.9
PARTIUSDTSWAP,3,20250604,194800,0.235,0.2354,0.2349,0.2354,374.12
PARTIUSDTSWAP,3,20250604,195100,0.2353,0.2353,0.235,0.235,421.66
PARTIUSDTSWAP,3,20250604,195400,0.2352,0.2356,0.235,0.235,678.32
PARTIUSDTSWAP,3,20250604,195700,0.2351,0.2356,0.2351,0.2356,1092.74
PARTIUSDTSWAP,3,20250604,200000,0.2356,0.2357,0.2339,0.2339,641.07
PARTIUSDTSWAP,3,20250604,200300,0.234,0.2344,0.2338,0.2343,867.91
PARTIUSDTSWAP,3,20250604,200600,0.2343,0.2343,0.2336,0.2339,897.13
PARTIUSDTSWAP,3,20250604,200900,0.2339,0.2339,0.2332,0.2333,665.91
PARTIUSDTSWAP,3,20250604,201200,0.2333,0.2334,0.2327,0.2328,1644.07
PARTIUSDTSWAP,3,20250604,201500,0.2329,0.2329,0.2319,0.2322,774.86
PARTIUSDTSWAP,3,20250604,201800,0.2323,0.2324,0.2318,0.2321,1670.7
PARTIUSDTSWAP,3,20250604,202100,0.2322,0.2324,0.2318,0.2319,734.68
PARTIUSDTSWAP,3,20250604,202400,0.2318,0.232,0.231,0.2312,3137.64
PARTIUSDTSWAP,3,20250604,202700,0.2312,0.2315,0.2307,0.2307,1231.83
PARTIUSDTSWAP,3,20250604,203000,0.2307,0.2307,0.229,0.2292,7807.81
PARTIUSDTSWAP,3,20250604,203300,0.2293,0.2298,0.2291,0.2293,1889.66
PARTIUSDTSWAP,3,20250604,203600,0.2293,0.2294,0.2288,0.2293,1022.45
PARTIUSDTSWAP,3,20250604,203900,0.2294,0.2295,0.2289,0.2293,1270.42
PARTIUSDTSWAP,3,20250604,204200,0.2293,0.2293,0.2286,0.2288,2863.5
PARTIUSDTSWAP,3,20250604,204500,0.2288,0.2289,0.2276,0.228,2792.96
PARTIUSDTSWAP,3,20250604,204800,0.2281,0.2285,0.2278,0.2279,2901.43
PARTIUSDTSWAP,3,20250604,205100,0.2279,0.2285,0.2276,0.2282,2802.03
PARTIUSDTSWAP,3,20250604,205400,0.2282,0.2287,0.2282,0.2284,875.83
PARTIUSDTSWAP,3,20250604,205700,0.2285,0.2287,0.2278,0.2284,2482.2
PARTIUSDTSWAP,3,20250604,210000,0.2284,0.2291,0.2284,0.2284,1753.88
PARTIUSDTSWAP,3,20250604,210300,0.2285,0.2295,0.2285,0.2292,1216.53
PARTIUSDTSWAP,3,20250604,210600,0.2291,0.2292,0.228,0.2284,3647.27
PARTIUSDTSWAP,3,20250604,210900,0.2285,0.2293,0.2282,0.2292,1082.63
PARTIUSDTSWAP,3,20250604,211200,0.2292,0.2294,0.2289,0.2291,797.62
PARTIUSDTSWAP,3,20250604,211500,0.2292,0.2297,0.2292,0.2292,856.29
PARTIUSDTSWAP,3,20250604,211800,0.2293,0.2296,0.2291,0.2291,1071.06
PARTIUSDTSWAP,3,20250604,212100,0.2291,0.2293,0.2288,0.2289,619.26
PARTIUSDTSWAP,3,20250604,212400,0.2289,0.2295,0.2289,0.2292,1281.61
PARTIUSDTSWAP,3,20250604,212700,0.2292,0.2293,0.2291,0.2292,86.64
PARTIUSDTSWAP,3,20250604,213000,0.2292,0.2297,0.2292,0.2293,1130.64
PARTIUSDTSWAP,3,20250604,213300,0.2293,0.2293,0.2286,0.2287,278.37
PARTIUSDTSWAP,3,20250604,213600,0.2288,0.2288,0.2283,0.2283,567.88
PARTIUSDTSWAP,3,20250604,213900,0.2283,0.2286,0.2283,0.2285,773.94
PARTIUSDTSWAP,3,20250604,214200,0.2285,0.2285,0.2283,0.2284,1193.68
PARTIUSDTSWAP,3,20250604,214500,0.2284,0.2287,0.2281,0.2281,2244.26
PARTIUSDTSWAP,3,20250604,214800,0.2281,0.2282,0.2277,0.2277,969.42
PARTIUSDTSWAP,3,20250604,215100,0.2277,0.2278,0.2269,0.2271,1760.58
PARTIUSDTSWAP,3,20250604,215400,0.2271,0.2271,0.2263,0.2264,1304.01
PARTIUSDTSWAP,3,20250604,215700,0.2265,0.2266,0.2262,0.2265,937.94
PARTIUSDTSWAP,3,20250604,220000,0.2266,0.2267,0.2264,0.2264,844.54
PARTIUSDTSWAP,3,20250604,220300,0.2264,0.2273,0.2262,0.2272,2635.07
PARTIUSDTSWAP,3,20250604,220600,0.2272,0.2282,0.2266,0.2282,4692.13
PARTIUSDTSWAP,3,20250604,220900,0.2283,0.2283,0.2274,0.2277,986.94
PARTIUSDTSWAP,3,20250604,221200,0.2278,0.2285,0.2278,0.2284,1648.59
