<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PENGUUSDTSWAP,1440,20250225,030000,0.007224,0.00855,0.006705,0.008058,421919.33
PENGUUSDTSWAP,1440,20250226,030000,0.008059,0.008529,0.007863,0.008341,301747.61
PENGUUSDTSWAP,1440,20250227,030000,0.008342,0.008881,0.007997,0.008099,212282.72
PENGUUSDTSWAP,1440,20250228,030000,0.0081,0.009522,0.007592,0.009091,489062.45
PENGUUSDTSWAP,1440,20250301,030000,0.009092,0.009329,0.008656,0.008762,220906.54
PENGUUSDTSWAP,1440,20250302,030000,0.008762,0.009386,0.008485,0.009244,259510.38
PENGUUSDTSWAP,1440,20250303,030000,0.009245,0.009266,0.006924,0.007108,335222.68
PENGUUSDTSWAP,1440,20250304,030000,0.007107,0.007177,0.006236,0.006727,373028.23
PENGUUSDTSWAP,1440,20250305,030000,0.006728,0.00682,0.006353,0.006567,179972.82
PENGUUSDTSWAP,1440,20250306,030000,0.006569,0.006694,0.006016,0.00621,222670.27
PENGUUSDTSWAP,1440,20250307,030000,0.006211,0.006945,0.005901,0.006392,389187.5
PENGUUSDTSWAP,1440,20250308,030000,0.006391,0.006566,0.005907,0.00608,186449.45
PENGUUSDTSWAP,1440,20250309,030000,0.00608,0.006262,0.005289,0.005521,219894.62
PENGUUSDTSWAP,1440,20250310,030000,0.005522,0.00598,0.005456,0.005597,168718.25
PENGUUSDTSWAP,1440,20250311,030000,0.005599,0.00632,0.005095,0.006209,224744.95
PENGUUSDTSWAP,1440,20250312,030000,0.006208,0.006423,0.005754,0.006013,251240.74
PENGUUSDTSWAP,1440,20250313,030000,0.006013,0.007163,0.0057,0.005946,391075.57
PENGUUSDTSWAP,1440,20250314,030000,0.005946,0.006816,0.005906,0.006556,355772.81
PENGUUSDTSWAP,1440,20250315,030000,0.006556,0.006963,0.006533,0.006713,245369.31
PENGUUSDTSWAP,1440,20250316,030000,0.006712,0.006912,0.006303,0.006361,292579.16
PENGUUSDTSWAP,1440,20250317,030000,0.00636,0.007228,0.006331,0.007048,374468.27
PENGUUSDTSWAP,1440,20250318,030000,0.007049,0.007052,0.006115,0.006395,284872.06
PENGUUSDTSWAP,1440,20250319,030000,0.006395,0.006939,0.006262,0.006766,403785.4
PENGUUSDTSWAP,1440,20250320,030000,0.006765,0.007597,0.006414,0.006429,884645.72
PENGUUSDTSWAP,1440,20250321,030000,0.006428,0.006713,0.006154,0.006396,253094.12
