<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PENGUUSDTSWAP,60,20250531,190000,0.009914,0.010272,0.009856,0.010157,10305.91
PENGUUSDTSWAP,60,20250531,200000,0.010158,0.010165,0.009988,0.010004,6306.4
PENGUUSDTSWAP,60,20250531,210000,0.010006,0.010181,0.009995,0.010141,3276.62
PENGUUSDTSWAP,60,20250531,220000,0.010142,0.010276,0.010142,0.010218,6528.95
PENGUUSDTSWAP,60,20250531,230000,0.010217,0.010263,0.010178,0.010223,4198.24
PENGUUSDTSWAP,60,20250601,000000,0.010226,0.010294,0.01017,0.010217,4442.37
PENGUUSDTSWAP,60,20250601,010000,0.010218,0.010238,0.010112,0.010141,2180.21
PENGUUSDTSWAP,60,20250601,020000,0.01014,0.010227,0.010089,0.010155,3799.73
PENGUUSDTSWAP,60,20250601,030000,0.010153,0.010288,0.010095,0.010228,4202.89
PENGUUSDTSWAP,60,20250601,040000,0.010228,0.010277,0.010084,0.010114,3690.98
PENGUUSDTSWAP,60,20250601,050000,0.010115,0.010223,0.009984,0.010179,5610.34
PENGUUSDTSWAP,60,20250601,060000,0.010181,0.010252,0.010105,0.010183,3252.64
PENGUUSDTSWAP,60,20250601,070000,0.010185,0.010364,0.010127,0.010313,4555.28
PENGUUSDTSWAP,60,20250601,080000,0.010313,0.010413,0.010299,0.010371,4632.51
PENGUUSDTSWAP,60,20250601,090000,0.01037,0.010446,0.010289,0.010351,5199.28
PENGUUSDTSWAP,60,20250601,100000,0.010348,0.01053,0.010265,0.010524,6605.71
PENGUUSDTSWAP,60,20250601,110000,0.01052,0.010567,0.010387,0.010407,6754.01
PENGUUSDTSWAP,60,20250601,120000,0.010407,0.010445,0.010096,0.010233,12563.98
PENGUUSDTSWAP,60,20250601,130000,0.010232,0.010332,0.010206,0.0103,5799.16
PENGUUSDTSWAP,60,20250601,140000,0.0103,0.010397,0.010224,0.010327,5578.98
PENGUUSDTSWAP,60,20250601,150000,0.010327,0.010362,0.010177,0.010233,4783.72
PENGUUSDTSWAP,60,20250601,160000,0.01023,0.010393,0.010209,0.010343,3895.5
