<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEOPLEUSDTSWAP,1440,20250225,030000,0.01754,0.02049,0.01657,0.01959,796790.47
PEOPLEUSDTSWAP,1440,20250226,030000,0.01959,0.02096,0.01929,0.0208,414251.79
PEOPLEUSDTSWAP,1440,20250227,030000,0.0208,0.0218,0.02019,0.02083,317419.02
PEOPLEUSDTSWAP,1440,20250228,030000,0.02082,0.02223,0.01906,0.02134,514545.44
PEOPLEUSDTSWAP,1440,20250301,030000,0.02135,0.02152,0.01928,0.01994,290713.21
PEOPLEUSDTSWAP,1440,20250302,030000,0.01994,0.02374,0.01951,0.02351,428114.89
PEOPLEUSDTSWAP,1440,20250303,030000,0.02351,0.02393,0.01938,0.01954,509495.72
PEOPLEUSDTSWAP,1440,20250304,030000,0.01953,0.01974,0.01646,0.018,822293.42
PEOPLEUSDTSWAP,1440,20250305,030000,0.018,0.01885,0.01762,0.01846,279216.86
PEOPLEUSDTSWAP,1440,20250306,030000,0.01846,0.01874,0.01735,0.01777,325531.3
PEOPLEUSDTSWAP,1440,20250307,030000,0.01778,0.01871,0.01661,0.01756,412389.82
PEOPLEUSDTSWAP,1440,20250308,030000,0.01756,0.01765,0.01624,0.01681,278293.74
PEOPLEUSDTSWAP,1440,20250309,030000,0.01681,0.01687,0.01358,0.01425,548842.92
PEOPLEUSDTSWAP,1440,20250310,030000,0.01426,0.01608,0.01413,0.0147,499949.23
PEOPLEUSDTSWAP,1440,20250311,030000,0.01471,0.01558,0.01345,0.01499,538591.0
PEOPLEUSDTSWAP,1440,20250312,030000,0.01499,0.01567,0.01446,0.01537,300418.13
PEOPLEUSDTSWAP,1440,20250313,030000,0.01536,0.01574,0.01471,0.0153,295673.23
PEOPLEUSDTSWAP,1440,20250314,030000,0.0153,0.01632,0.01521,0.01569,229284.13
PEOPLEUSDTSWAP,1440,20250315,030000,0.0157,0.01671,0.01547,0.01653,168190.66
PEOPLEUSDTSWAP,1440,20250316,030000,0.01654,0.0169,0.01522,0.01539,204568.84
PEOPLEUSDTSWAP,1440,20250317,030000,0.0154,0.01693,0.01536,0.01675,369553.45
PEOPLEUSDTSWAP,1440,20250318,030000,0.01675,0.0168,0.01582,0.01676,291657.77
PEOPLEUSDTSWAP,1440,20250319,030000,0.01676,0.01705,0.01614,0.01701,258897.05
PEOPLEUSDTSWAP,1440,20250320,030000,0.017,0.01734,0.01633,0.01701,253897.92
PEOPLEUSDTSWAP,1440,20250321,030000,0.017,0.01763,0.01613,0.01634,326525.99
PEOPLEUSDTSWAP,1440,20250322,030000,0.01634,0.01795,0.01626,0.01718,334479.62
PEOPLEUSDTSWAP,1440,20250323,030000,0.01718,0.01765,0.01692,0.01739,163535.97
PEOPLEUSDTSWAP,1440,20250324,030000,0.01739,0.01861,0.01703,0.01827,327077.85
PEOPLEUSDTSWAP,1440,20250325,030000,0.01827,0.01854,0.01768,0.01825,188986.4
PEOPLEUSDTSWAP,1440,20250326,030000,0.01824,0.01924,0.0179,0.01847,255395.22
PEOPLEUSDTSWAP,1440,20250327,030000,0.01847,0.01931,0.01797,0.01828,261360.27
PEOPLEUSDTSWAP,1440,20250328,030000,0.01828,0.0187,0.01598,0.0163,509196.47
PEOPLEUSDTSWAP,1440,20250329,030000,0.0163,0.01658,0.01473,0.01519,288307.07
PEOPLEUSDTSWAP,1440,20250330,030000,0.01519,0.01562,0.01468,0.01505,202925.56
PEOPLEUSDTSWAP,1440,20250331,030000,0.01504,0.01533,0.01432,0.01483,271745.67
PEOPLEUSDTSWAP,1440,20250401,030000,0.01483,0.01553,0.01455,0.01479,204997.64
PEOPLEUSDTSWAP,1440,20250402,030000,0.01478,0.0148,0.01265,0.01303,534559.36
PEOPLEUSDTSWAP,1440,20250403,030000,0.01303,0.01369,0.01229,0.01291,371424.32
PEOPLEUSDTSWAP,1440,20250404,030000,0.01291,0.01334,0.0123,0.01308,248324.65
PEOPLEUSDTSWAP,1440,20250405,030000,0.01309,0.01341,0.01281,0.0131,114841.19
PEOPLEUSDTSWAP,1440,20250406,030000,0.01309,0.0131,0.01094,0.01128,389774.63
PEOPLEUSDTSWAP,1440,20250407,030000,0.01129,0.01273,0.01042,0.01205,522169.39
PEOPLEUSDTSWAP,1440,20250408,030000,0.01204,0.01233,0.01121,0.0114,236507.29
PEOPLEUSDTSWAP,1440,20250409,030000,0.0114,0.01286,0.01087,0.01264,227896.67
PEOPLEUSDTSWAP,1440,20250410,030000,0.01265,0.01269,0.01167,0.01198,160537.2
PEOPLEUSDTSWAP,1440,20250411,030000,0.01197,0.01254,0.01189,0.01235,141885.39
PEOPLEUSDTSWAP,1440,20250412,030000,0.01235,0.01285,0.01208,0.01266,149517.68
PEOPLEUSDTSWAP,1440,20250413,030000,0.01267,0.01277,0.01095,0.01129,300007.08
PEOPLEUSDTSWAP,1440,20250414,030000,0.01128,0.01163,0.01065,0.01093,348765.18
PEOPLEUSDTSWAP,1440,20250415,030000,0.01093,0.01122,0.01025,0.01035,210985.15
PEOPLEUSDTSWAP,1440,20250416,030000,0.01034,0.01076,0.00973,0.01067,257975.09
PEOPLEUSDTSWAP,1440,20250417,030000,0.01067,0.01173,0.01062,0.01094,541383.45
PEOPLEUSDTSWAP,1440,20250418,030000,0.01094,0.01166,0.01094,0.01153,246029.9
PEOPLEUSDTSWAP,1440,20250419,030000,0.01153,0.01209,0.01136,0.01182,134221.49
PEOPLEUSDTSWAP,1440,20250420,030000,0.01182,0.01744,0.01157,0.01241,1587118.6
