<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEOPLEUSDTSWAP,60,20250531,190000,0.01981,0.02021,0.0197,0.02012,19245.61
PEOPLEUSDTSWAP,60,20250531,200000,0.02012,0.02015,0.01991,0.01994,10801.3
PEOPLEUSDTSWAP,60,20250531,210000,0.01994,0.02031,0.01992,0.02026,8993.22
PEOPLEUSDTSWAP,60,20250531,220000,0.02027,0.02033,0.02017,0.02023,7884.28
PEOPLEUSDTSWAP,60,20250531,230000,0.02022,0.02031,0.02018,0.02024,4978.08
PEOPLEUSDTSWAP,60,20250601,000000,0.02023,0.02037,0.02018,0.02023,8721.66
PEOPLEUSDTSWAP,60,20250601,010000,0.02024,0.02026,0.02009,0.02012,5966.79
PEOPLEUSDTSWAP,60,20250601,020000,0.02011,0.02028,0.02001,0.02011,10387.42
PEOPLEUSDTSWAP,60,20250601,030000,0.0201,0.02027,0.01993,0.02013,10682.21
PEOPLEUSDTSWAP,60,20250601,040000,0.02013,0.02026,0.01981,0.01991,14510.63
PEOPLEUSDTSWAP,60,20250601,050000,0.01991,0.02015,0.01968,0.02003,19414.8
PEOPLEUSDTSWAP,60,20250601,060000,0.02003,0.02005,0.01988,0.01993,8726.85
PEOPLEUSDTSWAP,60,20250601,070000,0.01992,0.02022,0.01988,0.02012,9170.39
PEOPLEUSDTSWAP,60,20250601,080000,0.02012,0.02023,0.02006,0.02019,6325.85
PEOPLEUSDTSWAP,60,20250601,090000,0.02019,0.02029,0.02008,0.02018,6609.8
PEOPLEUSDTSWAP,60,20250601,100000,0.02017,0.02019,0.02003,0.02016,5103.8
PEOPLEUSDTSWAP,60,20250601,110000,0.02017,0.02024,0.02005,0.02013,7120.84
PEOPLEUSDTSWAP,60,20250601,120000,0.02013,0.02021,0.01961,0.01982,20235.66
PEOPLEUSDTSWAP,60,20250601,130000,0.01981,0.02005,0.01981,0.01997,10854.77
PEOPLEUSDTSWAP,60,20250601,140000,0.01997,0.02018,0.01989,0.02006,10909.19
PEOPLEUSDTSWAP,60,20250601,150000,0.02006,0.02015,0.01981,0.01994,9521.22
PEOPLEUSDTSWAP,60,20250601,160000,0.01994,0.02027,0.0199,0.02017,13794.57
PEOPLEUSDTSWAP,60,20250601,170000,0.02017,0.02069,0.02017,0.02057,23112.1
PEOPLEUSDTSWAP,60,20250601,180000,0.02057,0.0207,0.02044,0.02051,12306.68
PEOPLEUSDTSWAP,60,20250601,190000,0.02051,0.02119,0.02045,0.0209,37966.57
PEOPLEUSDTSWAP,60,20250601,200000,0.02089,0.02112,0.02075,0.02086,16112.25
PEOPLEUSDTSWAP,60,20250601,210000,0.02086,0.02088,0.02044,0.0207,19699.29
