<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEOPLEUSDTSWAP,3,20250604,172400,0.02138,0.02142,0.02137,0.02142,235.52
PEOPLEUSDTSWAP,3,20250604,172700,0.02141,0.02142,0.02136,0.02139,300.15
PEOPLEUSDTSWAP,3,20250604,173000,0.0214,0.02142,0.02138,0.02141,346.47
PEOPLEUSDTSWAP,3,20250604,173300,0.02142,0.02149,0.02141,0.02143,987.2
PEOPLEUSDTSWAP,3,20250604,173600,0.02142,0.02143,0.02138,0.02138,297.2
PEOPLEUSDTSWAP,3,20250604,173900,0.02138,0.02144,0.02138,0.02144,363.82
PEOPLEUSDTSWAP,3,20250604,174200,0.02143,0.02144,0.02139,0.02143,408.07
PEOPLEUSDTSWAP,3,20250604,174500,0.02144,0.02149,0.02141,0.02148,576.63
PEOPLEUSDTSWAP,3,20250604,174800,0.02149,0.02159,0.02148,0.02152,1522.33
PEOPLEUSDTSWAP,3,20250604,175100,0.02151,0.02157,0.02151,0.02157,732.31
PEOPLEUSDTSWAP,3,20250604,175400,0.02156,0.02169,0.02156,0.02168,1468.52
PEOPLEUSDTSWAP,3,20250604,175700,0.02168,0.02173,0.02166,0.02172,1512.61
PEOPLEUSDTSWAP,3,20250604,180000,0.02171,0.02173,0.02162,0.02162,782.21
PEOPLEUSDTSWAP,3,20250604,180300,0.02162,0.02165,0.02161,0.02163,299.57
PEOPLEUSDTSWAP,3,20250604,180600,0.02164,0.02174,0.02164,0.02167,644.24
PEOPLEUSDTSWAP,3,20250604,180900,0.02166,0.02172,0.02165,0.02171,319.1
PEOPLEUSDTSWAP,3,20250604,181200,0.02171,0.02174,0.02168,0.02171,241.22
PEOPLEUSDTSWAP,3,20250604,181500,0.02171,0.02185,0.02171,0.0218,1022.15
PEOPLEUSDTSWAP,3,20250604,181800,0.02181,0.02185,0.02176,0.02177,1362.49
PEOPLEUSDTSWAP,3,20250604,182100,0.02177,0.02182,0.02172,0.02181,945.58
PEOPLEUSDTSWAP,3,20250604,182400,0.02181,0.02186,0.0218,0.02182,1989.03
PEOPLEUSDTSWAP,3,20250604,182700,0.02182,0.02187,0.02181,0.02181,499.39
PEOPLEUSDTSWAP,3,20250604,183000,0.02182,0.02183,0.02173,0.02182,776.68
PEOPLEUSDTSWAP,3,20250604,183300,0.02182,0.02187,0.02179,0.0218,458.37
PEOPLEUSDTSWAP,3,20250604,183600,0.02179,0.02189,0.02175,0.02187,1838.75
PEOPLEUSDTSWAP,3,20250604,183900,0.02187,0.02191,0.02185,0.02188,1108.81
PEOPLEUSDTSWAP,3,20250604,184200,0.02189,0.02191,0.02181,0.02183,767.64
PEOPLEUSDTSWAP,3,20250604,184500,0.02183,0.02184,0.02177,0.02177,636.58
PEOPLEUSDTSWAP,3,20250604,184800,0.02177,0.02178,0.02172,0.02172,570.07
PEOPLEUSDTSWAP,3,20250604,185100,0.02172,0.02178,0.02171,0.02173,534.38
PEOPLEUSDTSWAP,3,20250604,185400,0.02173,0.02181,0.02173,0.02179,469.65
PEOPLEUSDTSWAP,3,20250604,185700,0.0218,0.0218,0.02173,0.02175,326.5
PEOPLEUSDTSWAP,3,20250604,190000,0.02175,0.02178,0.02164,0.02169,2316.59
PEOPLEUSDTSWAP,3,20250604,190300,0.02168,0.02173,0.02162,0.02162,1679.66
PEOPLEUSDTSWAP,3,20250604,190600,0.02162,0.02164,0.02157,0.02157,1850.0
PEOPLEUSDTSWAP,3,20250604,190900,0.02158,0.02165,0.02158,0.02165,620.62
PEOPLEUSDTSWAP,3,20250604,191200,0.02165,0.02165,0.02161,0.02162,464.44
PEOPLEUSDTSWAP,3,20250604,191500,0.02162,0.02163,0.02151,0.02152,1837.05
PEOPLEUSDTSWAP,3,20250604,191800,0.02152,0.02159,0.02149,0.02159,1299.53
PEOPLEUSDTSWAP,3,20250604,192100,0.02158,0.02161,0.0215,0.02151,935.34
PEOPLEUSDTSWAP,3,20250604,192400,0.0215,0.02151,0.02145,0.02146,482.63
PEOPLEUSDTSWAP,3,20250604,192700,0.02146,0.02151,0.02146,0.02147,400.64
PEOPLEUSDTSWAP,3,20250604,193000,0.02147,0.02151,0.02146,0.02149,341.7
