<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEPEUSDTSWAP,1440,20250225,030000,0.000007888,0.000008428,0.000007303,0.000008247,60.87
PEPEUSDTSWAP,1440,20250226,030000,0.000008247,0.0000085,0.000007824,0.000008325,38.15
PEPEUSDTSWAP,1440,20250227,030000,0.000008325,0.000008605,0.000008061,0.000008216,23.99
PEPEUSDTSWAP,1440,20250228,030000,0.000008217,0.00000826,0.000007261,0.000007929,50.22
PEPEUSDTSWAP,1440,20250301,030000,0.000007929,0.000008013,0.000007362,0.000007592,22.26
PEPEUSDTSWAP,1440,20250302,030000,0.000007593,0.00000895,0.000007555,0.000008836,41.64
PEPEUSDTSWAP,1440,20250303,030000,0.000008836,0.000008873,0.000007059,0.000007221,50.62
PEPEUSDTSWAP,1440,20250304,030000,0.00000722,0.00000728,0.000006267,0.000006987,62.38
PEPEUSDTSWAP,1440,20250305,030000,0.000006987,0.000007352,0.000006815,0.000007078,21.14
PEPEUSDTSWAP,1440,20250306,030000,0.000007077,0.000007339,0.000006762,0.000006836,20.94
PEPEUSDTSWAP,1440,20250307,030000,0.000006835,0.000007362,0.000006423,0.000006989,38.98
PEPEUSDTSWAP,1440,20250308,030000,0.000006989,0.000007044,0.000006572,0.000006673,21.4
PEPEUSDTSWAP,1440,20250309,030000,0.000006674,0.000006734,0.00000572,0.00000587,37.65
PEPEUSDTSWAP,1440,20250310,030000,0.000005871,0.000006644,0.000005631,0.000005702,43.35
PEPEUSDTSWAP,1440,20250311,030000,0.000005702,0.000006511,0.00000525,0.000006323,49.53
PEPEUSDTSWAP,1440,20250312,030000,0.000006323,0.000006976,0.000006137,0.000006952,43.83
PEPEUSDTSWAP,1440,20250313,030000,0.000006952,0.000007449,0.000006488,0.000006697,66.03
PEPEUSDTSWAP,1440,20250314,030000,0.000006698,0.00000734,0.000006681,0.000007057,35.49
PEPEUSDTSWAP,1440,20250315,030000,0.000007057,0.000007383,0.000006957,0.000007135,23.91
PEPEUSDTSWAP,1440,20250316,030000,0.000007135,0.00000718,0.000006453,0.000006586,33.56
PEPEUSDTSWAP,1440,20250317,030000,0.000006587,0.000007612,0.000006569,0.000007384,34.09
PEPEUSDTSWAP,1440,20250318,030000,0.000007385,0.000007415,0.000006713,0.000007281,40.06
PEPEUSDTSWAP,1440,20250319,030000,0.000007281,0.000007554,0.000007138,0.000007457,44.99
PEPEUSDTSWAP,1440,20250320,030000,0.000007457,0.000007863,0.000007285,0.000007644,39.09
PEPEUSDTSWAP,1440,20250321,030000,0.000007643,0.000007887,0.000007147,0.000007209,33.27
PEPEUSDTSWAP,1440,20250322,030000,0.000007209,0.000007405,0.00000701,0.000007066,17.17
PEPEUSDTSWAP,1440,20250323,030000,0.000007065,0.000007383,0.000007014,0.000007344,14.96
PEPEUSDTSWAP,1440,20250324,030000,0.000007344,0.000008187,0.000007187,0.000007993,32.52
PEPEUSDTSWAP,1440,20250325,030000,0.000007993,0.000008244,0.000007828,0.000008013,27.81
PEPEUSDTSWAP,1440,20250326,030000,0.000008014,0.000009261,0.000007962,0.000008526,54.08
PEPEUSDTSWAP,1440,20250327,030000,0.000008525,0.000008693,0.000008195,0.000008444,35.28
PEPEUSDTSWAP,1440,20250328,030000,0.000008444,0.00000852,0.000007601,0.000007785,39.51
PEPEUSDTSWAP,1440,20250329,030000,0.000007785,0.000007887,0.000007057,0.000007218,35.14
PEPEUSDTSWAP,1440,20250330,030000,0.000007219,0.000007331,0.000006762,0.000006944,31.67
PEPEUSDTSWAP,1440,20250331,030000,0.000006945,0.000007357,0.000006763,0.000007209,40.05
PEPEUSDTSWAP,1440,20250401,030000,0.000007208,0.000007869,0.000007197,0.000007723,39.17
PEPEUSDTSWAP,1440,20250402,030000,0.000007723,0.000008089,0.000006902,0.000007058,66.02
PEPEUSDTSWAP,1440,20250403,030000,0.000007058,0.000007295,0.000006384,0.000006708,42.69
PEPEUSDTSWAP,1440,20250404,030000,0.000006709,0.000007288,0.000006597,0.00000724,57.53
PEPEUSDTSWAP,1440,20250405,030000,0.000007241,0.000007375,0.000006928,0.000007058,22.54
PEPEUSDTSWAP,1440,20250406,030000,0.000007059,0.000007133,0.000006154,0.000006333,44.53
PEPEUSDTSWAP,1440,20250407,030000,0.000006333,0.000006789,0.000005706,0.000006452,79.2
PEPEUSDTSWAP,1440,20250408,030000,0.000006453,0.000006639,0.000005932,0.000006043,38.77
PEPEUSDTSWAP,1440,20250409,030000,0.000006044,0.000007137,0.000005783,0.000006976,51.81
PEPEUSDTSWAP,1440,20250410,030000,0.000006976,0.000006994,0.000006469,0.000006709,33.37
PEPEUSDTSWAP,1440,20250411,030000,0.000006708,0.000007046,0.000006632,0.000006937,20.46
PEPEUSDTSWAP,1440,20250412,030000,0.000006936,0.000007575,0.000006822,0.000007439,23.67
PEPEUSDTSWAP,1440,20250413,030000,0.000007439,0.000007768,0.000007118,0.000007276,30.08
PEPEUSDTSWAP,1440,20250414,030000,0.000007275,0.000007741,0.000007242,0.000007338,34.45
PEPEUSDTSWAP,1440,20250415,030000,0.000007339,0.000007517,0.000006896,0.000007003,33.7
PEPEUSDTSWAP,1440,20250416,030000,0.000007003,0.000007326,0.000006925,0.000007133,31.46
PEPEUSDTSWAP,1440,20250417,030000,0.000007133,0.000007438,0.000007034,0.000007235,25.3
PEPEUSDTSWAP,1440,20250418,030000,0.000007235,0.000007344,0.000007007,0.000007334,21.78
PEPEUSDTSWAP,1440,20250419,030000,0.000007334,0.000007612,0.000007155,0.00000751,18.42
PEPEUSDTSWAP,1440,20250420,030000,0.000007509,0.000007697,0.000007262,0.000007542,20.43
PEPEUSDTSWAP,1440,20250421,030000,0.000007541,0.00000806,0.000007522,0.000007743,29.58
PEPEUSDTSWAP,1440,20250422,030000,0.000007744,0.000008898,0.00000761,0.000008813,40.42
PEPEUSDTSWAP,1440,20250423,030000,0.000008813,0.000009309,0.000008643,0.00000883,45.0
PEPEUSDTSWAP,1440,20250424,030000,0.00000883,0.00000887,0.000008324,0.000008755,34.66
PEPEUSDTSWAP,1440,20250425,030000,0.000008755,0.000009288,0.000008556,0.000009045,35.28
PEPEUSDTSWAP,1440,20250426,030000,0.000009046,0.0000098,0.000009009,0.000009168,30.69
PEPEUSDTSWAP,1440,20250427,030000,0.000009169,0.000009205,0.000008712,0.000008758,23.23
PEPEUSDTSWAP,1440,20250428,030000,0.000008759,0.000009207,0.000008546,0.000008958,38.76
PEPEUSDTSWAP,1440,20250429,030000,0.000008958,0.000009155,0.000008707,0.000008856,24.46
PEPEUSDTSWAP,1440,20250430,030000,0.000008856,0.000009122,0.00000843,0.000008889,28.23
PEPEUSDTSWAP,1440,20250501,030000,0.000008889,0.000009089,0.000008657,0.000008724,25.19
PEPEUSDTSWAP,1440,20250502,030000,0.000008724,0.000008922,0.000008523,0.000008693,24.52
PEPEUSDTSWAP,1440,20250503,030000,0.000008692,0.000008721,0.000008041,0.000008167,23.18
PEPEUSDTSWAP,1440,20250504,030000,0.000008168,0.000008271,0.000007984,0.000008076,21.09
PEPEUSDTSWAP,1440,20250505,030000,0.000008076,0.00000835,0.000007771,0.000007936,29.63
PEPEUSDTSWAP,1440,20250506,030000,0.000007935,0.000008026,0.000007581,0.000007986,33.32
PEPEUSDTSWAP,1440,20250507,030000,0.000007986,0.000008312,0.00000794,0.000008246,26.57
PEPEUSDTSWAP,1440,20250508,030000,0.000008246,0.000011791,0.000008213,0.000011117,79.46
PEPEUSDTSWAP,1440,20250509,030000,0.000011115,0.000013972,0.000010629,0.000012368,131.1
PEPEUSDTSWAP,1440,20250510,030000,0.000012368,0.000014066,0.000012151,0.000013688,94.75
PEPEUSDTSWAP,1440,20250511,030000,0.000013688,0.000014256,0.000012564,0.000013609,92.87
PEPEUSDTSWAP,1440,20250512,030000,0.000013609,0.000015401,0.000012778,0.000013619,125.73
PEPEUSDTSWAP,1440,20250513,030000,0.000013619,0.000015096,0.00001273,0.000014436,95.21
PEPEUSDTSWAP,1440,20250514,030000,0.000014435,0.000014494,0.000013446,0.000013896,64.09
PEPEUSDTSWAP,1440,20250515,030000,0.000013897,0.000014145,0.000012656,0.000013018,85.42
PEPEUSDTSWAP,1440,20250516,030000,0.000013017,0.000013794,0.000012504,0.000012591,53.21
PEPEUSDTSWAP,1440,20250517,030000,0.000012593,0.000012754,0.000011954,0.000012163,57.88
PEPEUSDTSWAP,1440,20250518,030000,0.000012163,0.000014251,0.000012135,0.000013837,87.72
PEPEUSDTSWAP,1440,20250519,030000,0.000013838,0.000014194,0.000012483,0.000013269,85.24
PEPEUSDTSWAP,1440,20250520,030000,0.000013269,0.000013655,0.000012604,0.000013154,64.02
PEPEUSDTSWAP,1440,20250521,030000,0.000013155,0.000014633,0.000012792,0.000013638,103.13
PEPEUSDTSWAP,1440,20250522,030000,0.00001364,0.000015548,0.00001362,0.000015518,80.77
PEPEUSDTSWAP,1440,20250523,030000,0.000015521,0.000016327,0.000013555,0.000013794,126.27
PEPEUSDTSWAP,1440,20250524,030000,0.000013793,0.000014202,0.000013561,0.000013765,60.49
PEPEUSDTSWAP,1440,20250525,030000,0.000013763,0.000013995,0.000012618,0.000013597,89.24
PEPEUSDTSWAP,1440,20250526,030000,0.000013594,0.000014454,0.000013473,0.000013842,101.82
PEPEUSDTSWAP,1440,20250527,030000,0.000013843,0.000014322,0.000013334,0.00001389,84.69
PEPEUSDTSWAP,1440,20250528,030000,0.00001389,0.000014185,0.000013356,0.00001399,67.78
PEPEUSDTSWAP,1440,20250529,030000,0.000013991,0.000015131,0.00001335,0.00001343,102.37
PEPEUSDTSWAP,1440,20250530,030000,0.00001343,0.00001355,0.00001147,0.0000116,106.73
