<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEPEUSDTSWAP,60,20250531,190000,0.000011571,0.00001185,0.000011506,0.000011723,4.23
PEPEUSDTSWAP,60,20250531,200000,0.000011723,0.000011768,0.000011582,0.000011605,2.17
PEPEUSDTSWAP,60,20250531,210000,0.000011605,0.000011793,0.00001159,0.00001173,1.55
PEPEUSDTSWAP,60,20250531,220000,0.000011731,0.000011831,0.000011729,0.000011766,1.49
PEPEUSDTSWAP,60,20250531,230000,0.000011765,0.000011812,0.000011707,0.000011745,1.2
PEPEUSDTSWAP,60,20250601,000000,0.000011745,0.000011849,0.00001174,0.000011791,1.67
PEPEUSDTSWAP,60,20250601,010000,0.000011791,0.000011809,0.000011683,0.000011698,0.91
PEPEUSDTSWAP,60,20250601,020000,0.000011698,0.000011828,0.000011582,0.000011637,2.3
PEPEUSDTSWAP,60,20250601,030000,0.000011636,0.000011703,0.000011559,0.000011632,1.56
PEPEUSDTSWAP,60,20250601,040000,0.000011631,0.000011728,0.00001142,0.000011516,2.59
PEPEUSDTSWAP,60,20250601,050000,0.000011516,0.000011619,0.000011383,0.000011563,2.49
PEPEUSDTSWAP,60,20250601,060000,0.000011564,0.000011601,0.000011434,0.000011556,1.71
PEPEUSDTSWAP,60,20250601,070000,0.000011556,0.000011763,0.000011527,0.000011702,1.85
PEPEUSDTSWAP,60,20250601,080000,0.000011702,0.00001177,0.000011621,0.00001166,1.58
PEPEUSDTSWAP,60,20250601,090000,0.00001166,0.000011665,0.000011547,0.000011565,1.62
PEPEUSDTSWAP,60,20250601,100000,0.000011564,0.000011597,0.000011482,0.000011575,1.73
PEPEUSDTSWAP,60,20250601,110000,0.000011574,0.000011589,0.000011469,0.00001152,1.62
PEPEUSDTSWAP,60,20250601,120000,0.00001152,0.000011559,0.000011271,0.000011369,3.98
PEPEUSDTSWAP,60,20250601,130000,0.000011369,0.000011428,0.000011317,0.000011405,1.83
PEPEUSDTSWAP,60,20250601,140000,0.000011404,0.000011469,0.00001135,0.000011432,1.32
PEPEUSDTSWAP,60,20250601,150000,0.000011431,0.000011469,0.000011288,0.000011362,1.97
PEPEUSDTSWAP,60,20250601,160000,0.000011361,0.000011554,0.000011351,0.000011516,2.5
PEPEUSDTSWAP,60,20250601,170000,0.000011517,0.000011744,0.000011517,0.000011623,3.7
PEPEUSDTSWAP,60,20250601,180000,0.000011622,0.000011734,0.000011603,0.000011708,1.99
PEPEUSDTSWAP,60,20250601,190000,0.000011707,0.000012033,0.000011686,0.000011898,5.59
PEPEUSDTSWAP,60,20250601,200000,0.000011899,0.000012012,0.000011843,0.0000119,2.7
PEPEUSDTSWAP,60,20250601,210000,0.0000119,0.000011904,0.000011553,0.000011705,4.31
PEPEUSDTSWAP,60,20250601,220000,0.000011706,0.000011787,0.000011672,0.000011767,1.73
PEPEUSDTSWAP,60,20250601,230000,0.000011767,0.000011856,0.000011691,0.000011757,1.25
PEPEUSDTSWAP,60,20250602,000000,0.000011756,0.000011894,0.000011742,0.000011877,0.82
PEPEUSDTSWAP,60,20250602,010000,0.000011876,0.000011948,0.000011791,0.000011834,1.24
PEPEUSDTSWAP,60,20250602,020000,0.000011834,0.000011911,0.00001177,0.000011797,0.94
PEPEUSDTSWAP,60,20250602,030000,0.000011798,0.000011821,0.000011703,0.000011757,1.86
PEPEUSDTSWAP,60,20250602,040000,0.000011758,0.000011874,0.00001167,0.000011686,1.54
PEPEUSDTSWAP,60,20250602,050000,0.000011686,0.000011703,0.000011517,0.000011585,2.52
PEPEUSDTSWAP,60,20250602,060000,0.000011586,0.000011591,0.00001146,0.000011541,2.0
