<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PEPEUSDTSWAP,3,20250604,172700,0.000012303,0.000012303,0.000012273,0.000012288,0.09
PEPEUSDTSWAP,3,20250604,173000,0.000012288,0.000012308,0.000012281,0.000012308,0.12
PEPEUSDTSWAP,3,20250604,173300,0.000012307,0.000012342,0.000012303,0.000012314,0.14
PEPEUSDTSWAP,3,20250604,173600,0.000012313,0.000012317,0.00001229,0.000012291,0.08
PEPEUSDTSWAP,3,20250604,173900,0.000012291,0.000012323,0.000012287,0.000012314,0.08
PEPEUSDTSWAP,3,20250604,174200,0.000012314,0.000012323,0.000012295,0.000012322,0.05
PEPEUSDTSWAP,3,20250604,174500,0.000012323,0.000012365,0.000012311,0.000012359,0.15
PEPEUSDTSWAP,3,20250604,174800,0.00001236,0.0000124,0.00001236,0.000012376,0.27
PEPEUSDTSWAP,3,20250604,175100,0.000012376,0.000012396,0.000012372,0.000012396,0.12
PEPEUSDTSWAP,3,20250604,175400,0.000012395,0.000012451,0.000012395,0.000012438,0.38
PEPEUSDTSWAP,3,20250604,175700,0.000012439,0.000012475,0.00001243,0.000012448,0.25
PEPEUSDTSWAP,3,20250604,180000,0.000012449,0.000012469,0.000012432,0.000012438,0.28
PEPEUSDTSWAP,3,20250604,180300,0.00001244,0.000012453,0.000012428,0.000012442,0.2
PEPEUSDTSWAP,3,20250604,180600,0.000012442,0.000012485,0.000012438,0.000012459,0.18
PEPEUSDTSWAP,3,20250604,180900,0.000012459,0.000012493,0.000012452,0.000012486,0.13
PEPEUSDTSWAP,3,20250604,181200,0.000012488,0.000012508,0.000012476,0.000012496,0.23
PEPEUSDTSWAP,3,20250604,181500,0.000012497,0.000012568,0.000012497,0.000012547,0.47
PEPEUSDTSWAP,3,20250604,181800,0.000012547,0.000012556,0.000012508,0.000012517,0.31
PEPEUSDTSWAP,3,20250604,182100,0.00001252,0.000012548,0.000012495,0.000012534,0.25
PEPEUSDTSWAP,3,20250604,182400,0.000012533,0.000012543,0.000012512,0.000012512,0.21
PEPEUSDTSWAP,3,20250604,182700,0.000012511,0.000012527,0.000012498,0.000012501,0.14
PEPEUSDTSWAP,3,20250604,183000,0.000012501,0.00001251,0.000012458,0.000012489,0.28
PEPEUSDTSWAP,3,20250604,183300,0.00001249,0.000012511,0.00001248,0.000012485,0.11
PEPEUSDTSWAP,3,20250604,183600,0.000012484,0.000012567,0.000012483,0.000012548,0.43
PEPEUSDTSWAP,3,20250604,183900,0.000012548,0.000012604,0.000012543,0.000012594,0.42
PEPEUSDTSWAP,3,20250604,184200,0.000012594,0.000012615,0.000012572,0.000012592,0.36
PEPEUSDTSWAP,3,20250604,184500,0.000012592,0.000012612,0.000012558,0.00001256,0.19
PEPEUSDTSWAP,3,20250604,184800,0.000012561,0.000012576,0.000012535,0.000012549,0.25
PEPEUSDTSWAP,3,20250604,185100,0.000012549,0.000012591,0.000012542,0.000012567,0.15
PEPEUSDTSWAP,3,20250604,185400,0.000012566,0.000012613,0.000012564,0.000012606,0.12
PEPEUSDTSWAP,3,20250604,185700,0.000012606,0.000012613,0.000012549,0.00001257,0.12
PEPEUSDTSWAP,3,20250604,190000,0.00001257,0.00001259,0.00001253,0.00001254,0.18
