<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIPPINUSDTSWAP,1440,20250225,030000,0.02176,0.02905,0.02113,0.02673,1802395.44
PIPPINUSDTSWAP,1440,20250226,030000,0.02673,0.03597,0.02599,0.03538,2331049.74
PIPPINUSDTSWAP,1440,20250227,030000,0.03538,0.03672,0.0291,0.02914,1829031.09
PIPPINUSDTSWAP,1440,20250228,030000,0.02916,0.03471,0.0272,0.03086,1268893.41
PIPPINUSDTSWAP,1440,20250301,030000,0.03088,0.0318,0.02414,0.02461,1168668.21
PIPPINUSDTSWAP,1440,20250302,030000,0.02463,0.03223,0.02324,0.03135,2469963.49
PIPPINUSDTSWAP,1440,20250303,030000,0.03133,0.03303,0.02611,0.02618,1795193.37
PIPPINUSDTSWAP,1440,20250304,030000,0.02618,0.02687,0.02231,0.02313,1240072.27
PIPPINUSDTSWAP,1440,20250305,030000,0.02312,0.02873,0.02279,0.02629,1291938.76
PIPPINUSDTSWAP,1440,20250306,030000,0.02627,0.02682,0.02264,0.02286,1000569.4
PIPPINUSDTSWAP,1440,20250307,030000,0.02287,0.02363,0.02085,0.02118,878794.0
PIPPINUSDTSWAP,1440,20250308,030000,0.02117,0.0223,0.02011,0.02108,556821.64
PIPPINUSDTSWAP,1440,20250309,030000,0.02108,0.02198,0.01812,0.01994,774443.55
PIPPINUSDTSWAP,1440,20250310,030000,0.01995,0.02073,0.0168,0.01841,637743.51
PIPPINUSDTSWAP,1440,20250311,030000,0.01842,0.01953,0.0175,0.01881,500158.79
PIPPINUSDTSWAP,1440,20250312,030000,0.01882,0.01906,0.01727,0.01885,480406.43
PIPPINUSDTSWAP,1440,20250313,030000,0.01884,0.01927,0.01713,0.01756,248624.66
PIPPINUSDTSWAP,1440,20250314,030000,0.01756,0.01969,0.01719,0.01784,244583.86
PIPPINUSDTSWAP,1440,20250315,030000,0.01784,0.01904,0.01757,0.01856,252472.16
PIPPINUSDTSWAP,1440,20250316,030000,0.01857,0.02006,0.01818,0.01854,556609.34
PIPPINUSDTSWAP,1440,20250317,030000,0.01854,0.0211,0.0185,0.02027,485155.29
PIPPINUSDTSWAP,1440,20250318,030000,0.02028,0.02029,0.0155,0.01665,658713.54
PIPPINUSDTSWAP,1440,20250319,030000,0.01666,0.01767,0.01612,0.01752,314645.17
PIPPINUSDTSWAP,1440,20250320,030000,0.01752,0.01768,0.01653,0.01688,234434.24
PIPPINUSDTSWAP,1440,20250321,030000,0.01689,0.01761,0.01589,0.0171,265434.81
PIPPINUSDTSWAP,1440,20250322,030000,0.0171,0.01771,0.01659,0.01711,215549.57
PIPPINUSDTSWAP,1440,20250323,030000,0.0171,0.01779,0.01649,0.01688,175092.53
PIPPINUSDTSWAP,1440,20250324,030000,0.01688,0.02092,0.0166,0.01966,409109.39
PIPPINUSDTSWAP,1440,20250325,030000,0.01965,0.02032,0.01904,0.01961,204050.67
