<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIUSDTSWAP,1440,20250225,030000,1.5089,1.6305,1.468,1.5936,225793638.37
PIUSDTSWAP,1440,20250226,030000,1.5935,3.0182,1.592,2.8142,1176123239.14
PIUSDTSWAP,1440,20250227,030000,2.8152,2.9888,2.3779,2.7639,921707783.03
PIUSDTSWAP,1440,20250228,030000,2.7641,2.796,1.811,2.1376,1255699721.83
PIUSDTSWAP,1440,20250301,030000,2.1378,2.353,1.8291,1.9811,590336844.33
PIUSDTSWAP,1440,20250302,030000,1.9808,2.0253,1.5125,1.8774,791657937.41
PIUSDTSWAP,1440,20250303,030000,1.8777,1.8814,1.5964,1.656,454593757.47
PIUSDTSWAP,1440,20250304,030000,1.6562,1.8667,1.6475,1.8103,336773692.13
PIUSDTSWAP,1440,20250305,030000,1.81,2.0074,1.747,1.933,342248563.24
PIUSDTSWAP,1440,20250306,030000,1.9326,1.9801,1.7452,1.8658,315543688.0
PIUSDTSWAP,1440,20250307,030000,1.8661,1.8661,1.7598,1.7866,238338245.35
PIUSDTSWAP,1440,20250308,030000,1.7864,1.8284,1.4952,1.6801,204543750.36
PIUSDTSWAP,1440,20250309,030000,1.6801,1.6808,1.2267,1.4099,525211037.5
PIUSDTSWAP,1440,20250310,030000,1.4105,1.5749,1.3011,1.3681,342997093.44
PIUSDTSWAP,1440,20250311,030000,1.3682,1.4373,1.3314,1.4205,209730829.35
PIUSDTSWAP,1440,20250312,030000,1.4204,1.7993,1.4011,1.7925,414255025.23
PIUSDTSWAP,1440,20250313,030000,1.7923,1.798,1.6,1.6479,389435994.7
PIUSDTSWAP,1440,20250314,030000,1.648,1.73,1.4566,1.5282,405351055.01
PIUSDTSWAP,1440,20250315,030000,1.5283,1.5283,1.4217,1.4514,235847141.38
PIUSDTSWAP,1440,20250316,030000,1.4512,1.5741,1.365,1.4106,283193367.53
PIUSDTSWAP,1440,20250317,030000,1.4107,1.4343,1.3015,1.349,225488928.83
PIUSDTSWAP,1440,20250318,030000,1.3489,1.3594,1.0478,1.1433,501569174.38
PIUSDTSWAP,1440,20250319,030000,1.1432,1.2193,1.1205,1.1702,263249595.76
PIUSDTSWAP,1440,20250320,030000,1.1702,1.1975,1.038,1.0544,221419900.87
PIUSDTSWAP,1440,20250321,030000,1.0544,1.1684,0.8591,0.9949,578106051.36
PIUSDTSWAP,1440,20250322,030000,0.995,1.05,0.9579,1.0013,203633233.42
PIUSDTSWAP,1440,20250323,030000,1.0014,1.024,0.9247,0.9446,132297324.31
PIUSDTSWAP,1440,20250324,030000,0.9446,1,0.9084,0.9422,158588329.13
PIUSDTSWAP,1440,20250325,030000,0.9422,0.9449,0.8532,0.876,128100308.81
PIUSDTSWAP,1440,20250326,030000,0.876,0.876,0.7705,0.7904,190924030.93
PIUSDTSWAP,1440,20250327,030000,0.7904,0.905,0.7854,0.8422,180559959.26
PIUSDTSWAP,1440,20250328,030000,0.8423,0.871,0.8161,0.8258,110782533.8
PIUSDTSWAP,1440,20250329,030000,0.826,0.8363,0.7793,0.8052,94794997.92
PIUSDTSWAP,1440,20250330,030000,0.8054,0.8089,0.7567,0.7745,83460554.37
PIUSDTSWAP,1440,20250331,030000,0.7745,0.7747,0.6802,0.7169,195119561.94
PIUSDTSWAP,1440,20250401,030000,0.717,0.7316,0.6929,0.7096,90688430.02
PIUSDTSWAP,1440,20250402,030000,0.7096,0.7154,0.6507,0.6555,125565839.58
PIUSDTSWAP,1440,20250403,030000,0.6555,0.6732,0.5348,0.5746,229029162.56
PIUSDTSWAP,1440,20250404,030000,0.5746,0.5826,0.5083,0.5209,196793020.43
PIUSDTSWAP,1440,20250405,030000,0.521,0.799,0.3997,0.6245,754858226.84
PIUSDTSWAP,1440,20250406,030000,0.6245,0.69,0.5845,0.6163,295459299.56
PIUSDTSWAP,1440,20250407,030000,0.6162,0.6184,0.5361,0.5866,196248957.79
PIUSDTSWAP,1440,20250408,030000,0.5865,0.5988,0.5555,0.5646,108586951.31
PIUSDTSWAP,1440,20250409,030000,0.5646,0.6633,0.5468,0.6079,136288919.34
PIUSDTSWAP,1440,20250410,030000,0.6079,0.6095,0.5734,0.5898,89478018.62
PIUSDTSWAP,1440,20250411,030000,0.5896,0.6502,0.5882,0.6373,75653070.64
PIUSDTSWAP,1440,20250412,030000,0.6373,0.79,0.624,0.7111,290111284.11
PIUSDTSWAP,1440,20250413,030000,0.7111,0.779,0.7111,0.737,192120030.97
PIUSDTSWAP,1440,20250414,030000,0.737,0.7604,0.7264,0.7404,108707614.23
PIUSDTSWAP,1440,20250415,030000,0.7404,0.7485,0.6244,0.6451,209735437.3
PIUSDTSWAP,1440,20250416,030000,0.6451,0.6458,0.59,0.6036,148188616.23
PIUSDTSWAP,1440,20250417,030000,0.6037,0.6355,0.5999,0.617,83929576.63
PIUSDTSWAP,1440,20250418,030000,0.617,0.6455,0.6054,0.6377,53166917.15
PIUSDTSWAP,1440,20250419,030000,0.6376,0.6661,0.636,0.6518,82839387.46
PIUSDTSWAP,1440,20250420,030000,0.6517,0.6544,0.6171,0.638,78188997.21
PIUSDTSWAP,1440,20250421,030000,0.6381,0.6483,0.6226,0.6324,52451581.99
PIUSDTSWAP,1440,20250422,030000,0.6324,0.652,0.6268,0.646,44863806.81
PIUSDTSWAP,1440,20250423,030000,0.6461,0.6825,0.642,0.6643,90170243.22
PIUSDTSWAP,1440,20250424,030000,0.6643,0.6707,0.6352,0.6534,63845458.48
