<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIUSDTSWAP,60,20250531,190000,0.6276,0.642,0.627,0.6419,3083154.04
PIUSDTSWAP,60,20250531,200000,0.6419,0.6576,0.6382,0.6481,4712789.36
PIUSDTSWAP,60,20250531,210000,0.6482,0.6545,0.6451,0.6473,2599523.13
PIUSDTSWAP,60,20250531,220000,0.6473,0.6674,0.6466,0.6582,4399327.2
PIUSDTSWAP,60,20250531,230000,0.6583,0.6614,0.6478,0.6507,3093547.87
PIUSDTSWAP,60,20250601,000000,0.6507,0.6788,0.6505,0.6688,5605781.8
PIUSDTSWAP,60,20250601,010000,0.6686,0.6726,0.6602,0.6617,3534131.34
PIUSDTSWAP,60,20250601,020000,0.6616,0.6618,0.6503,0.6525,4548544.99
PIUSDTSWAP,60,20250601,030000,0.6526,0.654,0.6337,0.6438,7922629.26
PIUSDTSWAP,60,20250601,040000,0.6438,0.6522,0.6375,0.6393,4986525.86
PIUSDTSWAP,60,20250601,050000,0.6393,0.6436,0.6351,0.6419,2425800.84
PIUSDTSWAP,60,20250601,060000,0.642,0.6472,0.6396,0.6438,2181860.11
PIUSDTSWAP,60,20250601,070000,0.6439,0.6494,0.6436,0.6467,3421870.69
PIUSDTSWAP,60,20250601,080000,0.6466,0.648,0.6386,0.6398,2443088.87
PIUSDTSWAP,60,20250601,090000,0.6398,0.6413,0.6344,0.6358,3204545.79
PIUSDTSWAP,60,20250601,100000,0.6357,0.6369,0.6292,0.6361,3521245.92
PIUSDTSWAP,60,20250601,110000,0.6361,0.6407,0.6321,0.6363,2671571.02
PIUSDTSWAP,60,20250601,120000,0.6363,0.6377,0.6245,0.6312,4314177.63
PIUSDTSWAP,60,20250601,130000,0.6312,0.6348,0.6273,0.6297,2398096.07
PIUSDTSWAP,60,20250601,140000,0.6295,0.6329,0.6258,0.6314,2392756.57
PIUSDTSWAP,60,20250601,150000,0.6314,0.6387,0.6285,0.6366,2151002.38
PIUSDTSWAP,60,20250601,160000,0.6366,0.6445,0.6358,0.6388,4890450.32
PIUSDTSWAP,60,20250601,170000,0.6387,0.6434,0.6382,0.639,3391944.09
PIUSDTSWAP,60,20250601,180000,0.639,0.6425,0.6375,0.6403,2073986.32
PIUSDTSWAP,60,20250601,190000,0.6403,0.6459,0.6393,0.6444,2763446.44
PIUSDTSWAP,60,20250601,200000,0.6444,0.645,0.6405,0.6416,1663696.45
PIUSDTSWAP,60,20250601,210000,0.6415,0.6416,0.6342,0.6394,2584833.8
PIUSDTSWAP,60,20250601,220000,0.6394,0.6425,0.6385,0.6417,1393662.46
PIUSDTSWAP,60,20250601,230000,0.6416,0.6447,0.6387,0.6435,1472672.82
PIUSDTSWAP,60,20250602,000000,0.6436,0.6482,0.6432,0.6433,1150332.67
PIUSDTSWAP,60,20250602,010000,0.6433,0.647,0.6409,0.6428,1875696.19
PIUSDTSWAP,60,20250602,020000,0.6428,0.6494,0.6423,0.6461,1626666.47
PIUSDTSWAP,60,20250602,030000,0.6461,0.6563,0.6428,0.6538,4056191.25
PIUSDTSWAP,60,20250602,040000,0.6537,0.6579,0.6443,0.645,4139193.75
PIUSDTSWAP,60,20250602,050000,0.645,0.6505,0.643,0.6454,3781830.44
PIUSDTSWAP,60,20250602,060000,0.6454,0.646,0.6381,0.6413,3217378.38
PIUSDTSWAP,60,20250602,070000,0.6413,0.6435,0.6372,0.6384,1787131.87
PIUSDTSWAP,60,20250602,080000,0.6385,0.64,0.6353,0.6395,1769032.57
PIUSDTSWAP,60,20250602,090000,0.6395,0.6431,0.6389,0.6405,1872991.26
PIUSDTSWAP,60,20250602,100000,0.6405,0.6434,0.639,0.6392,1457026.05
PIUSDTSWAP,60,20250602,110000,0.6391,0.6433,0.6382,0.6391,1874084.06
PIUSDTSWAP,60,20250602,120000,0.6391,0.6393,0.631,0.6332,3869704.48
PIUSDTSWAP,60,20250602,130000,0.6331,0.6388,0.6291,0.6373,3248641.22
PIUSDTSWAP,60,20250602,140000,0.6373,0.641,0.6351,0.6377,1929788.37
PIUSDTSWAP,60,20250602,150000,0.6377,0.6429,0.6366,0.6417,2052800.3
PIUSDTSWAP,60,20250602,160000,0.6417,0.6424,0.6376,0.6388,1960597.56
PIUSDTSWAP,60,20250602,170000,0.6387,0.6445,0.6371,0.6417,2755044.59
PIUSDTSWAP,60,20250602,180000,0.6417,0.6457,0.6396,0.6433,2383893.68
PIUSDTSWAP,60,20250602,190000,0.6433,0.6444,0.6384,0.6435,1816276.49
PIUSDTSWAP,60,20250602,200000,0.6435,0.6454,0.6415,0.6435,1606963.0
PIUSDTSWAP,60,20250602,210000,0.6434,0.6457,0.6407,0.6422,1057983.8
PIUSDTSWAP,60,20250602,220000,0.6422,0.644,0.6382,0.6424,1363423.35
PIUSDTSWAP,60,20250602,230000,0.6424,0.6493,0.6424,0.6465,2430465.8
PIUSDTSWAP,60,20250603,000000,0.6465,0.6483,0.6441,0.6477,1013260.74
