<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIUSDTSWAP,3,20250604,172700,0.6503,0.651,0.6502,0.6503,96983.14
PIUSDTSWAP,3,20250604,173000,0.6503,0.6511,0.6503,0.6511,108983.78
PIUSDTSWAP,3,20250604,173300,0.6512,0.6518,0.6508,0.6513,118134.19
PIUSDTSWAP,3,20250604,173600,0.6513,0.6523,0.6509,0.6513,111585.93
PIUSDTSWAP,3,20250604,173900,0.6512,0.6519,0.6509,0.6511,52204.75
PIUSDTSWAP,3,20250604,174200,0.6511,0.6511,0.6504,0.651,60190.94
PIUSDTSWAP,3,20250604,174500,0.6509,0.6519,0.6509,0.6517,56069.83
PIUSDTSWAP,3,20250604,174800,0.6518,0.6522,0.6516,0.6521,51378.14
PIUSDTSWAP,3,20250604,175100,0.652,0.653,0.6517,0.6527,202704.19
PIUSDTSWAP,3,20250604,175400,0.6527,0.6532,0.6526,0.653,146518.75
PIUSDTSWAP,3,20250604,175700,0.6529,0.6533,0.6523,0.6533,134422.32
PIUSDTSWAP,3,20250604,180000,0.6533,0.654,0.6529,0.6531,260423.02
PIUSDTSWAP,3,20250604,180300,0.6531,0.6532,0.6526,0.6531,91470.57
PIUSDTSWAP,3,20250604,180600,0.6532,0.6544,0.6531,0.6538,168227.74
PIUSDTSWAP,3,20250604,180900,0.6537,0.6544,0.6536,0.6541,87044.73
PIUSDTSWAP,3,20250604,181200,0.6541,0.6541,0.6531,0.6535,168075.57
PIUSDTSWAP,3,20250604,181500,0.6536,0.6544,0.6536,0.6541,88385.67
PIUSDTSWAP,3,20250604,181800,0.654,0.6541,0.6536,0.6536,52752.29
PIUSDTSWAP,3,20250604,182100,0.6536,0.6542,0.6531,0.654,82658.18
PIUSDTSWAP,3,20250604,182400,0.6539,0.6541,0.6533,0.6536,49980.19
PIUSDTSWAP,3,20250604,182700,0.6535,0.6539,0.6532,0.6534,39308.03
PIUSDTSWAP,3,20250604,183000,0.6533,0.6535,0.6527,0.6532,79438.67
PIUSDTSWAP,3,20250604,183300,0.6531,0.6533,0.6527,0.6527,38719.03
PIUSDTSWAP,3,20250604,183600,0.6527,0.6532,0.6521,0.653,97430.49
PIUSDTSWAP,3,20250604,183900,0.653,0.6531,0.6526,0.6529,45530.43
PIUSDTSWAP,3,20250604,184200,0.6529,0.6532,0.6522,0.6524,80385.7
PIUSDTSWAP,3,20250604,184500,0.6525,0.6529,0.6522,0.6522,42640.22
PIUSDTSWAP,3,20250604,184800,0.6522,0.6524,0.652,0.6524,37155.83
PIUSDTSWAP,3,20250604,185100,0.6523,0.6526,0.6521,0.6526,13924.0
PIUSDTSWAP,3,20250604,185400,0.6525,0.6526,0.6524,0.6525,27185.76
PIUSDTSWAP,3,20250604,185700,0.6524,0.6525,0.6517,0.652,51815.57
PIUSDTSWAP,3,20250604,190000,0.652,0.6526,0.6519,0.6523,18219.49
PIUSDTSWAP,3,20250604,190300,0.6523,0.6524,0.6517,0.6521,56557.67
PIUSDTSWAP,3,20250604,190600,0.652,0.6524,0.6517,0.6517,44031.52
PIUSDTSWAP,3,20250604,190900,0.6516,0.6518,0.6511,0.6516,53075.43
PIUSDTSWAP,3,20250604,191200,0.6516,0.652,0.6513,0.6514,33664.26
PIUSDTSWAP,3,20250604,191500,0.6514,0.6518,0.651,0.6512,65792.05
PIUSDTSWAP,3,20250604,191800,0.6511,0.652,0.651,0.6519,80505.26
PIUSDTSWAP,3,20250604,192100,0.6519,0.6523,0.6516,0.6516,49339.7
PIUSDTSWAP,3,20250604,192400,0.6515,0.6518,0.6513,0.6513,16634.1
PIUSDTSWAP,3,20250604,192700,0.6514,0.6514,0.6511,0.6514,46523.64
PIUSDTSWAP,3,20250604,193000,0.6514,0.6522,0.6509,0.6522,63710.18
PIUSDTSWAP,3,20250604,193300,0.6522,0.6525,0.6521,0.6523,51646.41
PIUSDTSWAP,3,20250604,193600,0.6524,0.653,0.6523,0.6529,77736.72
PIUSDTSWAP,3,20250604,193900,0.653,0.6544,0.6529,0.6535,153412.55
PIUSDTSWAP,3,20250604,194200,0.6535,0.6535,0.6529,0.6533,42746.74
PIUSDTSWAP,3,20250604,194500,0.6532,0.6538,0.6532,0.6538,37645.88
PIUSDTSWAP,3,20250604,194800,0.6538,0.6542,0.6535,0.6538,119050.44
PIUSDTSWAP,3,20250604,195100,0.6537,0.6537,0.6529,0.6529,56788.23
PIUSDTSWAP,3,20250604,195400,0.6529,0.6538,0.6529,0.6536,37953.08
PIUSDTSWAP,3,20250604,195700,0.6537,0.6538,0.6533,0.6537,18345.44
PIUSDTSWAP,3,20250604,200000,0.6537,0.6537,0.6527,0.653,33819.17
PIUSDTSWAP,3,20250604,200300,0.6529,0.653,0.6521,0.6523,29358.3
PIUSDTSWAP,3,20250604,200600,0.6524,0.6528,0.6521,0.6527,15625.63
PIUSDTSWAP,3,20250604,200900,0.6528,0.6528,0.6521,0.6522,42261.62
PIUSDTSWAP,3,20250604,201200,0.6522,0.6528,0.6522,0.6526,55907.24
PIUSDTSWAP,3,20250604,201500,0.6524,0.6524,0.6518,0.6518,73271.04
PIUSDTSWAP,3,20250604,201800,0.6518,0.6519,0.6514,0.6514,49021.23
PIUSDTSWAP,3,20250604,202100,0.6515,0.6519,0.6514,0.6519,132115.08
PIUSDTSWAP,3,20250604,202400,0.6519,0.6519,0.6511,0.6516,65109.82
PIUSDTSWAP,3,20250604,202700,0.6516,0.6518,0.6512,0.6514,78197.21
PIUSDTSWAP,3,20250604,203000,0.6515,0.6515,0.6507,0.6512,78690.12
PIUSDTSWAP,3,20250604,203300,0.6511,0.6514,0.6507,0.6514,95739.7
PIUSDTSWAP,3,20250604,203600,0.6514,0.6515,0.6506,0.6509,200766.69
PIUSDTSWAP,3,20250604,203900,0.6509,0.6514,0.6506,0.651,207392.36
PIUSDTSWAP,3,20250604,204200,0.651,0.651,0.6499,0.6499,350627.3
PIUSDTSWAP,3,20250604,204500,0.6499,0.6503,0.6495,0.6502,276877.55
PIUSDTSWAP,3,20250604,204800,0.6502,0.6502,0.6491,0.6492,264609.29
PIUSDTSWAP,3,20250604,205100,0.6492,0.6496,0.6488,0.6489,290066.46
PIUSDTSWAP,3,20250604,205400,0.649,0.6508,0.6489,0.6504,190407.51
PIUSDTSWAP,3,20250604,205700,0.6504,0.6509,0.6503,0.6508,19912.0
PIUSDTSWAP,3,20250604,210000,0.6508,0.6519,0.6508,0.6518,55089.57
PIUSDTSWAP,3,20250604,210300,0.6519,0.6527,0.6514,0.6527,53631.81
PIUSDTSWAP,3,20250604,210600,0.6527,0.653,0.6525,0.6526,73503.16
PIUSDTSWAP,3,20250604,210900,0.6526,0.6534,0.6522,0.6532,115061.86
PIUSDTSWAP,3,20250604,211200,0.6531,0.6533,0.6528,0.6532,97466.03
PIUSDTSWAP,3,20250604,211500,0.6532,0.6537,0.6532,0.6535,59232.83
PIUSDTSWAP,3,20250604,211800,0.6535,0.6545,0.6533,0.6542,247935.29
PIUSDTSWAP,3,20250604,212100,0.6543,0.6547,0.6541,0.6547,136506.61
PIUSDTSWAP,3,20250604,212400,0.6548,0.6557,0.6546,0.6556,350028.58
PIUSDTSWAP,3,20250604,212700,0.6556,0.6581,0.6554,0.6556,774331.78
PIUSDTSWAP,3,20250604,213000,0.6557,0.656,0.6537,0.6539,465316.19
PIUSDTSWAP,3,20250604,213300,0.6539,0.655,0.6535,0.6539,310985.03
PIUSDTSWAP,3,20250604,213600,0.6539,0.6542,0.6537,0.6541,53642.03
PIUSDTSWAP,3,20250604,213900,0.6542,0.655,0.6542,0.655,47694.45
PIUSDTSWAP,3,20250604,214200,0.655,0.6564,0.6547,0.6562,113529.18
PIUSDTSWAP,3,20250604,214500,0.6561,0.6568,0.6561,0.6568,96425.7
PIUSDTSWAP,3,20250604,214800,0.6568,0.6578,0.6565,0.6571,151662.34
PIUSDTSWAP,3,20250604,215100,0.6571,0.6575,0.6559,0.6564,222141.85
PIUSDTSWAP,3,20250604,215400,0.6565,0.6566,0.655,0.6556,43262.04
PIUSDTSWAP,3,20250604,215700,0.6555,0.6555,0.6546,0.6548,36955.12
PIUSDTSWAP,3,20250604,220000,0.6547,0.6548,0.654,0.6542,47497.83
