<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PLUMEUSDTSWAP,1440,20250508,030000,0.1799,0.1837,0.1715,0.1777,821674.36
PLUMEUSDTSWAP,1440,20250509,030000,0.1777,0.1827,0.1708,0.1796,672598.76
PLUMEUSDTSWAP,1440,20250510,030000,0.1796,0.1978,0.1764,0.1902,673153.55
PLUMEUSDTSWAP,1440,20250511,030000,0.1903,0.2056,0.1775,0.1967,651103.65
PLUMEUSDTSWAP,1440,20250512,030000,0.1967,0.2106,0.185,0.194,543804.69
PLUMEUSDTSWAP,1440,20250513,030000,0.1939,0.2014,0.1821,0.1978,566571.73
PLUMEUSDTSWAP,1440,20250514,030000,0.1978,0.2098,0.1866,0.1895,861604.34
PLUMEUSDTSWAP,1440,20250515,030000,0.1895,0.1918,0.1719,0.1785,540540.41
PLUMEUSDTSWAP,1440,20250516,030000,0.1785,0.1824,0.1722,0.1739,319721.7
PLUMEUSDTSWAP,1440,20250517,030000,0.174,0.1746,0.1648,0.1715,343226.66
PLUMEUSDTSWAP,1440,20250518,030000,0.1713,0.1797,0.1694,0.1779,295039.07
PLUMEUSDTSWAP,1440,20250519,030000,0.178,0.1784,0.1645,0.1705,703552.65
PLUMEUSDTSWAP,1440,20250520,030000,0.1706,0.1747,0.1655,0.1694,897151.79
PLUMEUSDTSWAP,1440,20250521,030000,0.1694,0.1758,0.1676,0.1729,316239.14
PLUMEUSDTSWAP,1440,20250522,030000,0.1729,0.1821,0.1719,0.1802,597860.71
PLUMEUSDTSWAP,1440,20250523,030000,0.1803,0.1841,0.1624,0.1636,2220421.0
PLUMEUSDTSWAP,1440,20250524,030000,0.1636,0.1662,0.156,0.1603,1658852.96
PLUMEUSDTSWAP,1440,20250525,030000,0.1603,0.1625,0.1491,0.1579,465445.8
PLUMEUSDTSWAP,1440,20250526,030000,0.1579,0.1606,0.1547,0.1558,762446.52
PLUMEUSDTSWAP,1440,20250527,030000,0.1559,0.1627,0.1521,0.1626,285303.55
PLUMEUSDTSWAP,1440,20250528,030000,0.1626,0.1642,0.1555,0.1594,1475999.71
PLUMEUSDTSWAP,1440,20250529,030000,0.1594,0.1611,0.1239,0.1287,4480493.94
PLUMEUSDTSWAP,1440,20250530,030000,0.1286,0.1539,0.1268,0.1383,3315039.23
PLUMEUSDTSWAP,1440,20250531,030000,0.1384,0.1437,0.1332,0.1369,1280098.83
PLUMEUSDTSWAP,1440,20250601,030000,0.1368,0.139,0.1294,0.1319,826227.4
PLUMEUSDTSWAP,1440,20250602,030000,0.132,0.1334,0.1256,0.1321,1498373.45
PLUMEUSDTSWAP,1440,20250603,030000,0.1321,0.1414,0.1275,0.1389,1233817.3
PLUMEUSDTSWAP,1440,20250604,030000,0.139,0.1428,0.1292,0.1343,670734.91
