<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PLUMEUSDTSWAP,3,20250604,172700,0.1311,0.1311,0.1309,0.1309,97.41
PLUMEUSDTSWAP,3,20250604,173000,0.131,0.1311,0.1309,0.131,542.34
PLUMEUSDTSWAP,3,20250604,173300,0.1311,0.1311,0.1305,0.1305,1045.39
PLUMEUSDTSWAP,3,20250604,173600,0.1305,0.1305,0.1302,0.1302,533.75
PLUMEUSDTSWAP,3,20250604,173900,0.1302,0.1305,0.1301,0.1305,428.1
PLUMEUSDTSWAP,3,20250604,174200,0.1304,0.1306,0.1303,0.1305,874.46
PLUMEUSDTSWAP,3,20250604,174500,0.1305,0.1306,0.1303,0.1306,392.67
PLUMEUSDTSWAP,3,20250604,174800,0.1307,0.1318,0.1307,0.1316,8064.19
PLUMEUSDTSWAP,3,20250604,175100,0.1316,0.1316,0.1313,0.1315,1498.53
PLUMEUSDTSWAP,3,20250604,175400,0.1314,0.1317,0.1314,0.1317,454.64
PLUMEUSDTSWAP,3,20250604,175700,0.1318,0.1326,0.1318,0.1325,2545.19
PLUMEUSDTSWAP,3,20250604,180000,0.1324,0.1324,0.1317,0.1319,2157.33
PLUMEUSDTSWAP,3,20250604,180300,0.1319,0.1322,0.1318,0.1319,926.07
PLUMEUSDTSWAP,3,20250604,180600,0.1319,0.1328,0.1318,0.1322,3679.22
PLUMEUSDTSWAP,3,20250604,180900,0.1322,0.1328,0.1322,0.1327,560.66
PLUMEUSDTSWAP,3,20250604,181200,0.1327,0.1327,0.1323,0.1323,1349.43
PLUMEUSDTSWAP,3,20250604,181500,0.1324,0.1327,0.1324,0.1325,879.27
PLUMEUSDTSWAP,3,20250604,181800,0.1324,0.1327,0.1321,0.1322,5047.88
PLUMEUSDTSWAP,3,20250604,182100,0.1321,0.1323,0.1321,0.1322,662.75
PLUMEUSDTSWAP,3,20250604,182400,0.1322,0.1323,0.1321,0.1322,608.25
PLUMEUSDTSWAP,3,20250604,182700,0.1322,0.1325,0.1322,0.1323,298.38
PLUMEUSDTSWAP,3,20250604,183000,0.1323,0.1325,0.1322,0.1325,806.37
PLUMEUSDTSWAP,3,20250604,183300,0.1325,0.1336,0.1325,0.1331,6809.97
PLUMEUSDTSWAP,3,20250604,183600,0.1331,0.1335,0.1331,0.1335,2757.97
PLUMEUSDTSWAP,3,20250604,183900,0.1335,0.1338,0.1333,0.1337,3121.36
PLUMEUSDTSWAP,3,20250604,184200,0.1336,0.1337,0.1334,0.1334,390.38
PLUMEUSDTSWAP,3,20250604,184500,0.1335,0.1336,0.1333,0.1333,635.99
PLUMEUSDTSWAP,3,20250604,184800,0.1333,0.1334,0.1331,0.1332,382.17
PLUMEUSDTSWAP,3,20250604,185100,0.1332,0.1335,0.1332,0.1335,170.1
PLUMEUSDTSWAP,3,20250604,185400,0.1335,0.1336,0.1333,0.1333,1225.93
PLUMEUSDTSWAP,3,20250604,185700,0.1332,0.1332,0.1331,0.1331,423.18
PLUMEUSDTSWAP,3,20250604,190000,0.1331,0.1334,0.1331,0.1332,800.46
PLUMEUSDTSWAP,3,20250604,190300,0.1332,0.1333,0.1331,0.1331,724.47
PLUMEUSDTSWAP,3,20250604,190600,0.1332,0.1336,0.1331,0.1335,3221.44
PLUMEUSDTSWAP,3,20250604,190900,0.1335,0.1338,0.1335,0.1338,457.37
PLUMEUSDTSWAP,3,20250604,191200,0.1338,0.1338,0.1336,0.1337,645.05
PLUMEUSDTSWAP,3,20250604,191500,0.1336,0.1337,0.1334,0.1335,2642.07
