<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PNUTUSDTSWAP,3,20250604,172700,0.2647,0.2647,0.264,0.2643,4094.64
PNUTUSDTSWAP,3,20250604,173000,0.2644,0.2649,0.2642,0.2649,3906.51
PNUTUSDTSWAP,3,20250604,173300,0.265,0.2656,0.2645,0.2649,6033.78
PNUTUSDTSWAP,3,20250604,173600,0.2648,0.2648,0.2641,0.2641,4348.81
PNUTUSDTSWAP,3,20250604,173900,0.264,0.265,0.2639,0.2647,5218.49
PNUTUSDTSWAP,3,20250604,174200,0.2647,0.2648,0.2641,0.2648,4328.64
PNUTUSDTSWAP,3,20250604,174500,0.2646,0.2656,0.2643,0.2656,8246.52
PNUTUSDTSWAP,3,20250604,174800,0.2657,0.2664,0.2655,0.2656,11758.02
PNUTUSDTSWAP,3,20250604,175100,0.2655,0.2662,0.2655,0.2662,8119.26
PNUTUSDTSWAP,3,20250604,175400,0.2662,0.2677,0.2662,0.2676,8241.82
PNUTUSDTSWAP,3,20250604,175700,0.2676,0.2685,0.2673,0.2683,11999.18
PNUTUSDTSWAP,3,20250604,180000,0.2684,0.2688,0.2668,0.2668,10852.75
PNUTUSDTSWAP,3,20250604,180300,0.2667,0.2672,0.2659,0.2664,7847.11
PNUTUSDTSWAP,3,20250604,180600,0.2664,0.268,0.2663,0.2665,8564.23
PNUTUSDTSWAP,3,20250604,180900,0.2666,0.2677,0.2665,0.2674,7978.54
PNUTUSDTSWAP,3,20250604,181200,0.2674,0.2677,0.2669,0.2671,4844.22
PNUTUSDTSWAP,3,20250604,181500,0.2672,0.2697,0.2672,0.2689,22758.23
PNUTUSDTSWAP,3,20250604,181800,0.2688,0.2696,0.2684,0.2684,16747.05
PNUTUSDTSWAP,3,20250604,182100,0.2684,0.2695,0.2679,0.2692,7703.08
PNUTUSDTSWAP,3,20250604,182400,0.2692,0.2696,0.2689,0.2692,19358.71
PNUTUSDTSWAP,3,20250604,182700,0.2692,0.2695,0.2685,0.2687,8340.62
PNUTUSDTSWAP,3,20250604,183000,0.2687,0.2693,0.2678,0.269,9522.19
PNUTUSDTSWAP,3,20250604,183300,0.2691,0.2697,0.2686,0.2688,5381.19
PNUTUSDTSWAP,3,20250604,183600,0.2688,0.2707,0.2688,0.2703,16592.76
PNUTUSDTSWAP,3,20250604,183900,0.2703,0.2709,0.2699,0.2707,12441.64
PNUTUSDTSWAP,3,20250604,184200,0.2707,0.2708,0.2692,0.2694,11857.47
PNUTUSDTSWAP,3,20250604,184500,0.2695,0.2701,0.269,0.2691,5568.41
PNUTUSDTSWAP,3,20250604,184800,0.269,0.2693,0.2683,0.2684,9328.38
PNUTUSDTSWAP,3,20250604,185100,0.2684,0.2692,0.2683,0.2687,5670.49
PNUTUSDTSWAP,3,20250604,185400,0.2686,0.27,0.2685,0.2696,4742.67
PNUTUSDTSWAP,3,20250604,185700,0.2696,0.2697,0.2686,0.269,9944.74
PNUTUSDTSWAP,3,20250604,190000,0.2691,0.2694,0.2687,0.2689,5963.26
PNUTUSDTSWAP,3,20250604,190300,0.2688,0.2693,0.2686,0.2689,3861.04
PNUTUSDTSWAP,3,20250604,190600,0.2688,0.2689,0.2676,0.2676,8001.64
PNUTUSDTSWAP,3,20250604,190900,0.2677,0.2682,0.2676,0.268,7072.1
PNUTUSDTSWAP,3,20250604,191200,0.268,0.2684,0.2675,0.2675,6541.61
PNUTUSDTSWAP,3,20250604,191500,0.2674,0.2675,0.266,0.266,33828.77
PNUTUSDTSWAP,3,20250604,191800,0.2661,0.267,0.2655,0.267,11460.66
PNUTUSDTSWAP,3,20250604,192100,0.2669,0.2673,0.266,0.2664,5072.43
PNUTUSDTSWAP,3,20250604,192400,0.2663,0.2665,0.2658,0.2659,12836.73
PNUTUSDTSWAP,3,20250604,192700,0.2659,0.2665,0.2659,0.2659,3586.73
PNUTUSDTSWAP,3,20250604,193000,0.2659,0.2664,0.2656,0.2664,5163.25
PNUTUSDTSWAP,3,20250604,193300,0.2664,0.2672,0.2664,0.2671,3260.74
PNUTUSDTSWAP,3,20250604,193600,0.2672,0.2674,0.2666,0.267,2408.01
PNUTUSDTSWAP,3,20250604,193900,0.267,0.2679,0.267,0.2672,6042.21
PNUTUSDTSWAP,3,20250604,194200,0.2671,0.2672,0.2665,0.267,4148.86
PNUTUSDTSWAP,3,20250604,194500,0.267,0.2674,0.2664,0.2674,2312.49
PNUTUSDTSWAP,3,20250604,194800,0.2674,0.2679,0.267,0.2679,2108.72
PNUTUSDTSWAP,3,20250604,195100,0.2677,0.2677,0.2672,0.2675,3311.72
PNUTUSDTSWAP,3,20250604,195400,0.2673,0.2679,0.2672,0.2674,3552.42
PNUTUSDTSWAP,3,20250604,195700,0.2674,0.2674,0.2666,0.267,1689.43
PNUTUSDTSWAP,3,20250604,200000,0.267,0.2672,0.2658,0.2658,4802.8
PNUTUSDTSWAP,3,20250604,200300,0.2657,0.2663,0.2656,0.2658,3384.22
PNUTUSDTSWAP,3,20250604,200600,0.2658,0.2659,0.265,0.2652,6925.15
PNUTUSDTSWAP,3,20250604,200900,0.2653,0.2653,0.264,0.2641,14453.54
PNUTUSDTSWAP,3,20250604,201200,0.264,0.265,0.264,0.2649,6147.77
PNUTUSDTSWAP,3,20250604,201500,0.2648,0.2648,0.2636,0.2639,12540.13
PNUTUSDTSWAP,3,20250604,201800,0.2639,0.2648,0.2639,0.2646,3563.18
PNUTUSDTSWAP,3,20250604,202100,0.2646,0.2648,0.2637,0.2642,4509.05
PNUTUSDTSWAP,3,20250604,202400,0.2642,0.2645,0.2632,0.2634,4977.79
PNUTUSDTSWAP,3,20250604,202700,0.2634,0.2639,0.2626,0.2628,41482.34
PNUTUSDTSWAP,3,20250604,203000,0.2628,0.2629,0.2612,0.2616,46715.85
PNUTUSDTSWAP,3,20250604,203300,0.2616,0.2626,0.2608,0.2623,44877.74
PNUTUSDTSWAP,3,20250604,203600,0.2622,0.2623,0.2612,0.2618,12466.82
PNUTUSDTSWAP,3,20250604,203900,0.2618,0.2624,0.2614,0.2622,8751.71
PNUTUSDTSWAP,3,20250604,204200,0.2622,0.2622,0.2613,0.2616,7476.11
PNUTUSDTSWAP,3,20250604,204500,0.2615,0.2622,0.261,0.2611,16860.21
PNUTUSDTSWAP,3,20250604,204800,0.261,0.2622,0.2607,0.2612,8353.31
PNUTUSDTSWAP,3,20250604,205100,0.2612,0.262,0.2611,0.2619,3283.28
PNUTUSDTSWAP,3,20250604,205400,0.2619,0.2624,0.2619,0.2622,1402.47
PNUTUSDTSWAP,3,20250604,205700,0.2622,0.2624,0.262,0.2623,1855.59
PNUTUSDTSWAP,3,20250604,210000,0.2624,0.2636,0.2624,0.2631,13179.04
PNUTUSDTSWAP,3,20250604,210300,0.263,0.2641,0.2629,0.2637,50754.79
PNUTUSDTSWAP,3,20250604,210600,0.2637,0.2637,0.2615,0.2616,47481.29
PNUTUSDTSWAP,3,20250604,210900,0.2616,0.2628,0.2614,0.2626,5072.69
PNUTUSDTSWAP,3,20250604,211200,0.2627,0.2627,0.2624,0.2626,5609.96
PNUTUSDTSWAP,3,20250604,211500,0.2627,0.263,0.2625,0.2627,2769.65
PNUTUSDTSWAP,3,20250604,211800,0.2627,0.2634,0.2625,0.2629,5402.43
PNUTUSDTSWAP,3,20250604,212100,0.2629,0.2633,0.2629,0.2632,2570.9
PNUTUSDTSWAP,3,20250604,212400,0.2633,0.2641,0.2633,0.264,4686.48
PNUTUSDTSWAP,3,20250604,212700,0.264,0.2644,0.264,0.264,3232.68
PNUTUSDTSWAP,3,20250604,213000,0.2642,0.2643,0.2631,0.2637,7393.64
PNUTUSDTSWAP,3,20250604,213300,0.2636,0.2637,0.2632,0.2636,4993.11
PNUTUSDTSWAP,3,20250604,213600,0.2635,0.2636,0.2632,0.2632,2806.28
PNUTUSDTSWAP,3,20250604,213900,0.2632,0.2632,0.2629,0.263,2255.36
PNUTUSDTSWAP,3,20250604,214200,0.2631,0.2641,0.2631,0.2639,3125.89
PNUTUSDTSWAP,3,20250604,214500,0.264,0.264,0.2633,0.2634,1848.79
PNUTUSDTSWAP,3,20250604,214800,0.2635,0.2638,0.2627,0.2628,2404.7
PNUTUSDTSWAP,3,20250604,215100,0.2627,0.2629,0.2624,0.2625,2019.64
PNUTUSDTSWAP,3,20250604,215400,0.2625,0.2627,0.2618,0.2622,3451.35
PNUTUSDTSWAP,3,20250604,215700,0.2622,0.2624,0.262,0.2624,1831.2
PNUTUSDTSWAP,3,20250604,220000,0.2623,0.2626,0.2621,0.2623,6518.15
PNUTUSDTSWAP,3,20250604,220300,0.2623,0.2635,0.2623,0.2635,6916.06
PNUTUSDTSWAP,3,20250604,220600,0.2636,0.2636,0.2625,0.2628,13849.28
PNUTUSDTSWAP,3,20250604,220900,0.2628,0.2628,0.2619,0.2622,7256.17
PNUTUSDTSWAP,3,20250604,221200,0.2623,0.2627,0.2622,0.2625,2151.38
