<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POPCATUSDTSWAP,1440,20250225,030000,0.2026,0.2361,0.1956,0.2245,3092323.1
POPCATUSDTSWAP,1440,20250226,030000,0.2246,0.2614,0.22,0.258,2472163.67
POPCATUSDTSWAP,1440,20250227,030000,0.2581,0.2745,0.2471,0.2552,2353088.15
POPCATUSDTSWAP,1440,20250228,030000,0.2553,0.2963,0.2424,0.2823,3326229.15
POPCATUSDTSWAP,1440,20250301,030000,0.2823,0.2935,0.2443,0.2497,1927698.54
POPCATUSDTSWAP,1440,20250302,030000,0.2498,0.2966,0.2209,0.2902,3781201.62
POPCATUSDTSWAP,1440,20250303,030000,0.2901,0.2985,0.2268,0.2281,3654444.24
POPCATUSDTSWAP,1440,20250304,030000,0.2282,0.2312,0.1931,0.2124,2600494.18
POPCATUSDTSWAP,1440,20250305,030000,0.2122,0.2344,0.2075,0.2327,1246795.74
POPCATUSDTSWAP,1440,20250306,030000,0.233,0.2439,0.2213,0.2215,1715245.34
POPCATUSDTSWAP,1440,20250307,030000,0.2215,0.2298,0.2044,0.2084,2150432.75
POPCATUSDTSWAP,1440,20250308,030000,0.2083,0.2156,0.1915,0.1994,1224138.27
POPCATUSDTSWAP,1440,20250309,030000,0.1993,0.2041,0.1645,0.1691,1464670.45
POPCATUSDTSWAP,1440,20250310,030000,0.1692,0.1807,0.1465,0.1509,1387336.79
POPCATUSDTSWAP,1440,20250311,030000,0.151,0.1616,0.1374,0.1558,1328790.19
POPCATUSDTSWAP,1440,20250312,030000,0.1559,0.1661,0.1477,0.1652,1046442.58
POPCATUSDTSWAP,1440,20250313,030000,0.1651,0.1948,0.1576,0.1751,3165520.08
POPCATUSDTSWAP,1440,20250314,030000,0.1751,0.2162,0.1751,0.1917,3106044.27
POPCATUSDTSWAP,1440,20250315,030000,0.1916,0.2032,0.1891,0.1985,1645405.81
