<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POPCATUSDTSWAP,60,20250531,190000,0.3664,0.3739,0.3639,0.3689,47534.17
POPCATUSDTSWAP,60,20250531,200000,0.369,0.3705,0.3626,0.3636,44377.42
POPCATUSDTSWAP,60,20250531,210000,0.3636,0.3698,0.3626,0.3686,17472.07
POPCATUSDTSWAP,60,20250531,220000,0.3687,0.3733,0.3675,0.3686,29444.75
POPCATUSDTSWAP,60,20250531,230000,0.3685,0.3691,0.3664,0.368,20341.94
POPCATUSDTSWAP,60,20250601,000000,0.368,0.3718,0.3644,0.3657,35056.42
POPCATUSDTSWAP,60,20250601,010000,0.3658,0.3692,0.363,0.3631,20362.62
POPCATUSDTSWAP,60,20250601,020000,0.363,0.3681,0.3612,0.364,36199.45
POPCATUSDTSWAP,60,20250601,030000,0.364,0.3702,0.3624,0.3667,30317.2
POPCATUSDTSWAP,60,20250601,040000,0.3666,0.3675,0.359,0.361,33355.47
POPCATUSDTSWAP,60,20250601,050000,0.3609,0.3642,0.3539,0.3618,63070.88
POPCATUSDTSWAP,60,20250601,060000,0.362,0.3622,0.355,0.3575,24099.79
POPCATUSDTSWAP,60,20250601,070000,0.3574,0.3658,0.3567,0.3626,32660.64
POPCATUSDTSWAP,60,20250601,080000,0.3626,0.365,0.3585,0.3588,49857.14
POPCATUSDTSWAP,60,20250601,090000,0.3587,0.3624,0.3565,0.3579,63499.94
POPCATUSDTSWAP,60,20250601,100000,0.3578,0.3601,0.3547,0.3583,31825.95
POPCATUSDTSWAP,60,20250601,110000,0.3583,0.3588,0.355,0.3564,23408.46
POPCATUSDTSWAP,60,20250601,120000,0.3564,0.358,0.3457,0.3505,74165.41
POPCATUSDTSWAP,60,20250601,130000,0.3504,0.3555,0.3492,0.3522,28674.98
POPCATUSDTSWAP,60,20250601,140000,0.3522,0.3581,0.3494,0.3578,29117.43
POPCATUSDTSWAP,60,20250601,150000,0.3578,0.3596,0.3507,0.3535,37708.18
POPCATUSDTSWAP,60,20250601,160000,0.3533,0.3618,0.3521,0.3594,31623.18
POPCATUSDTSWAP,60,20250601,170000,0.3594,0.3679,0.3594,0.3638,33888.19
POPCATUSDTSWAP,60,20250601,180000,0.3638,0.3691,0.3613,0.366,42603.16
POPCATUSDTSWAP,60,20250601,190000,0.3658,0.374,0.3643,0.3694,68815.39
POPCATUSDTSWAP,60,20250601,200000,0.3695,0.3707,0.3647,0.368,26572.22
POPCATUSDTSWAP,60,20250601,210000,0.368,0.368,0.3577,0.3638,46298.45
POPCATUSDTSWAP,60,20250601,220000,0.3639,0.3706,0.3638,0.3689,38311.39
POPCATUSDTSWAP,60,20250601,230000,0.3689,0.3755,0.3661,0.3717,27741.65
POPCATUSDTSWAP,60,20250602,000000,0.3718,0.3816,0.3715,0.3805,42831.73
POPCATUSDTSWAP,60,20250602,010000,0.3804,0.3839,0.3755,0.3766,43214.2
POPCATUSDTSWAP,60,20250602,020000,0.3766,0.3806,0.3736,0.3742,41628.23
POPCATUSDTSWAP,60,20250602,030000,0.3742,0.3745,0.3706,0.3725,34940.18
POPCATUSDTSWAP,60,20250602,040000,0.3725,0.3771,0.3712,0.3713,25587.03
POPCATUSDTSWAP,60,20250602,050000,0.3714,0.372,0.3665,0.367,25920.01
POPCATUSDTSWAP,60,20250602,060000,0.3671,0.3673,0.3618,0.3648,19578.91
POPCATUSDTSWAP,60,20250602,070000,0.3647,0.3661,0.3606,0.3612,11831.96
POPCATUSDTSWAP,60,20250602,080000,0.3611,0.3657,0.359,0.3626,18460.15
POPCATUSDTSWAP,60,20250602,090000,0.3626,0.3698,0.3596,0.3664,27377.75
POPCATUSDTSWAP,60,20250602,100000,0.3663,0.3719,0.3663,0.3697,25181.66
POPCATUSDTSWAP,60,20250602,110000,0.3697,0.3745,0.3632,0.3647,36213.96
POPCATUSDTSWAP,60,20250602,120000,0.3647,0.3647,0.3566,0.3584,60229.48
POPCATUSDTSWAP,60,20250602,130000,0.3583,0.3599,0.3559,0.3596,58184.7
POPCATUSDTSWAP,60,20250602,140000,0.3595,0.3637,0.358,0.3618,36323.88
POPCATUSDTSWAP,60,20250602,150000,0.3616,0.3664,0.3565,0.3664,46471.39
POPCATUSDTSWAP,60,20250602,160000,0.3662,0.3711,0.3602,0.3618,61762.93
POPCATUSDTSWAP,60,20250602,170000,0.3616,0.3698,0.359,0.3637,38677.1
POPCATUSDTSWAP,60,20250602,180000,0.3636,0.3666,0.3583,0.3624,31655.38
POPCATUSDTSWAP,60,20250602,190000,0.3625,0.3626,0.3551,0.3606,37226.94
POPCATUSDTSWAP,60,20250602,200000,0.3605,0.3645,0.3574,0.3641,35331.52
POPCATUSDTSWAP,60,20250602,210000,0.3642,0.3702,0.3625,0.3629,54119.76
POPCATUSDTSWAP,60,20250602,220000,0.3629,0.3664,0.3521,0.3572,42171.88
POPCATUSDTSWAP,60,20250602,230000,0.3573,0.3717,0.3573,0.3715,45057.67
POPCATUSDTSWAP,60,20250603,000000,0.3717,0.3816,0.3716,0.3813,50801.73
POPCATUSDTSWAP,60,20250603,010000,0.3812,0.3892,0.3797,0.3867,84972.53
POPCATUSDTSWAP,60,20250603,020000,0.3868,0.3887,0.3831,0.3865,73864.49
POPCATUSDTSWAP,60,20250603,030000,0.3866,0.3984,0.3832,0.3967,113473.29
POPCATUSDTSWAP,60,20250603,040000,0.3967,0.4288,0.3965,0.4245,291862.9
POPCATUSDTSWAP,60,20250603,050000,0.4247,0.4261,0.4145,0.4181,172929.35
POPCATUSDTSWAP,60,20250603,060000,0.4181,0.422,0.4133,0.4193,115391.84
POPCATUSDTSWAP,60,20250603,070000,0.4192,0.4207,0.4108,0.4146,78365.67
POPCATUSDTSWAP,60,20250603,080000,0.4147,0.4203,0.411,0.4194,68561.11
POPCATUSDTSWAP,60,20250603,090000,0.4194,0.4218,0.4137,0.4215,54272.46
POPCATUSDTSWAP,60,20250603,100000,0.4214,0.4239,0.4162,0.4175,64409.73
POPCATUSDTSWAP,60,20250603,110000,0.4176,0.4194,0.4031,0.407,134981.68
POPCATUSDTSWAP,60,20250603,120000,0.4071,0.4126,0.4036,0.4121,62121.42
POPCATUSDTSWAP,60,20250603,130000,0.412,0.4169,0.4104,0.414,113593.76
POPCATUSDTSWAP,60,20250603,140000,0.4141,0.4158,0.41,0.4118,50277.95
POPCATUSDTSWAP,60,20250603,150000,0.4119,0.4136,0.4077,0.4101,63271.96
POPCATUSDTSWAP,60,20250603,160000,0.4101,0.4193,0.4088,0.4139,125695.65
POPCATUSDTSWAP,60,20250603,170000,0.4139,0.4187,0.4052,0.4179,142923.81
