<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PROMPTUSDTSWAP,1440,20250410,030000,0.18867,0.1969,0.10085,0.17548,35712170.77
PROMPTUSDTSWAP,1440,20250411,030000,0.17547,0.4596,0.15359,0.37229,72790539.81
PROMPTUSDTSWAP,1440,20250412,030000,0.37225,0.635,0.36402,0.47997,107969761.23
PROMPTUSDTSWAP,1440,20250413,030000,0.47985,0.54337,0.41484,0.43008,68365232.39
PROMPTUSDTSWAP,1440,20250414,030000,0.43009,0.4808,0.34295,0.34441,37950014.76
PROMPTUSDTSWAP,1440,20250415,030000,0.34443,0.3513,0.27095,0.2881,44172995.61
PROMPTUSDTSWAP,1440,20250416,030000,0.28811,0.326,0.26552,0.28309,23570214.85
PROMPTUSDTSWAP,1440,20250417,030000,0.28314,0.29166,0.23421,0.2392,14103491.92
PROMPTUSDTSWAP,1440,20250418,030000,0.23921,0.24663,0.21225,0.2267,15317086.35
PROMPTUSDTSWAP,1440,20250419,030000,0.22671,0.23666,0.21137,0.22944,12969233.7
PROMPTUSDTSWAP,1440,20250420,030000,0.22941,0.28799,0.22356,0.25846,18565147.4
PROMPTUSDTSWAP,1440,20250421,030000,0.25841,0.28285,0.23465,0.24081,12069560.0
PROMPTUSDTSWAP,1440,20250422,030000,0.24081,0.26474,0.22151,0.25409,9648192.8
PROMPTUSDTSWAP,1440,20250423,030000,0.25415,0.3441,0.24962,0.28028,16573746.2
PROMPTUSDTSWAP,1440,20250424,030000,0.28028,0.34395,0.26754,0.3062,19778779.42
PROMPTUSDTSWAP,1440,20250425,030000,0.30634,0.36362,0.2908,0.33676,15281188.24
PROMPTUSDTSWAP,1440,20250426,030000,0.33679,0.37996,0.33082,0.36976,11290050.18
PROMPTUSDTSWAP,1440,20250427,030000,0.36976,0.37625,0.31471,0.32556,10779179.92
PROMPTUSDTSWAP,1440,20250428,030000,0.32556,0.35321,0.30917,0.33307,7739196.37
PROMPTUSDTSWAP,1440,20250429,030000,0.33296,0.37279,0.31654,0.35817,7378814.46
PROMPTUSDTSWAP,1440,20250430,030000,0.35815,0.44588,0.35664,0.39362,16054502.1
PROMPTUSDTSWAP,1440,20250501,030000,0.39362,0.39877,0.37,0.37838,5562544.16
PROMPTUSDTSWAP,1440,20250502,030000,0.3782,0.38628,0.33806,0.35277,5640446.81
PROMPTUSDTSWAP,1440,20250503,030000,0.3528,0.35453,0.33019,0.33151,3127218.14
PROMPTUSDTSWAP,1440,20250504,030000,0.3314,0.33283,0.2808,0.30219,8333244.88
PROMPTUSDTSWAP,1440,20250505,030000,0.30223,0.32482,0.2922,0.29719,5134297.75
PROMPTUSDTSWAP,1440,20250506,030000,0.29701,0.30559,0.27224,0.2864,4527275.31
PROMPTUSDTSWAP,1440,20250507,030000,0.28642,0.29669,0.26057,0.27979,3072447.1
PROMPTUSDTSWAP,1440,20250508,030000,0.27983,0.34945,0.27577,0.33967,5371068.21
PROMPTUSDTSWAP,1440,20250509,030000,0.33974,0.36664,0.33115,0.34915,3772594.25
PROMPTUSDTSWAP,1440,20250510,030000,0.34915,0.36594,0.31557,0.34254,3773004.63
PROMPTUSDTSWAP,1440,20250511,030000,0.34245,0.39191,0.32852,0.3611,4358565.25
PROMPTUSDTSWAP,1440,20250512,030000,0.36096,0.37034,0.30374,0.32632,5071411.12
PROMPTUSDTSWAP,1440,20250513,030000,0.32631,0.3295,0.29476,0.31959,3220719.84
PROMPTUSDTSWAP,1440,20250514,030000,0.31954,0.34845,0.28768,0.29159,4581958.83
PROMPTUSDTSWAP,1440,20250515,030000,0.29157,0.30055,0.24736,0.25904,4031714.79
PROMPTUSDTSWAP,1440,20250516,030000,0.25909,0.27112,0.24537,0.25411,2201376.84
PROMPTUSDTSWAP,1440,20250517,030000,0.25413,0.2646,0.23738,0.24928,3312549.48
PROMPTUSDTSWAP,1440,20250518,030000,0.24916,0.28658,0.247,0.28403,1900951.77
PROMPTUSDTSWAP,1440,20250519,030000,0.28401,0.28494,0.2452,0.26468,2061245.46
PROMPTUSDTSWAP,1440,20250520,030000,0.2647,0.309,0.25752,0.2781,5838433.9
PROMPTUSDTSWAP,1440,20250521,030000,0.27814,0.28894,0.2596,0.27392,2740133.48
PROMPTUSDTSWAP,1440,20250522,030000,0.27402,0.2795,0.25082,0.25855,2425361.98
PROMPTUSDTSWAP,1440,20250523,030000,0.2585,0.271,0.22618,0.22892,3430850.77
PROMPTUSDTSWAP,1440,20250524,030000,0.22891,0.23934,0.22486,0.23288,1476964.63
PROMPTUSDTSWAP,1440,20250525,030000,0.23292,0.23506,0.2115,0.22492,1653163.91
PROMPTUSDTSWAP,1440,20250526,030000,0.2249,0.23263,0.21642,0.21957,1233073.62
PROMPTUSDTSWAP,1440,20250527,030000,0.21964,0.23076,0.20673,0.22298,1415925.95
PROMPTUSDTSWAP,1440,20250528,030000,0.22307,0.2261,0.20768,0.21916,1172841.16
PROMPTUSDTSWAP,1440,20250529,030000,0.21917,0.22723,0.20145,0.20426,1406648.18
PROMPTUSDTSWAP,1440,20250530,030000,0.20427,0.2056,0.17001,0.17295,2037163.06
PROMPTUSDTSWAP,1440,20250531,030000,0.17297,0.19248,0.16857,0.18798,1346154.25
PROMPTUSDTSWAP,1440,20250601,030000,0.18797,0.21627,0.18584,0.21204,7722236.74
PROMPTUSDTSWAP,1440,20250602,030000,0.21204,0.22172,0.19537,0.19998,5012760.67
PROMPTUSDTSWAP,1440,20250603,030000,0.19995,0.206,0.19074,0.19284,2288500.33
PROMPTUSDTSWAP,1440,20250604,030000,0.19283,0.19802,0.18109,0.18216,1401809.69
