<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PROMPTUSDTSWAP,60,20250531,190000,0.17402,0.1776,0.1726,0.1766,56523.26
PROMPTUSDTSWAP,60,20250531,200000,0.17659,0.17742,0.17376,0.17421,20417.16
PROMPTUSDTSWAP,60,20250531,210000,0.17418,0.17784,0.17393,0.17722,15535.46
PROMPTUSDTSWAP,60,20250531,220000,0.17724,0.18063,0.17711,0.17959,35459.17
PROMPTUSDTSWAP,60,20250531,230000,0.1796,0.1812,0.17861,0.18072,13160.73
PROMPTUSDTSWAP,60,20250601,000000,0.18066,0.18549,0.18006,0.18475,58163.67
PROMPTUSDTSWAP,60,20250601,010000,0.18476,0.19248,0.18377,0.18723,189129.57
PROMPTUSDTSWAP,60,20250601,020000,0.18728,0.19081,0.18492,0.18798,148837.22
PROMPTUSDTSWAP,60,20250601,030000,0.18797,0.19171,0.18584,0.188,104286.7
PROMPTUSDTSWAP,60,20250601,040000,0.18804,0.18981,0.1862,0.1876,81381.46
PROMPTUSDTSWAP,60,20250601,050000,0.18768,0.19441,0.18644,0.19224,286677.63
PROMPTUSDTSWAP,60,20250601,060000,0.19231,0.19358,0.18783,0.1913,243412.54
PROMPTUSDTSWAP,60,20250601,070000,0.19132,0.19388,0.18844,0.19069,151380.99
PROMPTUSDTSWAP,60,20250601,080000,0.1906,0.19219,0.18824,0.18975,115075.51
PROMPTUSDTSWAP,60,20250601,090000,0.18971,0.19169,0.1885,0.18958,80481.05
PROMPTUSDTSWAP,60,20250601,100000,0.18957,0.19426,0.18837,0.19389,137441.66
PROMPTUSDTSWAP,60,20250601,110000,0.19379,0.19665,0.19273,0.19504,371054.36
PROMPTUSDTSWAP,60,20250601,120000,0.19502,0.20236,0.19491,0.20086,753430.13
PROMPTUSDTSWAP,60,20250601,130000,0.20086,0.20642,0.19895,0.20607,691598.54
PROMPTUSDTSWAP,60,20250601,140000,0.20591,0.2124,0.1923,0.19384,1904017.65
PROMPTUSDTSWAP,60,20250601,150000,0.19392,0.19845,0.19015,0.1973,849182.86
PROMPTUSDTSWAP,60,20250601,160000,0.19734,0.19898,0.19092,0.19142,478179.68
PROMPTUSDTSWAP,60,20250601,170000,0.19137,0.19556,0.19083,0.19366,237768.04
PROMPTUSDTSWAP,60,20250601,180000,0.19368,0.19542,0.19192,0.19413,193835.33
PROMPTUSDTSWAP,60,20250601,190000,0.19415,0.20067,0.19179,0.19772,283736.44
PROMPTUSDTSWAP,60,20250601,200000,0.19772,0.20021,0.19603,0.19866,173332.62
PROMPTUSDTSWAP,60,20250601,210000,0.19864,0.19901,0.19382,0.19728,111897.09
PROMPTUSDTSWAP,60,20250601,220000,0.19731,0.20219,0.19591,0.20159,89306.25
PROMPTUSDTSWAP,60,20250601,230000,0.20158,0.20886,0.19981,0.20695,170032.33
PROMPTUSDTSWAP,60,20250602,000000,0.20695,0.21024,0.2054,0.20816,163347.91
PROMPTUSDTSWAP,60,20250602,010000,0.20815,0.21566,0.20668,0.21092,233850.07
PROMPTUSDTSWAP,60,20250602,020000,0.21094,0.21627,0.20939,0.21204,239081.72
PROMPTUSDTSWAP,60,20250602,030000,0.21204,0.21765,0.20949,0.21723,320973.85
PROMPTUSDTSWAP,60,20250602,040000,0.21728,0.22172,0.2134,0.21643,395815.5
PROMPTUSDTSWAP,60,20250602,050000,0.21643,0.21877,0.21363,0.21552,297351.45
PROMPTUSDTSWAP,60,20250602,060000,0.21554,0.21947,0.21108,0.21429,417064.51
PROMPTUSDTSWAP,60,20250602,070000,0.21428,0.21796,0.21116,0.21273,326323.37
PROMPTUSDTSWAP,60,20250602,080000,0.21282,0.21459,0.20748,0.20805,346931.93
PROMPTUSDTSWAP,60,20250602,090000,0.20804,0.21265,0.20365,0.21012,405898.52
PROMPTUSDTSWAP,60,20250602,100000,0.21009,0.2122,0.20817,0.21047,257817.62
PROMPTUSDTSWAP,60,20250602,110000,0.21048,0.2111,0.20613,0.20664,202321.37
PROMPTUSDTSWAP,60,20250602,120000,0.20664,0.20679,0.20215,0.20349,193708.06
PROMPTUSDTSWAP,60,20250602,130000,0.20346,0.20541,0.20236,0.20263,143398.81
PROMPTUSDTSWAP,60,20250602,140000,0.20264,0.20268,0.19827,0.20043,184182.94
PROMPTUSDTSWAP,60,20250602,150000,0.2004,0.20284,0.1983,0.2002,178368.63
PROMPTUSDTSWAP,60,20250602,160000,0.20017,0.2032,0.19923,0.20081,143857.58
