<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PROMPTUSDTSWAP,3,20250604,172700,0.18279,0.18301,0.18267,0.18268,1655.35
PROMPTUSDTSWAP,3,20250604,173000,0.18269,0.18307,0.18252,0.18306,2819.64
PROMPTUSDTSWAP,3,20250604,173300,0.18307,0.18435,0.18307,0.18435,3894.08
PROMPTUSDTSWAP,3,20250604,173600,0.18432,0.18436,0.18278,0.18298,3581.89
PROMPTUSDTSWAP,3,20250604,173900,0.183,0.18393,0.183,0.18381,2477.09
PROMPTUSDTSWAP,3,20250604,174200,0.18379,0.18381,0.18331,0.18381,1529.32
PROMPTUSDTSWAP,3,20250604,174500,0.18378,0.18383,0.1832,0.18376,1532.36
PROMPTUSDTSWAP,3,20250604,174800,0.18378,0.18408,0.18337,0.1835,3076.66
PROMPTUSDTSWAP,3,20250604,175100,0.18348,0.18391,0.1834,0.18379,1256.65
PROMPTUSDTSWAP,3,20250604,175400,0.18385,0.1846,0.1837,0.1845,2971.02
PROMPTUSDTSWAP,3,20250604,175700,0.18449,0.18517,0.18417,0.18498,6083.93
PROMPTUSDTSWAP,3,20250604,180000,0.18496,0.18505,0.18438,0.18438,6376.87
PROMPTUSDTSWAP,3,20250604,180300,0.18444,0.18465,0.18363,0.18381,4784.56
PROMPTUSDTSWAP,3,20250604,180600,0.18376,0.18503,0.18374,0.18431,5885.83
PROMPTUSDTSWAP,3,20250604,180900,0.18427,0.18483,0.18421,0.18465,2037.47
PROMPTUSDTSWAP,3,20250604,181200,0.18462,0.18556,0.18451,0.18501,6914.94
PROMPTUSDTSWAP,3,20250604,181500,0.18502,0.18578,0.18502,0.18576,7163.97
PROMPTUSDTSWAP,3,20250604,181800,0.18572,0.18572,0.18529,0.18529,3182.31
PROMPTUSDTSWAP,3,20250604,182100,0.18531,0.18649,0.18504,0.18619,7353.1
PROMPTUSDTSWAP,3,20250604,182400,0.18621,0.18631,0.18561,0.186,5520.94
PROMPTUSDTSWAP,3,20250604,182700,0.18601,0.18626,0.18525,0.18533,5732.64
PROMPTUSDTSWAP,3,20250604,183000,0.18527,0.18582,0.18456,0.18567,3606.47
PROMPTUSDTSWAP,3,20250604,183300,0.18573,0.18616,0.18543,0.18568,3482.62
PROMPTUSDTSWAP,3,20250604,183600,0.18567,0.18666,0.18565,0.1864,4707.29
PROMPTUSDTSWAP,3,20250604,183900,0.18642,0.18655,0.18606,0.18638,3445.97
PROMPTUSDTSWAP,3,20250604,184200,0.18642,0.1866,0.18588,0.18623,6303.79
