<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RDNTUSDTSWAP,1440,20250225,030000,0.02876,0.03016,0.02673,0.02969,1037379.79
RDNTUSDTSWAP,1440,20250226,030000,0.02969,0.03028,0.02787,0.02961,817114.31
RDNTUSDTSWAP,1440,20250227,030000,0.02962,0.03069,0.02885,0.02986,599995.46
RDNTUSDTSWAP,1440,20250228,030000,0.02986,0.03027,0.02727,0.02969,939494.94
RDNTUSDTSWAP,1440,20250301,030000,0.0297,0.02986,0.02815,0.02909,665354.7
RDNTUSDTSWAP,1440,20250302,030000,0.0291,0.0321,0.02885,0.03197,881711.78
RDNTUSDTSWAP,1440,20250303,030000,0.03197,0.032,0.02621,0.02699,1402620.03
RDNTUSDTSWAP,1440,20250304,030000,0.02698,0.02756,0.02463,0.02708,1009334.53
RDNTUSDTSWAP,1440,20250305,030000,0.02708,0.02917,0.02677,0.02887,727993.51
RDNTUSDTSWAP,1440,20250306,030000,0.02887,0.02953,0.02738,0.02777,570707.79
RDNTUSDTSWAP,1440,20250307,030000,0.02777,0.02868,0.02633,0.02747,744244.11
RDNTUSDTSWAP,1440,20250308,030000,0.02746,0.02776,0.02655,0.02708,293179.16
RDNTUSDTSWAP,1440,20250309,030000,0.0271,0.02733,0.02371,0.02424,371311.49
RDNTUSDTSWAP,1440,20250310,030000,0.02425,0.02586,0.02275,0.02313,492995.71
RDNTUSDTSWAP,1440,20250311,030000,0.02313,0.02459,0.02093,0.02397,601547.11
RDNTUSDTSWAP,1440,20250312,030000,0.02398,0.0247,0.02279,0.02416,404724.49
RDNTUSDTSWAP,1440,20250313,030000,0.02417,0.0246,0.02299,0.02381,252880.99
RDNTUSDTSWAP,1440,20250314,030000,0.02382,0.02493,0.02369,0.02448,181565.12
RDNTUSDTSWAP,1440,20250315,030000,0.02449,0.02545,0.02427,0.02515,135379.2
RDNTUSDTSWAP,1440,20250316,030000,0.02514,0.02522,0.02356,0.02379,143525.97
RDNTUSDTSWAP,1440,20250317,030000,0.02379,0.02566,0.02377,0.02558,172593.48
RDNTUSDTSWAP,1440,20250318,030000,0.02557,0.02961,0.02459,0.0293,1286927.85
RDNTUSDTSWAP,1440,20250319,030000,0.02929,0.02981,0.02611,0.02738,2243506.18
RDNTUSDTSWAP,1440,20250320,030000,0.02738,0.02765,0.02626,0.02661,338697.2
RDNTUSDTSWAP,1440,20250321,030000,0.02661,0.02706,0.02578,0.02641,192869.25
RDNTUSDTSWAP,1440,20250322,030000,0.0264,0.02703,0.02611,0.02623,167947.74
RDNTUSDTSWAP,1440,20250323,030000,0.02623,0.02689,0.02565,0.0262,159208.99
RDNTUSDTSWAP,1440,20250324,030000,0.0262,0.02727,0.02587,0.02695,141950.79
RDNTUSDTSWAP,1440,20250325,030000,0.02696,0.02725,0.02627,0.02695,138789.43
RDNTUSDTSWAP,1440,20250326,030000,0.02695,0.02762,0.02557,0.02604,140212.66
RDNTUSDTSWAP,1440,20250327,030000,0.02603,0.02708,0.02572,0.02657,149722.24
RDNTUSDTSWAP,1440,20250328,030000,0.02657,0.02678,0.02319,0.02385,288953.98
RDNTUSDTSWAP,1440,20250329,030000,0.02385,0.02404,0.02186,0.02252,147553.08
RDNTUSDTSWAP,1440,20250330,030000,0.02252,0.02328,0.02212,0.02244,108579.35
RDNTUSDTSWAP,1440,20250331,030000,0.02245,0.02296,0.02179,0.02249,135579.82
RDNTUSDTSWAP,1440,20250401,030000,0.02248,0.02352,0.02236,0.02255,109799.58
RDNTUSDTSWAP,1440,20250402,030000,0.02254,0.023,0.02044,0.02085,160430.43
RDNTUSDTSWAP,1440,20250403,030000,0.02083,0.02155,0.01956,0.02019,97234.36
RDNTUSDTSWAP,1440,20250404,030000,0.02019,0.02042,0.01938,0.01995,92739.29
RDNTUSDTSWAP,1440,20250405,030000,0.01994,0.02026,0.01936,0.01973,48655.81
RDNTUSDTSWAP,1440,20250406,030000,0.01974,0.0199,0.01685,0.01729,156007.63
RDNTUSDTSWAP,1440,20250407,030000,0.01729,0.01883,0.01571,0.01784,219725.75
RDNTUSDTSWAP,1440,20250408,030000,0.01785,0.01845,0.01674,0.01691,73975.2
RDNTUSDTSWAP,1440,20250409,030000,0.0169,0.01919,0.01609,0.01895,101931.44
RDNTUSDTSWAP,1440,20250410,030000,0.01895,0.01895,0.01735,0.01789,77460.02
RDNTUSDTSWAP,1440,20250411,030000,0.01788,0.019,0.01783,0.01854,70473.64
RDNTUSDTSWAP,1440,20250412,030000,0.01854,0.01977,0.01849,0.01941,54423.93
RDNTUSDTSWAP,1440,20250413,030000,0.01941,0.01953,0.01753,0.01787,80185.72
RDNTUSDTSWAP,1440,20250414,030000,0.01788,0.01866,0.01774,0.01817,64194.78
RDNTUSDTSWAP,1440,20250415,030000,0.01816,0.01871,0.01787,0.0181,49660.5
RDNTUSDTSWAP,1440,20250416,030000,0.0181,0.01843,0.01729,0.01778,86815.17
RDNTUSDTSWAP,1440,20250417,030000,0.0178,0.01839,0.01756,0.01796,59155.43
RDNTUSDTSWAP,1440,20250418,030000,0.01797,0.0192,0.01778,0.0192,49651.9
RDNTUSDTSWAP,1440,20250419,030000,0.01918,0.02041,0.01911,0.02033,87930.46
RDNTUSDTSWAP,1440,20250420,030000,0.02034,0.02141,0.02006,0.02094,123655.61
RDNTUSDTSWAP,1440,20250421,030000,0.02094,0.02206,0.02091,0.02104,120538.49
RDNTUSDTSWAP,1440,20250422,030000,0.02104,0.02249,0.02043,0.02243,119687.85
RDNTUSDTSWAP,1440,20250423,030000,0.02244,0.02357,0.02241,0.02335,177833.77
RDNTUSDTSWAP,1440,20250424,030000,0.02335,0.03391,0.02213,0.02589,1125760.1
RDNTUSDTSWAP,1440,20250425,030000,0.02589,0.03375,0.02514,0.02762,4628791.29
