<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RDNTUSDTSWAP,3,20250604,172700,0.02416,0.02416,0.02413,0.02414,47.38
RDNTUSDTSWAP,3,20250604,173000,0.02414,0.02416,0.02412,0.02416,67.86
RDNTUSDTSWAP,3,20250604,173300,0.02417,0.02421,0.02416,0.02416,65.04
RDNTUSDTSWAP,3,20250604,173600,0.02415,0.02415,0.02411,0.02411,6.69
RDNTUSDTSWAP,3,20250604,173900,0.0241,0.02416,0.0241,0.02416,17.95
RDNTUSDTSWAP,3,20250604,174200,0.02416,0.02417,0.02414,0.02417,76.64
RDNTUSDTSWAP,3,20250604,174500,0.02416,0.02419,0.02416,0.02419,17.71
RDNTUSDTSWAP,3,20250604,174800,0.0242,0.02424,0.0242,0.02422,133.17
RDNTUSDTSWAP,3,20250604,175100,0.02421,0.02422,0.02421,0.02422,52.51
RDNTUSDTSWAP,3,20250604,175400,0.02424,0.02431,0.02424,0.02431,19.3
RDNTUSDTSWAP,3,20250604,175700,0.02432,0.02437,0.02431,0.02437,427.67
RDNTUSDTSWAP,3,20250604,180000,0.02437,0.0244,0.02435,0.02436,692.16
RDNTUSDTSWAP,3,20250604,180300,0.02436,0.02438,0.02435,0.02437,316.36
RDNTUSDTSWAP,3,20250604,180600,0.02438,0.02449,0.02438,0.02441,900.11
RDNTUSDTSWAP,3,20250604,180900,0.0244,0.02445,0.0244,0.02445,105.87
RDNTUSDTSWAP,3,20250604,181200,0.02443,0.02447,0.02443,0.02445,32.83
RDNTUSDTSWAP,3,20250604,181500,0.02445,0.02456,0.02444,0.02454,170.78
RDNTUSDTSWAP,3,20250604,181800,0.02454,0.02456,0.0245,0.0245,427.78
RDNTUSDTSWAP,3,20250604,182100,0.02451,0.02456,0.0245,0.02455,76.74
RDNTUSDTSWAP,3,20250604,182400,0.02455,0.02456,0.02454,0.02455,35.84
RDNTUSDTSWAP,3,20250604,182700,0.02456,0.02457,0.02454,0.02454,97.7
