<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSRUSDTSWAP,1440,20250225,030000,0.007411,0.007797,0.006881,0.007672,44639.44
RSRUSDTSWAP,1440,20250226,030000,0.007674,0.007932,0.007263,0.007584,29762.9
RSRUSDTSWAP,1440,20250227,030000,0.007583,0.007876,0.007302,0.007537,17606.09
RSRUSDTSWAP,1440,20250228,030000,0.007537,0.007557,0.006661,0.007408,44384.92
RSRUSDTSWAP,1440,20250301,030000,0.007408,0.007533,0.007034,0.007373,32616.81
RSRUSDTSWAP,1440,20250302,030000,0.007372,0.00841,0.007191,0.008237,58020.82
RSRUSDTSWAP,1440,20250303,030000,0.008234,0.008301,0.006725,0.006813,54479.92
RSRUSDTSWAP,1440,20250304,030000,0.006813,0.006914,0.006002,0.006615,68522.93
RSRUSDTSWAP,1440,20250305,030000,0.006613,0.00692,0.006379,0.006836,29726.33
RSRUSDTSWAP,1440,20250306,030000,0.006836,0.007056,0.00647,0.006569,21181.08
RSRUSDTSWAP,1440,20250307,030000,0.006569,0.006875,0.006119,0.006506,40941.13
RSRUSDTSWAP,1440,20250308,030000,0.006504,0.006532,0.00609,0.006166,15853.18
RSRUSDTSWAP,1440,20250309,030000,0.006167,0.006226,0.005162,0.005252,27904.36
RSRUSDTSWAP,1440,20250310,030000,0.005254,0.005738,0.004631,0.00486,40320.29
RSRUSDTSWAP,1440,20250311,030000,0.00486,0.005449,0.00446,0.005248,58159.27
RSRUSDTSWAP,1440,20250312,030000,0.005249,0.00585,0.005108,0.005528,56066.06
RSRUSDTSWAP,1440,20250313,030000,0.005526,0.005556,0.005217,0.005426,23984.45
RSRUSDTSWAP,1440,20250314,030000,0.005425,0.005687,0.005388,0.005537,21680.55
RSRUSDTSWAP,1440,20250315,030000,0.005534,0.005959,0.005476,0.005858,19369.32
RSRUSDTSWAP,1440,20250316,030000,0.005857,0.005865,0.005413,0.005482,43463.0
RSRUSDTSWAP,1440,20250317,030000,0.005483,0.005884,0.005483,0.005765,25543.25
RSRUSDTSWAP,1440,20250318,030000,0.005765,0.005786,0.005292,0.005603,20752.89
RSRUSDTSWAP,1440,20250319,030000,0.005603,0.006171,0.005533,0.006054,49430.58
RSRUSDTSWAP,1440,20250320,030000,0.006052,0.006097,0.005584,0.005712,26753.66
