<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSRUSDTSWAP,60,20250531,190000,0.007117,0.007212,0.007084,0.007181,591.28
RSRUSDTSWAP,60,20250531,200000,0.007182,0.007202,0.00713,0.007139,408.32
RSRUSDTSWAP,60,20250531,210000,0.007141,0.00726,0.007134,0.007252,823.06
RSRUSDTSWAP,60,20250531,220000,0.007252,0.007285,0.007219,0.007233,266.45
RSRUSDTSWAP,60,20250531,230000,0.007232,0.007245,0.007205,0.007234,306.75
RSRUSDTSWAP,60,20250601,000000,0.007235,0.007286,0.007235,0.007254,614.79
RSRUSDTSWAP,60,20250601,010000,0.00726,0.007264,0.007187,0.007187,197.83
RSRUSDTSWAP,60,20250601,020000,0.007187,0.007239,0.007161,0.007166,856.03
RSRUSDTSWAP,60,20250601,030000,0.007167,0.007203,0.007123,0.007171,731.55
RSRUSDTSWAP,60,20250601,040000,0.007171,0.00721,0.007098,0.007117,520.06
RSRUSDTSWAP,60,20250601,050000,0.007116,0.007171,0.007064,0.007148,429.14
RSRUSDTSWAP,60,20250601,060000,0.00715,0.007187,0.0071,0.007164,309.8
RSRUSDTSWAP,60,20250601,070000,0.007163,0.007251,0.007141,0.007229,232.93
RSRUSDTSWAP,60,20250601,080000,0.007224,0.00725,0.007213,0.007232,216.58
RSRUSDTSWAP,60,20250601,090000,0.007234,0.007237,0.007184,0.0072,260.47
RSRUSDTSWAP,60,20250601,100000,0.007197,0.007215,0.007167,0.007185,314.58
RSRUSDTSWAP,60,20250601,110000,0.007183,0.007196,0.007128,0.007149,353.55
RSRUSDTSWAP,60,20250601,120000,0.007149,0.007178,0.007032,0.007088,990.01
RSRUSDTSWAP,60,20250601,130000,0.007088,0.007123,0.007071,0.007117,276.64
RSRUSDTSWAP,60,20250601,140000,0.007114,0.007162,0.007083,0.007129,323.69
RSRUSDTSWAP,60,20250601,150000,0.007132,0.007141,0.007049,0.007087,603.57
RSRUSDTSWAP,60,20250601,160000,0.007086,0.007167,0.007078,0.007142,387.46
RSRUSDTSWAP,60,20250601,170000,0.00714,0.00729,0.00714,0.007246,791.52
RSRUSDTSWAP,60,20250601,180000,0.00725,0.007276,0.00722,0.007249,345.67
RSRUSDTSWAP,60,20250601,190000,0.00725,0.007369,0.007236,0.007318,1542.0
RSRUSDTSWAP,60,20250601,200000,0.007317,0.007346,0.007282,0.007303,596.23
RSRUSDTSWAP,60,20250601,210000,0.007305,0.007307,0.007165,0.007226,1343.18
RSRUSDTSWAP,60,20250601,220000,0.007228,0.007285,0.007224,0.007285,329.37
RSRUSDTSWAP,60,20250601,230000,0.007286,0.007315,0.007256,0.007274,258.58
RSRUSDTSWAP,60,20250602,000000,0.007271,0.007344,0.007269,0.007328,350.77
RSRUSDTSWAP,60,20250602,010000,0.007341,0.007381,0.00732,0.007332,545.9
RSRUSDTSWAP,60,20250602,020000,0.00733,0.007366,0.00729,0.007319,781.66
RSRUSDTSWAP,60,20250602,030000,0.007322,0.007326,0.007286,0.007315,407.04
RSRUSDTSWAP,60,20250602,040000,0.007316,0.00736,0.007283,0.007284,623.95
RSRUSDTSWAP,60,20250602,050000,0.007285,0.00729,0.007228,0.007242,564.97
RSRUSDTSWAP,60,20250602,060000,0.007243,0.007252,0.007179,0.007187,688.53
RSRUSDTSWAP,60,20250602,070000,0.007188,0.007224,0.007172,0.007186,278.28
RSRUSDTSWAP,60,20250602,080000,0.007188,0.007214,0.007123,0.007168,404.87
RSRUSDTSWAP,60,20250602,090000,0.007168,0.007248,0.007137,0.007236,607.39
RSRUSDTSWAP,60,20250602,100000,0.007235,0.007309,0.007232,0.007273,357.65
RSRUSDTSWAP,60,20250602,110000,0.007275,0.007344,0.007216,0.007237,435.74
RSRUSDTSWAP,60,20250602,120000,0.007235,0.007235,0.007143,0.007152,910.88
RSRUSDTSWAP,60,20250602,130000,0.007151,0.007164,0.007091,0.00713,1117.14
RSRUSDTSWAP,60,20250602,140000,0.007129,0.007162,0.007086,0.007125,600.64
RSRUSDTSWAP,60,20250602,150000,0.007125,0.007142,0.007003,0.007132,1670.43
RSRUSDTSWAP,60,20250602,160000,0.007133,0.007193,0.007063,0.007096,610.81
RSRUSDTSWAP,60,20250602,170000,0.007094,0.007217,0.007066,0.007138,1128.68
RSRUSDTSWAP,60,20250602,180000,0.007139,0.007193,0.007091,0.007165,505.96
RSRUSDTSWAP,60,20250602,190000,0.007164,0.007173,0.007067,0.007111,673.37
RSRUSDTSWAP,60,20250602,200000,0.007111,0.007129,0.007044,0.00709,593.56
RSRUSDTSWAP,60,20250602,210000,0.00709,0.007162,0.007028,0.007036,901.54
RSRUSDTSWAP,60,20250602,220000,0.007038,0.007063,0.006859,0.006967,2263.66
RSRUSDTSWAP,60,20250602,230000,0.00697,0.007126,0.006967,0.00712,1463.0
RSRUSDTSWAP,60,20250603,000000,0.007125,0.00719,0.007117,0.007178,584.37
RSRUSDTSWAP,60,20250603,010000,0.007179,0.00727,0.007178,0.007218,804.97
RSRUSDTSWAP,60,20250603,020000,0.007224,0.007256,0.007208,0.007213,881.36
RSRUSDTSWAP,60,20250603,030000,0.007214,0.0073,0.007206,0.007255,891.46
