<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSRUSDTSWAP,3,20250604,172700,0.007051,0.007051,0.007025,0.007032,113.14
RSRUSDTSWAP,3,20250604,173000,0.007033,0.007041,0.007004,0.007017,281.9
RSRUSDTSWAP,3,20250604,173300,0.00702,0.007036,0.007003,0.007015,41.24
RSRUSDTSWAP,3,20250604,173600,0.007013,0.007014,0.006993,0.007,30.77
RSRUSDTSWAP,3,20250604,173900,0.007001,0.007017,0.007001,0.007017,12.6
RSRUSDTSWAP,3,20250604,174200,0.007014,0.007024,0.007013,0.007024,18.83
RSRUSDTSWAP,3,20250604,174500,0.007023,0.00704,0.00702,0.00704,10.34
RSRUSDTSWAP,3,20250604,174800,0.007043,0.007061,0.007037,0.007043,36.27
RSRUSDTSWAP,3,20250604,175100,0.007037,0.00704,0.00703,0.00704,6.53
RSRUSDTSWAP,3,20250604,175400,0.007047,0.007075,0.007047,0.007075,19.91
RSRUSDTSWAP,3,20250604,175700,0.007075,0.007089,0.007071,0.007089,36.87
RSRUSDTSWAP,3,20250604,180000,0.007089,0.007098,0.007073,0.007073,138.58
RSRUSDTSWAP,3,20250604,180300,0.00707,0.007078,0.007063,0.007066,20.99
RSRUSDTSWAP,3,20250604,180600,0.00707,0.007102,0.00707,0.00708,100.75
RSRUSDTSWAP,3,20250604,180900,0.007085,0.007107,0.007085,0.007107,75.9
RSRUSDTSWAP,3,20250604,181200,0.007106,0.007112,0.007099,0.007104,108.22
RSRUSDTSWAP,3,20250604,181500,0.007105,0.007151,0.007105,0.00714,55.03
RSRUSDTSWAP,3,20250604,181800,0.007139,0.007151,0.007134,0.007141,42.66
RSRUSDTSWAP,3,20250604,182100,0.007137,0.007153,0.00713,0.007148,45.0
RSRUSDTSWAP,3,20250604,182400,0.007148,0.007148,0.007131,0.007131,74.25
RSRUSDTSWAP,3,20250604,182700,0.007132,0.007137,0.007121,0.007122,39.16
RSRUSDTSWAP,3,20250604,183000,0.007125,0.007128,0.007108,0.007126,23.63
RSRUSDTSWAP,3,20250604,183300,0.007131,0.007138,0.007126,0.007126,16.16
RSRUSDTSWAP,3,20250604,183600,0.007125,0.007168,0.007125,0.007168,62.27
RSRUSDTSWAP,3,20250604,183900,0.00716,0.007167,0.007157,0.007162,5.48
RSRUSDTSWAP,3,20250604,184200,0.007167,0.007179,0.007158,0.007161,52.41
RSRUSDTSWAP,3,20250604,184500,0.007167,0.007173,0.00716,0.007169,6.03
RSRUSDTSWAP,3,20250604,184800,0.00715,0.007154,0.007142,0.007154,28.06
RSRUSDTSWAP,3,20250604,185100,0.007151,0.007175,0.00715,0.007168,13.4
RSRUSDTSWAP,3,20250604,185400,0.007167,0.007189,0.007166,0.007188,31.32
RSRUSDTSWAP,3,20250604,185700,0.007183,0.007183,0.007163,0.007169,33.11
RSRUSDTSWAP,3,20250604,190000,0.00717,0.007178,0.007162,0.007162,17.1
RSRUSDTSWAP,3,20250604,190300,0.007165,0.00717,0.007143,0.007143,45.56
RSRUSDTSWAP,3,20250604,190600,0.007142,0.007153,0.007132,0.007132,26.7
RSRUSDTSWAP,3,20250604,190900,0.007138,0.007152,0.007136,0.007152,10.69
RSRUSDTSWAP,3,20250604,191200,0.007152,0.007152,0.007146,0.007149,48.98
RSRUSDTSWAP,3,20250604,191500,0.007143,0.007144,0.007119,0.007119,12.06
RSRUSDTSWAP,3,20250604,191800,0.007118,0.007127,0.007111,0.007126,22.06
RSRUSDTSWAP,3,20250604,192100,0.007131,0.007133,0.00712,0.007126,36.01
RSRUSDTSWAP,3,20250604,192400,0.007122,0.007125,0.007117,0.007117,10.91
RSRUSDTSWAP,3,20250604,192700,0.007117,0.007131,0.007117,0.007118,13.73
RSRUSDTSWAP,3,20250604,193000,0.007119,0.007126,0.007112,0.007126,18.73
RSRUSDTSWAP,3,20250604,193300,0.007132,0.007147,0.007132,0.007146,5.65
RSRUSDTSWAP,3,20250604,193600,0.007147,0.007147,0.007135,0.007138,15.04
RSRUSDTSWAP,3,20250604,193900,0.007142,0.007157,0.007142,0.007144,8.03
RSRUSDTSWAP,3,20250604,194200,0.007142,0.007143,0.007127,0.007134,6.18
