<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RVNUSDTSWAP,1440,20250225,030000,0.01316,0.01386,0.0127,0.01365,188673.42
RVNUSDTSWAP,1440,20250226,030000,0.01365,0.01381,0.01299,0.01348,84969.72
RVNUSDTSWAP,1440,20250227,030000,0.01348,0.01391,0.01311,0.01349,77891.07
RVNUSDTSWAP,1440,20250228,030000,0.01349,0.01353,0.01228,0.0134,119816.62
RVNUSDTSWAP,1440,20250301,030000,0.0134,0.01349,0.01291,0.01336,58696.81
RVNUSDTSWAP,1440,20250302,030000,0.01337,0.01489,0.01309,0.01485,127401.73
RVNUSDTSWAP,1440,20250303,030000,0.01486,0.0149,0.01233,0.01253,147782.08
RVNUSDTSWAP,1440,20250304,030000,0.01253,0.01275,0.01154,0.01257,163721.3
RVNUSDTSWAP,1440,20250305,030000,0.01256,0.01321,0.01242,0.01315,99094.81
RVNUSDTSWAP,1440,20250306,030000,0.01314,0.01344,0.01246,0.0127,104833.73
RVNUSDTSWAP,1440,20250307,030000,0.01271,0.01325,0.01211,0.01265,137116.41
RVNUSDTSWAP,1440,20250308,030000,0.01265,0.01277,0.01229,0.01246,69027.42
RVNUSDTSWAP,1440,20250309,030000,0.01246,0.01258,0.01106,0.01123,108725.97
RVNUSDTSWAP,1440,20250310,030000,0.01123,0.01203,0.01066,0.011,125504.63
RVNUSDTSWAP,1440,20250311,030000,0.011,0.01214,0.01048,0.0118,165312.18
RVNUSDTSWAP,1440,20250312,030000,0.01181,0.01274,0.01157,0.01216,152187.3
RVNUSDTSWAP,1440,20250313,030000,0.01215,0.01232,0.01163,0.01193,74132.97
RVNUSDTSWAP,1440,20250314,030000,0.01193,0.01259,0.01183,0.01235,75127.34
RVNUSDTSWAP,1440,20250315,030000,0.01235,0.01254,0.01224,0.01239,47312.45
RVNUSDTSWAP,1440,20250316,030000,0.0124,0.01255,0.01188,0.01198,87934.48
RVNUSDTSWAP,1440,20250317,030000,0.01197,0.01262,0.01193,0.01234,72112.82
RVNUSDTSWAP,1440,20250318,030000,0.01233,0.01239,0.01172,0.01217,63023.54
RVNUSDTSWAP,1440,20250319,030000,0.01217,0.01301,0.01214,0.01296,146857.98
RVNUSDTSWAP,1440,20250320,030000,0.01297,0.01302,0.01222,0.0124,106831.96
