<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RVNUSDTSWAP,60,20250531,190000,0.01068,0.01086,0.01066,0.01081,3536.68
RVNUSDTSWAP,60,20250531,200000,0.01081,0.01083,0.01071,0.01071,875.64
RVNUSDTSWAP,60,20250531,210000,0.01072,0.01082,0.01071,0.0108,531.71
RVNUSDTSWAP,60,20250531,220000,0.01081,0.01086,0.01079,0.01081,1603.05
RVNUSDTSWAP,60,20250531,230000,0.01081,0.01084,0.01077,0.01083,365.24
RVNUSDTSWAP,60,20250601,000000,0.01084,0.01114,0.01084,0.01102,13934.47
RVNUSDTSWAP,60,20250601,010000,0.01101,0.01102,0.01085,0.01085,4490.29
RVNUSDTSWAP,60,20250601,020000,0.01086,0.01088,0.01074,0.01075,3866.96
RVNUSDTSWAP,60,20250601,030000,0.01075,0.01078,0.01068,0.01072,2470.91
RVNUSDTSWAP,60,20250601,040000,0.01071,0.01076,0.01064,0.01066,3045.22
RVNUSDTSWAP,60,20250601,050000,0.01066,0.01076,0.01061,0.01073,1876.37
RVNUSDTSWAP,60,20250601,060000,0.01073,0.01075,0.01064,0.01071,1995.5
RVNUSDTSWAP,60,20250601,070000,0.0107,0.01083,0.01067,0.01082,2734.25
RVNUSDTSWAP,60,20250601,080000,0.01082,0.01086,0.0108,0.01084,1505.85
RVNUSDTSWAP,60,20250601,090000,0.01082,0.01086,0.01078,0.01083,1507.88
RVNUSDTSWAP,60,20250601,100000,0.01082,0.01083,0.01077,0.01079,1330.75
RVNUSDTSWAP,60,20250601,110000,0.01079,0.0108,0.01071,0.01072,2008.13
RVNUSDTSWAP,60,20250601,120000,0.01073,0.01075,0.01034,0.01042,18637.4
RVNUSDTSWAP,60,20250601,130000,0.01042,0.01049,0.01038,0.01047,6973.19
RVNUSDTSWAP,60,20250601,140000,0.01046,0.01057,0.01044,0.01052,3826.28
RVNUSDTSWAP,60,20250601,150000,0.01053,0.01055,0.0104,0.01045,4413.0
