<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RVNUSDTSWAP,3,20250604,172700,0.01098,0.01098,0.01097,0.01098,10.35
RVNUSDTSWAP,3,20250604,173000,0.01097,0.01097,0.01097,0.01097,0.49
RVNUSDTSWAP,3,20250604,173300,0.01098,0.01099,0.01098,0.01098,17.63
RVNUSDTSWAP,3,20250604,173600,0.01097,0.01097,0.01097,0.01097,18.89
RVNUSDTSWAP,3,20250604,173900,0.01097,0.01098,0.01097,0.01098,340.2
RVNUSDTSWAP,3,20250604,174200,0.01099,0.01099,0.01098,0.01099,14.99
RVNUSDTSWAP,3,20250604,174500,0.01099,0.01101,0.01099,0.01101,42.81
RVNUSDTSWAP,3,20250604,174800,0.01101,0.01102,0.01101,0.01101,13.67
RVNUSDTSWAP,3,20250604,175100,0.011,0.01102,0.011,0.01102,44.93
RVNUSDTSWAP,3,20250604,175400,0.01102,0.01103,0.01102,0.01103,4.42
RVNUSDTSWAP,3,20250604,175700,0.01103,0.01106,0.01103,0.01106,37.28
RVNUSDTSWAP,3,20250604,180000,0.01105,0.01106,0.01104,0.01105,150.61
RVNUSDTSWAP,3,20250604,180300,0.01106,0.01106,0.01105,0.01106,83.51
RVNUSDTSWAP,3,20250604,180600,0.01106,0.01109,0.01106,0.01107,414.79
RVNUSDTSWAP,3,20250604,180900,0.01108,0.01109,0.01107,0.01109,393.83
RVNUSDTSWAP,3,20250604,181200,0.01108,0.0111,0.01108,0.01109,8.89
RVNUSDTSWAP,3,20250604,181500,0.0111,0.01112,0.01109,0.01111,180.46
RVNUSDTSWAP,3,20250604,181800,0.01112,0.01113,0.01112,0.01112,116.67
RVNUSDTSWAP,3,20250604,182100,0.01111,0.01113,0.01111,0.01113,157.72
RVNUSDTSWAP,3,20250604,182400,0.01112,0.01112,0.01112,0.01112,0.37
RVNUSDTSWAP,3,20250604,182700,0.01113,0.01113,0.01111,0.01112,114.67
RVNUSDTSWAP,3,20250604,183000,0.01111,0.01112,0.01109,0.01112,113.68
RVNUSDTSWAP,3,20250604,183300,0.01112,0.01113,0.01112,0.01112,67.11
RVNUSDTSWAP,3,20250604,183600,0.01112,0.01115,0.01112,0.01115,140.66
RVNUSDTSWAP,3,20250604,183900,0.01115,0.01115,0.01114,0.01115,47.1
RVNUSDTSWAP,3,20250604,184200,0.01115,0.01116,0.01114,0.01114,92.17
RVNUSDTSWAP,3,20250604,184500,0.01114,0.01115,0.01114,0.01114,5.77
RVNUSDTSWAP,3,20250604,184800,0.01113,0.01115,0.01112,0.01115,290.73
RVNUSDTSWAP,3,20250604,185100,0.01114,0.01115,0.01114,0.01115,13.09
RVNUSDTSWAP,3,20250604,185400,0.01115,0.01116,0.01115,0.01116,11.94
RVNUSDTSWAP,3,20250604,185700,0.01116,0.01116,0.01114,0.01115,21.72
RVNUSDTSWAP,3,20250604,190000,0.01115,0.01115,0.01114,0.01114,41.08
RVNUSDTSWAP,3,20250604,190300,0.01114,0.01114,0.01114,0.01114,56.28
RVNUSDTSWAP,3,20250604,190600,0.01113,0.01113,0.0111,0.0111,174.02
RVNUSDTSWAP,3,20250604,190900,0.0111,0.01111,0.0111,0.01111,106.04
RVNUSDTSWAP,3,20250604,191200,0.01112,0.01112,0.01111,0.01112,32.49
RVNUSDTSWAP,3,20250604,191500,0.01111,0.01111,0.0111,0.0111,2.93
RVNUSDTSWAP,3,20250604,191800,0.0111,0.0111,0.01109,0.01109,339.83
RVNUSDTSWAP,3,20250604,192100,0.0111,0.0111,0.01108,0.01108,18.15
RVNUSDTSWAP,3,20250604,192400,0.01107,0.01107,0.01106,0.01106,11.24
RVNUSDTSWAP,3,20250604,192700,0.01106,0.01107,0.01106,0.01106,2.31
RVNUSDTSWAP,3,20250604,193000,0.01105,0.01106,0.01105,0.01105,45.58
RVNUSDTSWAP,3,20250604,193300,0.01106,0.01106,0.01106,0.01106,198.45
RVNUSDTSWAP,3,20250604,193600,0.01106,0.01106,0.01106,0.01106,96.6
RVNUSDTSWAP,3,20250604,193900,0.01107,0.01109,0.01107,0.01109,282.73
RVNUSDTSWAP,3,20250604,194200,0.01109,0.01109,0.01109,0.01109,0.37
RVNUSDTSWAP,3,20250604,194500,0.01108,0.01108,0.01108,0.01108,106.74
RVNUSDTSWAP,3,20250604,194800,0.01108,0.01109,0.01108,0.01109,1.2
RVNUSDTSWAP,3,20250604,195100,0.01109,0.01109,0.01109,0.01109,1.25
RVNUSDTSWAP,3,20250604,195400,0.0111,0.0111,0.0111,0.0111,5.48
RVNUSDTSWAP,3,20250604,195700,0.01109,0.01109,0.01108,0.01109,3.85
RVNUSDTSWAP,3,20250604,200000,0.01109,0.01109,0.01108,0.01108,38.81
RVNUSDTSWAP,3,20250604,200300,0.01108,0.01108,0.01105,0.01105,152.54
RVNUSDTSWAP,3,20250604,200600,0.01105,0.01106,0.01104,0.01104,8.87
RVNUSDTSWAP,3,20250604,200900,0.01104,0.01104,0.01103,0.01104,27.41
RVNUSDTSWAP,3,20250604,201200,0.01104,0.01105,0.01104,0.01105,14.14
RVNUSDTSWAP,3,20250604,201500,0.01105,0.01105,0.01102,0.01102,1.29
RVNUSDTSWAP,3,20250604,201800,0.01103,0.01104,0.01103,0.01104,80.0
RVNUSDTSWAP,3,20250604,202100,0.01104,0.01104,0.01103,0.01103,5.32
RVNUSDTSWAP,3,20250604,202400,0.01102,0.01102,0.01101,0.01101,57.13
RVNUSDTSWAP,3,20250604,202700,0.01101,0.01101,0.01099,0.01099,404.64
RVNUSDTSWAP,3,20250604,203000,0.01099,0.01099,0.01095,0.01095,111.86
RVNUSDTSWAP,3,20250604,203300,0.01095,0.01096,0.01094,0.01096,307.95
RVNUSDTSWAP,3,20250604,203600,0.01096,0.01096,0.01094,0.01094,149.44
RVNUSDTSWAP,3,20250604,203900,0.01094,0.01097,0.01094,0.01095,98.92
RVNUSDTSWAP,3,20250604,204200,0.01097,0.01097,0.01096,0.01096,135.91
RVNUSDTSWAP,3,20250604,204500,0.01097,0.01097,0.01095,0.01095,100.11
RVNUSDTSWAP,3,20250604,204800,0.01096,0.01096,0.01096,0.01096,72.29
RVNUSDTSWAP,3,20250604,205100,0.01096,0.01097,0.01096,0.01097,11.84
RVNUSDTSWAP,3,20250604,205400,0.01097,0.01098,0.01097,0.01098,70.81
RVNUSDTSWAP,3,20250604,205700,0.01098,0.01099,0.01098,0.01099,15.55
RVNUSDTSWAP,3,20250604,210000,0.01099,0.01101,0.01099,0.011,179.69
RVNUSDTSWAP,3,20250604,210300,0.01099,0.01102,0.01099,0.01101,90.52
RVNUSDTSWAP,3,20250604,210600,0.011,0.011,0.01098,0.01098,84.69
RVNUSDTSWAP,3,20250604,210900,0.01098,0.01099,0.01098,0.01099,110.44
RVNUSDTSWAP,3,20250604,211200,0.01099,0.011,0.01099,0.011,57.15
RVNUSDTSWAP,3,20250604,211500,0.01099,0.01099,0.01099,0.01099,32.23
RVNUSDTSWAP,3,20250604,211800,0.01099,0.011,0.01099,0.011,77.11
RVNUSDTSWAP,3,20250604,212100,0.011,0.011,0.011,0.011,1.02
RVNUSDTSWAP,3,20250604,212400,0.011,0.01101,0.011,0.01101,102.81
RVNUSDTSWAP,3,20250604,212700,0.01101,0.01101,0.01101,0.01101,28.8
RVNUSDTSWAP,3,20250604,213000,0.01101,0.01101,0.011,0.011,66.67
RVNUSDTSWAP,3,20250604,213300,0.01099,0.01099,0.01099,0.01099,21.79
RVNUSDTSWAP,3,20250604,213600,0.01099,0.01101,0.01099,0.011,121.97
RVNUSDTSWAP,3,20250604,213900,0.011,0.011,0.01099,0.01099,4.93
RVNUSDTSWAP,3,20250604,214200,0.01099,0.01101,0.01099,0.01101,77.53
RVNUSDTSWAP,3,20250604,214500,0.011,0.011,0.01099,0.01099,88.99
RVNUSDTSWAP,3,20250604,214800,0.011,0.01101,0.01099,0.01099,42.16
RVNUSDTSWAP,3,20250604,215100,0.01098,0.01098,0.01097,0.01098,74.85
RVNUSDTSWAP,3,20250604,215400,0.01096,0.01096,0.01095,0.01095,65.07
RVNUSDTSWAP,3,20250604,215700,0.01095,0.01096,0.01095,0.01096,82.53
RVNUSDTSWAP,3,20250604,220000,0.01096,0.01097,0.01095,0.01096,36.56
RVNUSDTSWAP,3,20250604,220300,0.01095,0.01097,0.01095,0.01097,38.12
RVNUSDTSWAP,3,20250604,220600,0.01097,0.01098,0.01096,0.01096,60.98
RVNUSDTSWAP,3,20250604,220900,0.01095,0.01095,0.01094,0.01094,45.64
RVNUSDTSWAP,3,20250604,221200,0.01095,0.01096,0.01095,0.01095,10.8
RVNUSDTSWAP,3,20250604,221500,0.01095,0.01095,0.01092,0.01093,129.44
RVNUSDTSWAP,3,20250604,221800,0.01093,0.01096,0.01093,0.01096,125.5
RVNUSDTSWAP,3,20250604,222100,0.01095,0.01095,0.01095,0.01095,0.12
RVNUSDTSWAP,3,20250604,222400,0.01095,0.01095,0.01095,0.01095,0.0
