<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SATSUSDTSWAP,60,20250531,190000,0.00000004424,0.00000004554,0.00000004403,0.00000004515,0.09
SATSUSDTSWAP,60,20250531,200000,0.00000004515,0.00000004533,0.0000000448,0.00000004487,0.06
SATSUSDTSWAP,60,20250531,210000,0.00000004488,0.00000004564,0.00000004482,0.0000000454,0.04
SATSUSDTSWAP,60,20250531,220000,0.0000000454,0.00000004615,0.00000004529,0.00000004599,0.06
SATSUSDTSWAP,60,20250531,230000,0.00000004599,0.00000004635,0.00000004565,0.00000004619,0.07
SATSUSDTSWAP,60,20250601,000000,0.00000004619,0.00000004661,0.00000004584,0.0000000462,0.06
SATSUSDTSWAP,60,20250601,010000,0.00000004622,0.00000004634,0.00000004579,0.0000000462,0.04
SATSUSDTSWAP,60,20250601,020000,0.00000004621,0.00000004636,0.00000004566,0.00000004598,0.07
SATSUSDTSWAP,60,20250601,030000,0.00000004598,0.00000004609,0.00000004543,0.00000004565,0.07
SATSUSDTSWAP,60,20250601,040000,0.00000004564,0.000000046,0.0000000452,0.00000004536,0.07
SATSUSDTSWAP,60,20250601,050000,0.00000004536,0.00000004593,0.00000004491,0.00000004557,0.08
SATSUSDTSWAP,60,20250601,060000,0.00000004557,0.00000004574,0.00000004528,0.00000004539,0.05
SATSUSDTSWAP,60,20250601,070000,0.00000004539,0.0000000461,0.00000004526,0.00000004597,0.05
SATSUSDTSWAP,60,20250601,080000,0.00000004597,0.00000004628,0.00000004574,0.00000004616,0.04
SATSUSDTSWAP,60,20250601,090000,0.00000004615,0.00000004624,0.00000004551,0.00000004565,0.05
SATSUSDTSWAP,60,20250601,100000,0.00000004565,0.00000004577,0.00000004535,0.00000004571,0.04
SATSUSDTSWAP,60,20250601,110000,0.00000004569,0.00000004572,0.0000000452,0.00000004539,0.04
SATSUSDTSWAP,60,20250601,120000,0.00000004539,0.00000004553,0.00000004434,0.00000004463,0.1
SATSUSDTSWAP,60,20250601,130000,0.00000004464,0.00000004502,0.0000000445,0.00000004495,0.04
SATSUSDTSWAP,60,20250601,140000,0.00000004495,0.00000004544,0.00000004482,0.00000004529,0.05
SATSUSDTSWAP,60,20250601,150000,0.00000004529,0.00000004554,0.00000004468,0.00000004483,0.05
SATSUSDTSWAP,60,20250601,160000,0.00000004484,0.00000004572,0.0000000448,0.00000004562,0.04
SATSUSDTSWAP,60,20250601,170000,0.00000004561,0.00000004676,0.00000004561,0.00000004639,0.08
SATSUSDTSWAP,60,20250601,180000,0.00000004641,0.00000004656,0.00000004607,0.00000004622,0.05
SATSUSDTSWAP,60,20250601,190000,0.00000004621,0.00000004689,0.00000004604,0.00000004649,0.08
SATSUSDTSWAP,60,20250601,200000,0.00000004651,0.00000004681,0.00000004643,0.00000004652,0.04
SATSUSDTSWAP,60,20250601,210000,0.00000004653,0.00000004661,0.00000004536,0.00000004598,0.07
SATSUSDTSWAP,60,20250601,220000,0.00000004598,0.0000000462,0.00000004581,0.000000046,0.03
SATSUSDTSWAP,60,20250601,230000,0.000000046,0.00000004647,0.0000000458,0.00000004631,0.03
SATSUSDTSWAP,60,20250602,000000,0.0000000463,0.00000004675,0.0000000463,0.00000004667,0.02
SATSUSDTSWAP,60,20250602,010000,0.00000004667,0.0000000469,0.0000000465,0.00000004664,0.04
SATSUSDTSWAP,60,20250602,020000,0.00000004664,0.00000004685,0.00000004625,0.00000004636,0.03
SATSUSDTSWAP,60,20250602,030000,0.00000004637,0.0000000465,0.00000004601,0.00000004621,0.04
SATSUSDTSWAP,60,20250602,040000,0.00000004621,0.00000004667,0.00000004566,0.00000004573,0.05
SATSUSDTSWAP,60,20250602,050000,0.00000004574,0.00000004588,0.00000004542,0.00000004557,0.06
SATSUSDTSWAP,60,20250602,060000,0.00000004558,0.00000004561,0.00000004513,0.00000004548,0.05
SATSUSDTSWAP,60,20250602,070000,0.00000004548,0.00000004576,0.00000004518,0.00000004522,0.04
SATSUSDTSWAP,60,20250602,080000,0.00000004522,0.00000004554,0.00000004492,0.00000004526,0.04
SATSUSDTSWAP,60,20250602,090000,0.00000004527,0.00000004591,0.00000004493,0.00000004557,0.05
SATSUSDTSWAP,60,20250602,100000,0.00000004557,0.00000004607,0.00000004556,0.0000000457,0.03
SATSUSDTSWAP,60,20250602,110000,0.0000000457,0.00000004606,0.00000004551,0.00000004562,0.05
SATSUSDTSWAP,60,20250602,120000,0.00000004563,0.00000004563,0.00000004468,0.00000004491,0.07
SATSUSDTSWAP,60,20250602,130000,0.00000004491,0.0000000452,0.00000004472,0.00000004492,0.05
SATSUSDTSWAP,60,20250602,140000,0.00000004492,0.00000004544,0.00000004482,0.0000000453,0.05
SATSUSDTSWAP,60,20250602,150000,0.00000004529,0.00000004547,0.00000004475,0.00000004538,0.06
SATSUSDTSWAP,60,20250602,160000,0.00000004538,0.0000000458,0.0000000449,0.00000004527,0.07
SATSUSDTSWAP,60,20250602,170000,0.00000004525,0.00000004614,0.00000004505,0.00000004559,0.09
SATSUSDTSWAP,60,20250602,180000,0.0000000456,0.00000004606,0.00000004517,0.00000004579,0.06
SATSUSDTSWAP,60,20250602,190000,0.0000000458,0.00000004583,0.0000000452,0.00000004562,0.05
SATSUSDTSWAP,60,20250602,200000,0.00000004561,0.00000004579,0.00000004517,0.00000004558,0.04
SATSUSDTSWAP,60,20250602,210000,0.00000004559,0.00000004634,0.0000000455,0.00000004563,0.06
SATSUSDTSWAP,60,20250602,220000,0.00000004563,0.00000004586,0.00000004483,0.00000004521,0.05
SATSUSDTSWAP,60,20250602,230000,0.00000004522,0.00000004663,0.00000004522,0.0000000466,0.06
SATSUSDTSWAP,60,20250603,000000,0.00000004659,0.00000004698,0.00000004642,0.00000004685,0.06
SATSUSDTSWAP,60,20250603,010000,0.00000004685,0.00000004775,0.00000004685,0.00000004717,0.07
SATSUSDTSWAP,60,20250603,020000,0.00000004718,0.0000000473,0.00000004683,0.00000004685,0.06
SATSUSDTSWAP,60,20250603,030000,0.00000004686,0.00000004795,0.00000004665,0.00000004768,0.1
SATSUSDTSWAP,60,20250603,040000,0.00000004768,0.00000004866,0.00000004761,0.00000004851,0.08
SATSUSDTSWAP,60,20250603,050000,0.00000004852,0.00000004856,0.00000004726,0.0000000474,0.08
SATSUSDTSWAP,60,20250603,060000,0.00000004739,0.00000004749,0.00000004683,0.00000004723,0.07
SATSUSDTSWAP,60,20250603,070000,0.00000004723,0.0000000473,0.00000004649,0.0000000467,0.09
SATSUSDTSWAP,60,20250603,080000,0.00000004669,0.00000004729,0.00000004665,0.00000004723,0.05
SATSUSDTSWAP,60,20250603,090000,0.00000004722,0.00000004744,0.0000000468,0.00000004741,0.05
SATSUSDTSWAP,60,20250603,100000,0.00000004741,0.0000000477,0.00000004726,0.00000004749,0.07
SATSUSDTSWAP,60,20250603,110000,0.0000000475,0.00000004778,0.00000004676,0.0000000475,0.1
SATSUSDTSWAP,60,20250603,120000,0.00000004752,0.00000004832,0.00000004727,0.00000004787,0.08
SATSUSDTSWAP,60,20250603,130000,0.00000004787,0.00000004806,0.00000004752,0.0000000477,0.05
SATSUSDTSWAP,60,20250603,140000,0.00000004771,0.00000004799,0.00000004748,0.00000004779,0.04
SATSUSDTSWAP,60,20250603,150000,0.00000004778,0.00000004815,0.00000004751,0.00000004781,0.06
SATSUSDTSWAP,60,20250603,160000,0.00000004782,0.0000000485,0.00000004778,0.00000004798,0.13
SATSUSDTSWAP,60,20250603,170000,0.00000004797,0.00000004863,0.00000004747,0.00000004855,0.12
SATSUSDTSWAP,60,20250603,180000,0.00000004855,0.0000000489,0.00000004829,0.00000004841,0.07
SATSUSDTSWAP,60,20250603,190000,0.00000004841,0.00000004847,0.00000004796,0.00000004801,0.06
SATSUSDTSWAP,60,20250603,200000,0.00000004801,0.00000004908,0.00000004795,0.0000000489,0.09
