<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SATSUSDTSWAP,3,20250604,172700,0.00000004653,0.00000004653,0.00000004641,0.00000004644,0.0
SATSUSDTSWAP,3,20250604,173000,0.00000004644,0.00000004654,0.00000004641,0.00000004652,0.0
SATSUSDTSWAP,3,20250604,173300,0.00000004654,0.00000004665,0.00000004648,0.00000004652,0.0
SATSUSDTSWAP,3,20250604,173600,0.00000004651,0.00000004652,0.00000004641,0.00000004642,0.0
SATSUSDTSWAP,3,20250604,173900,0.00000004642,0.00000004659,0.00000004642,0.00000004657,0.0
SATSUSDTSWAP,3,20250604,174200,0.00000004657,0.00000004657,0.00000004646,0.00000004657,0.0
SATSUSDTSWAP,3,20250604,174500,0.00000004657,0.00000004666,0.00000004646,0.00000004666,0.0
SATSUSDTSWAP,3,20250604,174800,0.00000004666,0.00000004678,0.00000004662,0.00000004666,0.0
SATSUSDTSWAP,3,20250604,175100,0.00000004665,0.0000000467,0.00000004661,0.0000000467,0.0
SATSUSDTSWAP,3,20250604,175400,0.0000000467,0.00000004683,0.00000004667,0.00000004671,0.01
SATSUSDTSWAP,3,20250604,175700,0.00000004671,0.00000004678,0.00000004668,0.00000004674,0.0
SATSUSDTSWAP,3,20250604,180000,0.00000004673,0.0000000468,0.00000004669,0.00000004669,0.0
SATSUSDTSWAP,3,20250604,180300,0.00000004669,0.00000004673,0.00000004661,0.00000004666,0.0
SATSUSDTSWAP,3,20250604,180600,0.00000004666,0.0000000469,0.00000004666,0.00000004672,0.0
SATSUSDTSWAP,3,20250604,180900,0.00000004673,0.00000004692,0.00000004673,0.00000004692,0.0
SATSUSDTSWAP,3,20250604,181200,0.0000000469,0.000000047,0.0000000469,0.00000004693,0.01
SATSUSDTSWAP,3,20250604,181500,0.00000004695,0.00000004724,0.00000004695,0.00000004719,0.01
SATSUSDTSWAP,3,20250604,181800,0.00000004717,0.00000004724,0.00000004709,0.00000004709,0.0
SATSUSDTSWAP,3,20250604,182100,0.00000004709,0.00000004741,0.00000004705,0.00000004726,0.02
SATSUSDTSWAP,3,20250604,182400,0.00000004727,0.00000004736,0.00000004726,0.00000004728,0.0
SATSUSDTSWAP,3,20250604,182700,0.00000004728,0.0000000474,0.00000004722,0.00000004724,0.01
SATSUSDTSWAP,3,20250604,183000,0.00000004724,0.00000004731,0.00000004713,0.00000004725,0.0
SATSUSDTSWAP,3,20250604,183300,0.00000004725,0.00000004733,0.00000004719,0.00000004721,0.0
SATSUSDTSWAP,3,20250604,183600,0.00000004721,0.00000004743,0.0000000472,0.0000000474,0.01
SATSUSDTSWAP,3,20250604,183900,0.00000004741,0.00000004747,0.00000004736,0.00000004741,0.0
SATSUSDTSWAP,3,20250604,184200,0.00000004742,0.00000004754,0.00000004738,0.00000004744,0.0
SATSUSDTSWAP,3,20250604,184500,0.00000004744,0.0000000475,0.00000004736,0.00000004736,0.0
SATSUSDTSWAP,3,20250604,184800,0.00000004735,0.0000000474,0.0000000472,0.0000000472,0.01
SATSUSDTSWAP,3,20250604,185100,0.00000004722,0.00000004737,0.0000000472,0.00000004729,0.0
SATSUSDTSWAP,3,20250604,185400,0.00000004732,0.00000004748,0.0000000473,0.00000004745,0.0
SATSUSDTSWAP,3,20250604,185700,0.00000004744,0.00000004746,0.0000000473,0.00000004734,0.0
SATSUSDTSWAP,3,20250604,190000,0.00000004734,0.00000004745,0.00000004726,0.00000004731,0.0
SATSUSDTSWAP,3,20250604,190300,0.00000004731,0.00000004733,0.0000000472,0.0000000472,0.0
SATSUSDTSWAP,3,20250604,190600,0.00000004719,0.0000000472,0.00000004706,0.00000004711,0.0
SATSUSDTSWAP,3,20250604,190900,0.00000004709,0.00000004722,0.00000004709,0.00000004722,0.0
SATSUSDTSWAP,3,20250604,191200,0.00000004723,0.00000004751,0.0000000472,0.00000004744,0.02
SATSUSDTSWAP,3,20250604,191500,0.00000004744,0.0000000475,0.00000004738,0.00000004745,0.01
SATSUSDTSWAP,3,20250604,191800,0.00000004746,0.00000004771,0.00000004745,0.00000004769,0.01
SATSUSDTSWAP,3,20250604,192100,0.00000004769,0.00000004781,0.00000004745,0.00000004748,0.01
SATSUSDTSWAP,3,20250604,192400,0.00000004748,0.00000004758,0.00000004734,0.00000004737,0.01
SATSUSDTSWAP,3,20250604,192700,0.00000004737,0.0000000475,0.00000004733,0.00000004737,0.0
SATSUSDTSWAP,3,20250604,193000,0.00000004736,0.00000004738,0.00000004727,0.00000004736,0.0
SATSUSDTSWAP,3,20250604,193300,0.00000004737,0.0000000475,0.00000004733,0.00000004749,0.0
SATSUSDTSWAP,3,20250604,193600,0.00000004749,0.00000004751,0.00000004734,0.00000004745,0.0
SATSUSDTSWAP,3,20250604,193900,0.00000004746,0.00000004755,0.00000004737,0.0000000474,0.0
SATSUSDTSWAP,3,20250604,194200,0.00000004738,0.00000004742,0.00000004731,0.00000004737,0.0
SATSUSDTSWAP,3,20250604,194500,0.00000004736,0.00000004746,0.00000004733,0.00000004745,0.0
SATSUSDTSWAP,3,20250604,194800,0.00000004744,0.00000004752,0.00000004737,0.00000004749,0.0
SATSUSDTSWAP,3,20250604,195100,0.00000004749,0.00000004756,0.00000004747,0.00000004754,0.0
SATSUSDTSWAP,3,20250604,195400,0.00000004753,0.00000004769,0.00000004753,0.00000004762,0.0
SATSUSDTSWAP,3,20250604,195700,0.00000004761,0.00000004764,0.00000004757,0.00000004762,0.0
SATSUSDTSWAP,3,20250604,200000,0.0000000476,0.0000000476,0.00000004743,0.00000004745,0.0
SATSUSDTSWAP,3,20250604,200300,0.00000004744,0.0000000475,0.0000000474,0.00000004748,0.0
SATSUSDTSWAP,3,20250604,200600,0.00000004748,0.00000004748,0.00000004733,0.00000004739,0.0
SATSUSDTSWAP,3,20250604,200900,0.00000004739,0.00000004739,0.00000004725,0.00000004727,0.0
SATSUSDTSWAP,3,20250604,201200,0.00000004727,0.00000004734,0.00000004725,0.00000004728,0.0
SATSUSDTSWAP,3,20250604,201500,0.00000004727,0.00000004732,0.00000004715,0.00000004723,0.0
SATSUSDTSWAP,3,20250604,201800,0.00000004723,0.0000000473,0.00000004723,0.00000004725,0.0
SATSUSDTSWAP,3,20250604,202100,0.00000004727,0.0000000473,0.00000004719,0.00000004722,0.0
SATSUSDTSWAP,3,20250604,202400,0.00000004722,0.00000004725,0.00000004703,0.00000004712,0.0
SATSUSDTSWAP,3,20250604,202700,0.00000004714,0.00000004719,0.00000004705,0.00000004705,0.0
SATSUSDTSWAP,3,20250604,203000,0.00000004704,0.00000004704,0.0000000468,0.00000004685,0.0
SATSUSDTSWAP,3,20250604,203300,0.00000004686,0.00000004693,0.00000004674,0.00000004679,0.0
SATSUSDTSWAP,3,20250604,203600,0.0000000468,0.0000000468,0.00000004661,0.00000004666,0.0
SATSUSDTSWAP,3,20250604,203900,0.00000004668,0.00000004673,0.00000004662,0.00000004666,0.0
SATSUSDTSWAP,3,20250604,204200,0.00000004666,0.00000004667,0.00000004652,0.00000004662,0.0
SATSUSDTSWAP,3,20250604,204500,0.00000004662,0.00000004674,0.00000004657,0.00000004664,0.0
SATSUSDTSWAP,3,20250604,204800,0.00000004663,0.00000004682,0.0000000466,0.00000004669,0.0
SATSUSDTSWAP,3,20250604,205100,0.0000000467,0.0000000467,0.00000004651,0.00000004654,0.01
SATSUSDTSWAP,3,20250604,205400,0.00000004655,0.00000004667,0.00000004646,0.00000004664,0.0
SATSUSDTSWAP,3,20250604,205700,0.00000004665,0.00000004679,0.00000004665,0.00000004677,0.0
SATSUSDTSWAP,3,20250604,210000,0.00000004675,0.00000004687,0.00000004675,0.00000004684,0.0
SATSUSDTSWAP,3,20250604,210300,0.00000004684,0.00000004699,0.00000004684,0.00000004697,0.0
SATSUSDTSWAP,3,20250604,210600,0.00000004696,0.00000004696,0.00000004674,0.00000004677,0.0
SATSUSDTSWAP,3,20250604,210900,0.00000004677,0.0000000469,0.00000004674,0.00000004687,0.0
SATSUSDTSWAP,3,20250604,211200,0.00000004687,0.00000004694,0.00000004683,0.00000004694,0.0
SATSUSDTSWAP,3,20250604,211500,0.00000004694,0.00000004696,0.00000004688,0.00000004694,0.0
SATSUSDTSWAP,3,20250604,211800,0.00000004693,0.00000004704,0.00000004686,0.00000004697,0.0
SATSUSDTSWAP,3,20250604,212100,0.00000004699,0.00000004705,0.00000004697,0.00000004701,0.0
SATSUSDTSWAP,3,20250604,212400,0.00000004702,0.00000004705,0.000000047,0.00000004704,0.0
SATSUSDTSWAP,3,20250604,212700,0.00000004704,0.00000004714,0.00000004704,0.00000004708,0.0
SATSUSDTSWAP,3,20250604,213000,0.00000004707,0.00000004712,0.000000047,0.00000004703,0.0
SATSUSDTSWAP,3,20250604,213300,0.00000004702,0.00000004703,0.00000004693,0.00000004701,0.0
SATSUSDTSWAP,3,20250604,213600,0.00000004701,0.00000004702,0.00000004693,0.00000004694,0.0
SATSUSDTSWAP,3,20250604,213900,0.00000004695,0.00000004695,0.00000004687,0.00000004693,0.0
SATSUSDTSWAP,3,20250604,214200,0.00000004693,0.00000004702,0.0000000469,0.00000004696,0.0
SATSUSDTSWAP,3,20250604,214500,0.00000004696,0.00000004697,0.00000004684,0.00000004685,0.0
SATSUSDTSWAP,3,20250604,214800,0.00000004685,0.00000004687,0.00000004672,0.00000004674,0.0
SATSUSDTSWAP,3,20250604,215100,0.00000004673,0.00000004673,0.00000004668,0.00000004668,0.0
SATSUSDTSWAP,3,20250604,215400,0.0000000467,0.00000004672,0.00000004662,0.00000004665,0.0
SATSUSDTSWAP,3,20250604,215700,0.00000004666,0.00000004674,0.00000004665,0.00000004667,0.0
SATSUSDTSWAP,3,20250604,220000,0.00000004667,0.00000004671,0.00000004662,0.00000004664,0.0
SATSUSDTSWAP,3,20250604,220300,0.00000004662,0.00000004676,0.00000004662,0.00000004676,0.0
SATSUSDTSWAP,3,20250604,220600,0.00000004676,0.00000004677,0.00000004662,0.00000004668,0.0
SATSUSDTSWAP,3,20250604,220900,0.00000004668,0.00000004669,0.00000004657,0.00000004661,0.0
SATSUSDTSWAP,3,20250604,221200,0.00000004662,0.00000004665,0.00000004656,0.00000004658,0.0
SATSUSDTSWAP,3,20250604,221500,0.00000004659,0.00000004662,0.00000004648,0.00000004658,0.0
SATSUSDTSWAP,3,20250604,221800,0.00000004659,0.00000004673,0.00000004659,0.0000000467,0.0
SATSUSDTSWAP,3,20250604,222100,0.00000004671,0.00000004674,0.00000004667,0.00000004673,0.0
SATSUSDTSWAP,3,20250604,222400,0.00000004673,0.00000004673,0.00000004668,0.00000004669,0.0
