<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHIBUSDTSWAP,1440,20250225,030000,0.000013637,0.00001428,0.000013036,0.000014094,85.18
SHIBUSDTSWAP,1440,20250226,030000,0.000014095,0.000014559,0.000013748,0.000014426,43.97
SHIBUSDTSWAP,1440,20250227,030000,0.000014427,0.00001486,0.000014191,0.000014424,36.99
SHIBUSDTSWAP,1440,20250228,030000,0.000014425,0.000014449,0.000012996,0.000013932,84.08
SHIBUSDTSWAP,1440,20250301,030000,0.000013932,0.000014151,0.000013391,0.000013647,33.21
SHIBUSDTSWAP,1440,20250302,030000,0.000013648,0.000015188,0.000013486,0.000015156,88.51
SHIBUSDTSWAP,1440,20250303,030000,0.000015156,0.000015204,0.000012688,0.000012903,89.06
SHIBUSDTSWAP,1440,20250304,030000,0.000012904,0.000013254,0.000012166,0.000013087,89.12
SHIBUSDTSWAP,1440,20250305,030000,0.000013086,0.00001344,0.000012849,0.000013363,28.27
SHIBUSDTSWAP,1440,20250306,030000,0.000013365,0.000013835,0.000013151,0.000013399,34.34
SHIBUSDTSWAP,1440,20250307,030000,0.000013399,0.000013762,0.000012761,0.000013144,52.22
SHIBUSDTSWAP,1440,20250308,030000,0.000013144,0.00001326,0.000012553,0.000012662,28.83
SHIBUSDTSWAP,1440,20250309,030000,0.000012663,0.000012714,0.000011509,0.000011657,43.32
SHIBUSDTSWAP,1440,20250310,030000,0.000011658,0.000012996,0.000011422,0.000011498,71.14
SHIBUSDTSWAP,1440,20250311,030000,0.000011498,0.000012287,0.00001081,0.00001205,65.25
SHIBUSDTSWAP,1440,20250312,030000,0.000012051,0.000012613,0.000011771,0.00001233,51.48
SHIBUSDTSWAP,1440,20250313,030000,0.000012329,0.000012393,0.000011781,0.00001203,45.96
SHIBUSDTSWAP,1440,20250314,030000,0.00001203,0.00001291,0.000011989,0.000012778,35.67
