<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHIBUSDTSWAP,60,20250531,190000,0.000012649,0.000012814,0.000012615,0.000012781,2.35
SHIBUSDTSWAP,60,20250531,200000,0.000012781,0.000012795,0.000012669,0.000012678,1.26
SHIBUSDTSWAP,60,20250531,210000,0.000012678,0.000012785,0.000012666,0.000012778,0.47
SHIBUSDTSWAP,60,20250531,220000,0.000012778,0.000012855,0.000012778,0.000012821,0.74
SHIBUSDTSWAP,60,20250531,230000,0.000012818,0.00001287,0.000012787,0.000012844,0.83
SHIBUSDTSWAP,60,20250601,000000,0.000012845,0.00001293,0.000012845,0.000012891,1.46
SHIBUSDTSWAP,60,20250601,010000,0.000012892,0.000012909,0.000012806,0.000012815,0.53
SHIBUSDTSWAP,60,20250601,020000,0.000012814,0.000012895,0.000012779,0.000012802,1.22
SHIBUSDTSWAP,60,20250601,030000,0.000012802,0.000012816,0.000012742,0.000012815,1.02
SHIBUSDTSWAP,60,20250601,040000,0.000012814,0.000012886,0.000012692,0.000012727,1.36
SHIBUSDTSWAP,60,20250601,050000,0.000012727,0.000012781,0.000012638,0.000012762,1.16
SHIBUSDTSWAP,60,20250601,060000,0.000012764,0.0000128,0.000012673,0.000012776,0.7
SHIBUSDTSWAP,60,20250601,070000,0.000012776,0.000012905,0.000012753,0.000012867,1.14
SHIBUSDTSWAP,60,20250601,080000,0.000012868,0.000012907,0.000012833,0.000012871,0.87
SHIBUSDTSWAP,60,20250601,090000,0.000012871,0.000012879,0.000012783,0.000012809,0.91
SHIBUSDTSWAP,60,20250601,100000,0.000012809,0.00001283,0.000012756,0.000012778,0.67
SHIBUSDTSWAP,60,20250601,110000,0.000012776,0.000012802,0.000012697,0.000012736,1.74
SHIBUSDTSWAP,60,20250601,120000,0.000012737,0.000012763,0.000012561,0.000012628,2.24
SHIBUSDTSWAP,60,20250601,130000,0.000012628,0.000012724,0.00001261,0.000012724,1.37
SHIBUSDTSWAP,60,20250601,140000,0.000012723,0.000012823,0.000012692,0.000012776,1.19
SHIBUSDTSWAP,60,20250601,150000,0.000012776,0.000012785,0.000012644,0.000012697,1.26
SHIBUSDTSWAP,60,20250601,160000,0.000012699,0.000012808,0.000012685,0.000012779,0.9
SHIBUSDTSWAP,60,20250601,170000,0.000012779,0.00001295,0.000012779,0.000012916,2.19
SHIBUSDTSWAP,60,20250601,180000,0.000012916,0.000012983,0.000012876,0.000012931,1.18
SHIBUSDTSWAP,60,20250601,190000,0.000012931,0.000013072,0.000012927,0.000012975,2.74
SHIBUSDTSWAP,60,20250601,200000,0.000012975,0.000013022,0.00001291,0.000012978,2.3
SHIBUSDTSWAP,60,20250601,210000,0.000012981,0.00001299,0.000012773,0.000012869,2.16
SHIBUSDTSWAP,60,20250601,220000,0.000012868,0.000012917,0.000012848,0.000012916,0.76
SHIBUSDTSWAP,60,20250601,230000,0.000012915,0.000012967,0.000012873,0.0000129,0.54
SHIBUSDTSWAP,60,20250602,000000,0.000012901,0.000013009,0.000012875,0.000012988,0.58
SHIBUSDTSWAP,60,20250602,010000,0.000012988,0.000013047,0.000012961,0.000012979,0.63
SHIBUSDTSWAP,60,20250602,020000,0.00001298,0.000013006,0.000012923,0.000012942,1.34
SHIBUSDTSWAP,60,20250602,030000,0.000012943,0.000012944,0.000012854,0.000012887,1.23
SHIBUSDTSWAP,60,20250602,040000,0.000012888,0.000012964,0.000012841,0.000012849,1.77
SHIBUSDTSWAP,60,20250602,050000,0.000012849,0.000012854,0.000012766,0.000012777,0.86
SHIBUSDTSWAP,60,20250602,060000,0.000012778,0.000012783,0.000012678,0.000012738,1.45
SHIBUSDTSWAP,60,20250602,070000,0.000012737,0.000012795,0.000012712,0.000012741,0.69
SHIBUSDTSWAP,60,20250602,080000,0.00001274,0.000012787,0.000012697,0.000012769,0.71
SHIBUSDTSWAP,60,20250602,090000,0.000012769,0.000012837,0.000012716,0.000012804,1.08
SHIBUSDTSWAP,60,20250602,100000,0.000012806,0.0000129,0.000012789,0.000012808,0.94
SHIBUSDTSWAP,60,20250602,110000,0.000012807,0.000012873,0.00001273,0.000012756,1.13
SHIBUSDTSWAP,60,20250602,120000,0.000012758,0.000012758,0.000012635,0.00001266,1.65
SHIBUSDTSWAP,60,20250602,130000,0.000012659,0.000012727,0.000012627,0.000012697,1.79
SHIBUSDTSWAP,60,20250602,140000,0.000012697,0.000012824,0.000012674,0.000012733,2.37
SHIBUSDTSWAP,60,20250602,150000,0.000012733,0.000012865,0.000012684,0.000012865,1.73
SHIBUSDTSWAP,60,20250602,160000,0.000012864,0.000012891,0.000012757,0.000012775,1.76
SHIBUSDTSWAP,60,20250602,170000,0.000012777,0.000012914,0.000012742,0.000012846,3.0
SHIBUSDTSWAP,60,20250602,180000,0.000012844,0.000012926,0.000012781,0.000012883,1.36
SHIBUSDTSWAP,60,20250602,190000,0.000012884,0.00001289,0.000012792,0.000012871,1.74
SHIBUSDTSWAP,60,20250602,200000,0.000012871,0.00001292,0.000012831,0.000012897,1.24
SHIBUSDTSWAP,60,20250602,210000,0.000012897,0.000012975,0.000012872,0.000012903,1.4
SHIBUSDTSWAP,60,20250602,220000,0.000012904,0.00001295,0.000012783,0.000012849,1.41
SHIBUSDTSWAP,60,20250602,230000,0.000012849,0.000013003,0.000012849,0.000012996,1.84
SHIBUSDTSWAP,60,20250603,000000,0.000012995,0.000013107,0.000012995,0.000013102,1.47
SHIBUSDTSWAP,60,20250603,010000,0.000013102,0.000013218,0.000013102,0.000013171,2.79
SHIBUSDTSWAP,60,20250603,020000,0.000013172,0.000013235,0.000013169,0.00001319,2.66
SHIBUSDTSWAP,60,20250603,030000,0.000013191,0.000013313,0.000013177,0.000013283,1.83
SHIBUSDTSWAP,60,20250603,040000,0.000013284,0.000013425,0.000013264,0.000013417,2.11
SHIBUSDTSWAP,60,20250603,050000,0.000013418,0.000013437,0.000013255,0.000013264,1.93
SHIBUSDTSWAP,60,20250603,060000,0.000013262,0.000013284,0.000013151,0.000013195,2.88
SHIBUSDTSWAP,60,20250603,070000,0.000013196,0.000013205,0.000013105,0.000013139,1.32
SHIBUSDTSWAP,60,20250603,080000,0.00001314,0.000013246,0.00001314,0.000013235,0.89
SHIBUSDTSWAP,60,20250603,090000,0.000013234,0.000013239,0.000013158,0.000013228,0.64
SHIBUSDTSWAP,60,20250603,100000,0.000013227,0.000013232,0.000013153,0.000013159,0.54
SHIBUSDTSWAP,60,20250603,110000,0.000013161,0.00001318,0.000013045,0.000013122,1.52
SHIBUSDTSWAP,60,20250603,120000,0.000013123,0.000013183,0.000013073,0.000013159,0.77
SHIBUSDTSWAP,60,20250603,130000,0.00001316,0.000013198,0.000013132,0.00001318,0.94
SHIBUSDTSWAP,60,20250603,140000,0.00001318,0.000013207,0.000013133,0.000013153,0.74
SHIBUSDTSWAP,60,20250603,150000,0.000013151,0.000013191,0.000013113,0.000013176,0.8
SHIBUSDTSWAP,60,20250603,160000,0.000013177,0.000013246,0.000013102,0.000013173,2.12
SHIBUSDTSWAP,60,20250603,170000,0.000013172,0.000013312,0.000013095,0.00001331,2.47
SHIBUSDTSWAP,60,20250603,180000,0.00001331,0.000013333,0.000013238,0.000013256,1.78
SHIBUSDTSWAP,60,20250603,190000,0.000013257,0.000013261,0.000013165,0.000013174,1.77
SHIBUSDTSWAP,60,20250603,200000,0.000013174,0.000013274,0.000013161,0.000013212,0.71
SHIBUSDTSWAP,60,20250603,210000,0.000013211,0.000013213,0.000013127,0.000013177,0.68
