<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHIBUSDTSWAP,3,20250604,172700,0.000012869,0.000012872,0.000012855,0.000012868,0.11
SHIBUSDTSWAP,3,20250604,173000,0.000012868,0.000012878,0.000012865,0.000012878,0.04
SHIBUSDTSWAP,3,20250604,173300,0.000012879,0.000012899,0.000012872,0.000012877,0.06
SHIBUSDTSWAP,3,20250604,173600,0.000012875,0.000012876,0.000012858,0.000012858,0.03
SHIBUSDTSWAP,3,20250604,173900,0.000012857,0.00001289,0.000012857,0.000012887,0.05
SHIBUSDTSWAP,3,20250604,174200,0.000012886,0.000012899,0.000012875,0.000012898,0.03
SHIBUSDTSWAP,3,20250604,174500,0.000012897,0.000012916,0.000012883,0.000012916,0.1
SHIBUSDTSWAP,3,20250604,174800,0.000012918,0.00001294,0.00001291,0.000012912,0.12
SHIBUSDTSWAP,3,20250604,175100,0.000012911,0.000012926,0.000012908,0.000012925,0.05
SHIBUSDTSWAP,3,20250604,175400,0.000012923,0.000012959,0.000012923,0.000012954,0.06
SHIBUSDTSWAP,3,20250604,175700,0.000012954,0.000012958,0.000012946,0.000012958,0.06
SHIBUSDTSWAP,3,20250604,180000,0.000012958,0.00001296,0.000012928,0.000012932,0.06
SHIBUSDTSWAP,3,20250604,180300,0.00001293,0.000012934,0.000012922,0.000012927,0.05
SHIBUSDTSWAP,3,20250604,180600,0.000012928,0.000012961,0.000012928,0.000012934,0.05
SHIBUSDTSWAP,3,20250604,180900,0.000012935,0.000012966,0.000012934,0.000012966,0.04
SHIBUSDTSWAP,3,20250604,181200,0.000012967,0.000012983,0.000012963,0.000012971,0.06
SHIBUSDTSWAP,3,20250604,181500,0.000012971,0.000013011,0.000012971,0.000013003,0.15
SHIBUSDTSWAP,3,20250604,181800,0.000013001,0.000013015,0.000012991,0.000013003,0.17
SHIBUSDTSWAP,3,20250604,182100,0.000013003,0.000013027,0.000012995,0.000013023,0.1
SHIBUSDTSWAP,3,20250604,182400,0.000013023,0.000013036,0.000013019,0.000013022,0.12
SHIBUSDTSWAP,3,20250604,182700,0.000013022,0.000013031,0.000013006,0.000013007,0.09
