<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIGNUSDTSWAP,1440,20250428,030000,0.08012,0.089,0.07199,0.08079,804313.46
SIGNUSDTSWAP,1440,20250429,030000,0.08082,0.12461,0.06655,0.10104,2270968.7
SIGNUSDTSWAP,1440,20250430,030000,0.101,0.1088,0.08964,0.09544,1162279.92
SIGNUSDTSWAP,1440,20250501,030000,0.09541,0.10203,0.08583,0.08742,583087.82
SIGNUSDTSWAP,1440,20250502,030000,0.0874,0.09127,0.08214,0.08426,391478.76
SIGNUSDTSWAP,1440,20250503,030000,0.08425,0.097,0.08303,0.09263,1036374.67
SIGNUSDTSWAP,1440,20250504,030000,0.09264,0.09592,0.08152,0.0836,528525.74
SIGNUSDTSWAP,1440,20250505,030000,0.08361,0.08361,0.07751,0.07899,280728.6
SIGNUSDTSWAP,1440,20250506,030000,0.079,0.08143,0.07288,0.0772,287558.58
SIGNUSDTSWAP,1440,20250507,030000,0.07721,0.0797,0.07028,0.07435,176265.49
SIGNUSDTSWAP,1440,20250508,030000,0.07433,0.07935,0.07305,0.07879,140163.78
SIGNUSDTSWAP,1440,20250509,030000,0.07882,0.08749,0.07849,0.08713,166475.8
SIGNUSDTSWAP,1440,20250510,030000,0.08716,0.09128,0.08207,0.08797,140497.91
SIGNUSDTSWAP,1440,20250511,030000,0.08797,0.09198,0.08429,0.0888,153947.68
SIGNUSDTSWAP,1440,20250512,030000,0.08883,0.09599,0.08755,0.0957,185979.11
SIGNUSDTSWAP,1440,20250513,030000,0.09569,0.09841,0.09176,0.0951,173679.65
SIGNUSDTSWAP,1440,20250514,030000,0.0951,0.10186,0.09125,0.09365,155407.95
SIGNUSDTSWAP,1440,20250515,030000,0.09365,0.09587,0.08134,0.08352,133596.22
SIGNUSDTSWAP,1440,20250516,030000,0.08349,0.08743,0.08192,0.08289,68054.12
SIGNUSDTSWAP,1440,20250517,030000,0.0829,0.08323,0.07651,0.07839,50528.21
SIGNUSDTSWAP,1440,20250518,030000,0.07841,0.08361,0.07706,0.08199,59605.71
SIGNUSDTSWAP,1440,20250519,030000,0.08203,0.08218,0.07423,0.07819,54316.08
SIGNUSDTSWAP,1440,20250520,030000,0.07819,0.08504,0.07668,0.08393,68359.17
SIGNUSDTSWAP,1440,20250521,030000,0.08399,0.08762,0.08232,0.08533,79170.4
SIGNUSDTSWAP,1440,20250522,030000,0.08535,0.09128,0.08454,0.0894,69510.66
SIGNUSDTSWAP,1440,20250523,030000,0.08942,0.09147,0.07983,0.08056,64869.02
SIGNUSDTSWAP,1440,20250524,030000,0.08058,0.08279,0.07982,0.08065,26362.96
SIGNUSDTSWAP,1440,20250525,030000,0.08065,0.08128,0.07649,0.08012,21957.93
SIGNUSDTSWAP,1440,20250526,030000,0.08014,0.08185,0.07755,0.07888,30025.49
SIGNUSDTSWAP,1440,20250527,030000,0.07885,0.08473,0.07627,0.08337,29131.13
SIGNUSDTSWAP,1440,20250528,030000,0.08341,0.08434,0.07794,0.07952,40292.54
SIGNUSDTSWAP,1440,20250529,030000,0.07954,0.08816,0.07897,0.08657,83324.91
SIGNUSDTSWAP,1440,20250530,030000,0.08657,0.09262,0.07297,0.07356,225623.06
SIGNUSDTSWAP,1440,20250531,030000,0.07354,0.0793,0.0713,0.0738,95439.11
SIGNUSDTSWAP,1440,20250601,030000,0.07378,0.0809,0.07193,0.08001,56108.66
SIGNUSDTSWAP,1440,20250602,030000,0.08,0.08157,0.07544,0.07826,49583.04
SIGNUSDTSWAP,1440,20250603,030000,0.07826,0.08255,0.07802,0.0796,35081.3
SIGNUSDTSWAP,1440,20250604,030000,0.07961,0.08121,0.07472,0.07505,24998.97
