<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIGNUSDTSWAP,60,20250531,190000,0.07502,0.07577,0.07404,0.07439,4413.05
SIGNUSDTSWAP,60,20250531,200000,0.07438,0.07465,0.07353,0.07367,1410.17
SIGNUSDTSWAP,60,20250531,210000,0.0737,0.07454,0.07357,0.07393,1076.39
SIGNUSDTSWAP,60,20250531,220000,0.07392,0.07427,0.07368,0.07397,975.97
SIGNUSDTSWAP,60,20250531,230000,0.07396,0.07451,0.07377,0.07444,805.13
SIGNUSDTSWAP,60,20250601,000000,0.07443,0.07492,0.07426,0.07439,1359.09
SIGNUSDTSWAP,60,20250601,010000,0.07445,0.0745,0.07361,0.07391,1341.89
SIGNUSDTSWAP,60,20250601,020000,0.07385,0.07413,0.07344,0.0738,1633.41
SIGNUSDTSWAP,60,20250601,030000,0.07378,0.07388,0.07268,0.07317,2151.65
SIGNUSDTSWAP,60,20250601,040000,0.07319,0.07366,0.07218,0.07251,3007.74
SIGNUSDTSWAP,60,20250601,050000,0.07251,0.07356,0.07193,0.07337,1696.3
SIGNUSDTSWAP,60,20250601,060000,0.07338,0.07364,0.07301,0.07321,925.1
SIGNUSDTSWAP,60,20250601,070000,0.07321,0.07515,0.073,0.07515,2545.66
SIGNUSDTSWAP,60,20250601,080000,0.07518,0.07541,0.07416,0.07437,1677.79
SIGNUSDTSWAP,60,20250601,090000,0.0744,0.07484,0.07431,0.07433,1162.8
SIGNUSDTSWAP,60,20250601,100000,0.07433,0.07564,0.07407,0.07545,2255.02
SIGNUSDTSWAP,60,20250601,110000,0.07544,0.0764,0.07475,0.07621,2246.98
SIGNUSDTSWAP,60,20250601,120000,0.07616,0.07665,0.07483,0.07544,8156.28
SIGNUSDTSWAP,60,20250601,130000,0.0755,0.07613,0.07485,0.07576,2288.25
SIGNUSDTSWAP,60,20250601,140000,0.07575,0.07584,0.07489,0.07516,2414.15
SIGNUSDTSWAP,60,20250601,150000,0.07515,0.07638,0.07513,0.07604,3122.48
SIGNUSDTSWAP,60,20250601,160000,0.07604,0.07756,0.07587,0.07731,4256.42
SIGNUSDTSWAP,60,20250601,170000,0.07731,0.07788,0.07701,0.07742,2931.21
SIGNUSDTSWAP,60,20250601,180000,0.07742,0.07778,0.07685,0.07748,2482.39
SIGNUSDTSWAP,60,20250601,190000,0.07747,0.07796,0.07702,0.07775,1809.39
SIGNUSDTSWAP,60,20250601,200000,0.07768,0.07768,0.07694,0.07724,1199.53
SIGNUSDTSWAP,60,20250601,210000,0.07723,0.07728,0.07675,0.07693,1437.4
