<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIGNUSDTSWAP,3,20250604,172700,0.07619,0.07623,0.07612,0.07618,59.43
SIGNUSDTSWAP,3,20250604,173000,0.0762,0.07627,0.07616,0.07621,11.2
SIGNUSDTSWAP,3,20250604,173300,0.07623,0.07636,0.07622,0.07623,20.58
SIGNUSDTSWAP,3,20250604,173600,0.07615,0.07619,0.07605,0.07608,30.08
SIGNUSDTSWAP,3,20250604,173900,0.07609,0.0762,0.076,0.07614,69.7
SIGNUSDTSWAP,3,20250604,174200,0.07612,0.07616,0.07602,0.07615,123.47
SIGNUSDTSWAP,3,20250604,174500,0.07616,0.07633,0.07615,0.07633,21.63
SIGNUSDTSWAP,3,20250604,174800,0.07632,0.07643,0.07622,0.07622,20.84
SIGNUSDTSWAP,3,20250604,175100,0.07621,0.07621,0.07611,0.07618,13.11
SIGNUSDTSWAP,3,20250604,175400,0.0762,0.07641,0.07618,0.07641,22.78
SIGNUSDTSWAP,3,20250604,175700,0.07643,0.07647,0.07634,0.07647,50.98
SIGNUSDTSWAP,3,20250604,180000,0.07644,0.07645,0.07634,0.07638,90.96
SIGNUSDTSWAP,3,20250604,180300,0.07631,0.07645,0.07627,0.07629,78.52
SIGNUSDTSWAP,3,20250604,180600,0.07631,0.07653,0.0763,0.07637,110.19
SIGNUSDTSWAP,3,20250604,180900,0.07637,0.07644,0.07634,0.07644,26.35
SIGNUSDTSWAP,3,20250604,181200,0.07645,0.07651,0.07643,0.07643,12.23
SIGNUSDTSWAP,3,20250604,181500,0.07645,0.0768,0.07645,0.07672,72.93
SIGNUSDTSWAP,3,20250604,181800,0.07669,0.07675,0.07661,0.07666,116.19
SIGNUSDTSWAP,3,20250604,182100,0.07663,0.07675,0.0766,0.07672,64.37
SIGNUSDTSWAP,3,20250604,182400,0.07674,0.07677,0.07671,0.07672,12.66
SIGNUSDTSWAP,3,20250604,182700,0.07669,0.07674,0.07658,0.07658,73.62
SIGNUSDTSWAP,3,20250604,183000,0.0766,0.07669,0.07648,0.07665,88.63
SIGNUSDTSWAP,3,20250604,183300,0.07668,0.0767,0.07661,0.07662,21.39
SIGNUSDTSWAP,3,20250604,183600,0.07662,0.07688,0.07659,0.07685,114.47
SIGNUSDTSWAP,3,20250604,183900,0.07683,0.07694,0.07676,0.07689,85.05
SIGNUSDTSWAP,3,20250604,184200,0.0769,0.07695,0.07681,0.07682,24.38
SIGNUSDTSWAP,3,20250604,184500,0.07687,0.07697,0.07682,0.07686,101.16
SIGNUSDTSWAP,3,20250604,184800,0.07684,0.07684,0.07666,0.07669,56.09
SIGNUSDTSWAP,3,20250604,185100,0.07664,0.07671,0.07662,0.07668,5.36
SIGNUSDTSWAP,3,20250604,185400,0.0767,0.07691,0.07666,0.07683,48.32
SIGNUSDTSWAP,3,20250604,185700,0.07685,0.07685,0.0767,0.0768,75.31
SIGNUSDTSWAP,3,20250604,190000,0.0768,0.07681,0.0767,0.0767,28.72
SIGNUSDTSWAP,3,20250604,190300,0.0768,0.0768,0.07665,0.0767,22.96
SIGNUSDTSWAP,3,20250604,190600,0.07667,0.07675,0.07653,0.07653,37.87
SIGNUSDTSWAP,3,20250604,190900,0.07656,0.07665,0.07656,0.07665,58.49
SIGNUSDTSWAP,3,20250604,191200,0.07666,0.07669,0.07658,0.07659,46.69
SIGNUSDTSWAP,3,20250604,191500,0.07658,0.07658,0.07634,0.07635,12.02
SIGNUSDTSWAP,3,20250604,191800,0.07634,0.07645,0.07627,0.07643,122.83
SIGNUSDTSWAP,3,20250604,192100,0.07647,0.07647,0.07624,0.07627,47.11
SIGNUSDTSWAP,3,20250604,192400,0.07623,0.07625,0.07619,0.07619,51.15
SIGNUSDTSWAP,3,20250604,192700,0.07619,0.07625,0.07617,0.07617,41.9
SIGNUSDTSWAP,3,20250604,193000,0.07615,0.07616,0.07606,0.07611,47.9
SIGNUSDTSWAP,3,20250604,193300,0.07615,0.07623,0.0761,0.07615,31.15
SIGNUSDTSWAP,3,20250604,193600,0.07613,0.07619,0.07608,0.07614,43.62
SIGNUSDTSWAP,3,20250604,193900,0.07614,0.07636,0.07614,0.07633,101.04
SIGNUSDTSWAP,3,20250604,194200,0.07633,0.07635,0.0761,0.07616,51.6
SIGNUSDTSWAP,3,20250604,194500,0.07612,0.07633,0.07612,0.07626,57.17
SIGNUSDTSWAP,3,20250604,194800,0.07635,0.07647,0.07632,0.07646,13.59
SIGNUSDTSWAP,3,20250604,195100,0.07646,0.07646,0.07641,0.07641,11.93
SIGNUSDTSWAP,3,20250604,195400,0.07645,0.07647,0.07628,0.07638,129.51
SIGNUSDTSWAP,3,20250604,195700,0.07637,0.07648,0.07629,0.0764,162.44
SIGNUSDTSWAP,3,20250604,200000,0.07641,0.07646,0.07615,0.07615,24.68
SIGNUSDTSWAP,3,20250604,200300,0.07613,0.07618,0.0761,0.07612,41.41
SIGNUSDTSWAP,3,20250604,200600,0.07612,0.07617,0.07601,0.07615,126.89
SIGNUSDTSWAP,3,20250604,200900,0.07611,0.07612,0.07601,0.07606,16.97
SIGNUSDTSWAP,3,20250604,201200,0.07605,0.07607,0.07603,0.07603,23.73
SIGNUSDTSWAP,3,20250604,201500,0.07601,0.07606,0.07595,0.07602,55.56
SIGNUSDTSWAP,3,20250604,201800,0.07604,0.07611,0.07593,0.076,152.69
SIGNUSDTSWAP,3,20250604,202100,0.07602,0.07606,0.07599,0.07602,31.55
SIGNUSDTSWAP,3,20250604,202400,0.076,0.07607,0.07598,0.07599,62.47
SIGNUSDTSWAP,3,20250604,202700,0.076,0.07609,0.07545,0.07545,639.24
SIGNUSDTSWAP,3,20250604,203000,0.07542,0.07543,0.07507,0.07524,493.55
SIGNUSDTSWAP,3,20250604,203300,0.07525,0.0754,0.07514,0.07537,98.73
SIGNUSDTSWAP,3,20250604,203600,0.07536,0.07536,0.07516,0.0752,45.37
SIGNUSDTSWAP,3,20250604,203900,0.07521,0.07527,0.07513,0.07519,188.18
SIGNUSDTSWAP,3,20250604,204200,0.07519,0.07519,0.07501,0.07506,48.42
SIGNUSDTSWAP,3,20250604,204500,0.07507,0.07516,0.07503,0.07505,32.73
SIGNUSDTSWAP,3,20250604,204800,0.07504,0.07518,0.07501,0.0751,22.06
SIGNUSDTSWAP,3,20250604,205100,0.07509,0.07519,0.07509,0.07519,11.41
SIGNUSDTSWAP,3,20250604,205400,0.07521,0.07533,0.07521,0.07527,25.2
SIGNUSDTSWAP,3,20250604,205700,0.07526,0.07526,0.0751,0.0751,45.53
SIGNUSDTSWAP,3,20250604,210000,0.07511,0.07531,0.0751,0.07528,58.14
SIGNUSDTSWAP,3,20250604,210300,0.07529,0.07548,0.07529,0.07542,35.46
