<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SLPUSDTSWAP,1440,20250225,030000,0.002131,0.002162,0.001949,0.002123,106879.18
SLPUSDTSWAP,1440,20250226,030000,0.002121,0.002169,0.00202,0.002092,55791.24
SLPUSDTSWAP,1440,20250227,030000,0.002091,0.002174,0.002054,0.002111,54895.96
SLPUSDTSWAP,1440,20250228,030000,0.00211,0.002116,0.001919,0.002046,82784.25
SLPUSDTSWAP,1440,20250301,030000,0.002046,0.002072,0.001973,0.002034,48377.15
SLPUSDTSWAP,1440,20250302,030000,0.002033,0.002224,0.00201,0.002216,64807.44
SLPUSDTSWAP,1440,20250303,030000,0.002217,0.002252,0.001865,0.001894,94637.81
SLPUSDTSWAP,1440,20250304,030000,0.001895,0.001936,0.001742,0.001904,78903.18
SLPUSDTSWAP,1440,20250305,030000,0.001904,0.001973,0.00187,0.001953,103054.83
SLPUSDTSWAP,1440,20250306,030000,0.001953,0.002019,0.0019,0.001927,67757.9
SLPUSDTSWAP,1440,20250307,030000,0.001928,0.002007,0.00182,0.001905,87863.6
SLPUSDTSWAP,1440,20250308,030000,0.001905,0.001933,0.001868,0.001876,57384.33
SLPUSDTSWAP,1440,20250309,030000,0.001877,0.001886,0.001683,0.001709,107403.9
SLPUSDTSWAP,1440,20250310,030000,0.001709,0.001812,0.001568,0.001607,67064.83
SLPUSDTSWAP,1440,20250311,030000,0.001608,0.001712,0.001513,0.001664,70758.58
SLPUSDTSWAP,1440,20250312,030000,0.001664,0.001791,0.00164,0.001756,58377.98
SLPUSDTSWAP,1440,20250313,030000,0.001757,0.001772,0.001669,0.001731,45085.07
SLPUSDTSWAP,1440,20250314,030000,0.001731,0.001835,0.001724,0.001816,36897.4
SLPUSDTSWAP,1440,20250315,030000,0.001816,0.001849,0.001746,0.001843,47592.14
SLPUSDTSWAP,1440,20250316,030000,0.001843,0.001886,0.001669,0.001699,89718.53
SLPUSDTSWAP,1440,20250317,030000,0.001698,0.001811,0.001695,0.001781,54819.55
SLPUSDTSWAP,1440,20250318,030000,0.00178,0.001784,0.001693,0.001777,48365.68
SLPUSDTSWAP,1440,20250319,030000,0.001777,0.001835,0.001749,0.001824,41599.23
SLPUSDTSWAP,1440,20250320,030000,0.001825,0.001831,0.001735,0.001754,38149.11
SLPUSDTSWAP,1440,20250321,030000,0.001753,0.001761,0.001696,0.001717,38155.64
SLPUSDTSWAP,1440,20250322,030000,0.001718,0.001758,0.001716,0.00173,23975.54
SLPUSDTSWAP,1440,20250323,030000,0.001729,0.001765,0.001712,0.001746,21052.1
SLPUSDTSWAP,1440,20250324,030000,0.001747,0.001823,0.001733,0.001794,49474.28
SLPUSDTSWAP,1440,20250325,030000,0.001793,0.001825,0.001772,0.001822,33484.63
SLPUSDTSWAP,1440,20250326,030000,0.001823,0.002016,0.001781,0.00183,238160.29
SLPUSDTSWAP,1440,20250327,030000,0.00183,0.001864,0.001756,0.001787,90478.13
SLPUSDTSWAP,1440,20250328,030000,0.001787,0.001804,0.00163,0.001651,51521.0
SLPUSDTSWAP,1440,20250329,030000,0.001652,0.001666,0.001543,0.001606,47396.88
SLPUSDTSWAP,1440,20250330,030000,0.001605,0.001713,0.001587,0.00162,77928.74
SLPUSDTSWAP,1440,20250331,030000,0.001621,0.001633,0.001561,0.001605,42053.44
SLPUSDTSWAP,1440,20250401,030000,0.001606,0.001661,0.001578,0.001621,54193.97
SLPUSDTSWAP,1440,20250402,030000,0.001621,0.001643,0.001487,0.001505,84858.0
SLPUSDTSWAP,1440,20250403,030000,0.001506,0.001553,0.001412,0.001523,44061.96
SLPUSDTSWAP,1440,20250404,030000,0.001523,0.001543,0.001455,0.001537,29459.56
SLPUSDTSWAP,1440,20250405,030000,0.001538,0.001559,0.001474,0.001499,26388.91
SLPUSDTSWAP,1440,20250406,030000,0.001498,0.001506,0.001311,0.001356,42364.04
SLPUSDTSWAP,1440,20250407,030000,0.001355,0.001435,0.001223,0.001376,59655.76
SLPUSDTSWAP,1440,20250408,030000,0.001375,0.001417,0.001286,0.001296,27541.9
SLPUSDTSWAP,1440,20250409,030000,0.001295,0.001484,0.001246,0.001461,31482.5
SLPUSDTSWAP,1440,20250410,030000,0.001461,0.001462,0.001356,0.001425,32038.58
SLPUSDTSWAP,1440,20250411,030000,0.001424,0.001486,0.001414,0.00146,36599.29
SLPUSDTSWAP,1440,20250412,030000,0.001461,0.00154,0.001432,0.001526,24498.55
SLPUSDTSWAP,1440,20250413,030000,0.001525,0.001568,0.00139,0.001423,45772.21
SLPUSDTSWAP,1440,20250414,030000,0.001422,0.001491,0.001403,0.001411,33595.63
SLPUSDTSWAP,1440,20250415,030000,0.001412,0.001472,0.001369,0.001393,27371.97
SLPUSDTSWAP,1440,20250416,030000,0.001394,0.001443,0.00136,0.001408,30108.41
SLPUSDTSWAP,1440,20250417,030000,0.001407,0.001479,0.001386,0.001423,48769.33
SLPUSDTSWAP,1440,20250418,030000,0.001424,0.001449,0.001391,0.001446,22568.17
SLPUSDTSWAP,1440,20250419,030000,0.001445,0.001636,0.001442,0.001535,182441.11
SLPUSDTSWAP,1440,20250420,030000,0.001536,0.001576,0.001456,0.001522,102077.84
SLPUSDTSWAP,1440,20250421,030000,0.001522,0.001709,0.001515,0.001552,204630.83
SLPUSDTSWAP,1440,20250422,030000,0.001553,0.001683,0.001507,0.001663,98831.24
SLPUSDTSWAP,1440,20250423,030000,0.001663,0.001723,0.001644,0.001697,54667.49
SLPUSDTSWAP,1440,20250424,030000,0.001697,0.00173,0.001595,0.001722,70515.33
SLPUSDTSWAP,1440,20250425,030000,0.001722,0.001813,0.00169,0.001797,77873.72
SLPUSDTSWAP,1440,20250426,030000,0.001796,0.001828,0.001726,0.001776,52181.43
SLPUSDTSWAP,1440,20250427,030000,0.001776,0.001789,0.001676,0.001687,48663.57
SLPUSDTSWAP,1440,20250428,030000,0.001687,0.001772,0.001638,0.001715,57884.37
SLPUSDTSWAP,1440,20250429,030000,0.001717,0.001804,0.001685,0.001707,43902.13
SLPUSDTSWAP,1440,20250430,030000,0.001706,0.001761,0.001645,0.001723,45261.62
SLPUSDTSWAP,1440,20250501,030000,0.001721,0.001777,0.001708,0.001748,44654.93
SLPUSDTSWAP,1440,20250502,030000,0.001746,0.00177,0.001717,0.001729,36516.37
SLPUSDTSWAP,1440,20250503,030000,0.00173,0.001735,0.00162,0.001633,43716.27
SLPUSDTSWAP,1440,20250504,030000,0.001633,0.001641,0.001568,0.001586,31947.51
SLPUSDTSWAP,1440,20250505,030000,0.001585,0.001598,0.001535,0.001555,37963.56
SLPUSDTSWAP,1440,20250506,030000,0.001555,0.001565,0.001471,0.00153,44483.15
SLPUSDTSWAP,1440,20250507,030000,0.00153,0.001552,0.001503,0.001535,27316.93
SLPUSDTSWAP,1440,20250508,030000,0.001536,0.001774,0.00153,0.001765,44710.82
SLPUSDTSWAP,1440,20250509,030000,0.001765,0.001879,0.001744,0.001852,85700.04
SLPUSDTSWAP,1440,20250510,030000,0.001853,0.00205,0.001836,0.002049,174628.75
SLPUSDTSWAP,1440,20250511,030000,0.002048,0.002064,0.001886,0.001961,115143.22
SLPUSDTSWAP,1440,20250512,030000,0.001962,0.00212,0.001886,0.002002,96627.08
SLPUSDTSWAP,1440,20250513,030000,0.002002,0.002074,0.001876,0.002045,118829.58
SLPUSDTSWAP,1440,20250514,030000,0.002044,0.0021,0.001937,0.001973,83946.02
SLPUSDTSWAP,1440,20250515,030000,0.001975,0.002002,0.001771,0.001806,159181.68
SLPUSDTSWAP,1440,20250516,030000,0.001806,0.001882,0.001777,0.001798,59383.13
SLPUSDTSWAP,1440,20250517,030000,0.001798,0.001808,0.001709,0.001745,63199.16
SLPUSDTSWAP,1440,20250518,030000,0.001744,0.001882,0.001712,0.001821,65663.49
