<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SLPUSDTSWAP,60,20250531,190000,0.001438,0.00146,0.001436,0.001451,884.04
SLPUSDTSWAP,60,20250531,200000,0.001451,0.001451,0.001426,0.001432,1305.33
SLPUSDTSWAP,60,20250531,210000,0.001431,0.001446,0.001431,0.001444,760.14
SLPUSDTSWAP,60,20250531,220000,0.001443,0.00145,0.001441,0.001445,720.86
SLPUSDTSWAP,60,20250531,230000,0.001445,0.001452,0.00144,0.001451,598.53
SLPUSDTSWAP,60,20250601,000000,0.001451,0.001458,0.001446,0.001453,1065.67
SLPUSDTSWAP,60,20250601,010000,0.001452,0.001452,0.00144,0.001441,405.77
SLPUSDTSWAP,60,20250601,020000,0.00144,0.001451,0.001436,0.00144,873.72
SLPUSDTSWAP,60,20250601,030000,0.00144,0.001447,0.001435,0.001444,299.46
SLPUSDTSWAP,60,20250601,040000,0.001444,0.001446,0.001428,0.001436,1111.84
SLPUSDTSWAP,60,20250601,050000,0.001434,0.001445,0.001421,0.001443,1380.77
SLPUSDTSWAP,60,20250601,060000,0.001443,0.00145,0.001427,0.001443,1897.5
SLPUSDTSWAP,60,20250601,070000,0.001442,0.001461,0.00144,0.001458,1010.95
SLPUSDTSWAP,60,20250601,080000,0.001457,0.001473,0.001457,0.001461,1656.16
SLPUSDTSWAP,60,20250601,090000,0.00146,0.001464,0.001452,0.001462,801.43
SLPUSDTSWAP,60,20250601,100000,0.001462,0.001472,0.001446,0.001456,1333.55
SLPUSDTSWAP,60,20250601,110000,0.001457,0.001459,0.001446,0.001451,778.32
SLPUSDTSWAP,60,20250601,120000,0.001451,0.001461,0.001432,0.001441,2380.81
SLPUSDTSWAP,60,20250601,130000,0.001442,0.001449,0.00144,0.001449,1200.28
SLPUSDTSWAP,60,20250601,140000,0.001449,0.001468,0.001448,0.00146,1413.34
SLPUSDTSWAP,60,20250601,150000,0.001459,0.001463,0.001436,0.001441,1298.48
SLPUSDTSWAP,60,20250601,160000,0.001441,0.001453,0.001436,0.001445,1022.51
SLPUSDTSWAP,60,20250601,170000,0.001445,0.001464,0.001445,0.001455,1141.77
SLPUSDTSWAP,60,20250601,180000,0.001455,0.001474,0.001451,0.001468,1088.47
SLPUSDTSWAP,60,20250601,190000,0.001469,0.001499,0.001465,0.001479,2372.08
SLPUSDTSWAP,60,20250601,200000,0.001479,0.001484,0.001464,0.001467,1720.46
SLPUSDTSWAP,60,20250601,210000,0.001467,0.001467,0.001426,0.00144,3230.1
SLPUSDTSWAP,60,20250601,220000,0.001439,0.001468,0.001438,0.001465,1170.29
SLPUSDTSWAP,60,20250601,230000,0.001465,0.001467,0.001456,0.001458,730.23
SLPUSDTSWAP,60,20250602,000000,0.001457,0.001465,0.001457,0.00146,513.75
SLPUSDTSWAP,60,20250602,010000,0.001459,0.001479,0.001459,0.001464,1201.43
SLPUSDTSWAP,60,20250602,020000,0.001465,0.001477,0.001465,0.001472,1146.01
SLPUSDTSWAP,60,20250602,030000,0.001471,0.001476,0.001467,0.001474,601.08
SLPUSDTSWAP,60,20250602,040000,0.001473,0.001481,0.001462,0.001465,670.06
SLPUSDTSWAP,60,20250602,050000,0.001465,0.001466,0.001455,0.001458,539.58
SLPUSDTSWAP,60,20250602,060000,0.001459,0.001459,0.001447,0.001455,571.84
SLPUSDTSWAP,60,20250602,070000,0.001455,0.001462,0.001451,0.001454,421.17
SLPUSDTSWAP,60,20250602,080000,0.001455,0.00146,0.001448,0.001456,600.78
SLPUSDTSWAP,60,20250602,090000,0.001457,0.001471,0.001448,0.001466,1308.7
SLPUSDTSWAP,60,20250602,100000,0.001465,0.001479,0.001464,0.001476,911.14
SLPUSDTSWAP,60,20250602,110000,0.001475,0.001481,0.001463,0.001467,1075.71
SLPUSDTSWAP,60,20250602,120000,0.001468,0.001468,0.001444,0.001452,1096.72
SLPUSDTSWAP,60,20250602,130000,0.001451,0.001453,0.001439,0.001443,825.85
SLPUSDTSWAP,60,20250602,140000,0.001443,0.00145,0.001435,0.00144,753.21
