<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SLPUSDTSWAP,3,20250604,172700,0.001465,0.001465,0.001463,0.001463,33.44
SLPUSDTSWAP,3,20250604,173000,0.001464,0.001464,0.001463,0.001464,176.62
SLPUSDTSWAP,3,20250604,173300,0.001465,0.001467,0.001465,0.001465,54.57
SLPUSDTSWAP,3,20250604,173600,0.001464,0.001464,0.001462,0.001463,4.54
SLPUSDTSWAP,3,20250604,173900,0.001463,0.001465,0.001463,0.001464,20.29
SLPUSDTSWAP,3,20250604,174200,0.001465,0.001466,0.001463,0.001465,24.75
SLPUSDTSWAP,3,20250604,174500,0.001465,0.001466,0.001463,0.001466,21.21
SLPUSDTSWAP,3,20250604,174800,0.001467,0.001469,0.001466,0.001467,37.85
SLPUSDTSWAP,3,20250604,175100,0.001466,0.001466,0.001461,0.001465,76.21
SLPUSDTSWAP,3,20250604,175400,0.001466,0.001471,0.001466,0.001471,34.9
SLPUSDTSWAP,3,20250604,175700,0.001471,0.001472,0.00147,0.001471,3.27
SLPUSDTSWAP,3,20250604,180000,0.001473,0.001474,0.001472,0.001472,93.77
SLPUSDTSWAP,3,20250604,180300,0.001472,0.001473,0.001471,0.001472,57.49
SLPUSDTSWAP,3,20250604,180600,0.001473,0.001479,0.001473,0.001473,928.37
SLPUSDTSWAP,3,20250604,180900,0.001474,0.001476,0.001474,0.001476,30.68
SLPUSDTSWAP,3,20250604,181200,0.001474,0.001476,0.001474,0.001474,34.09
SLPUSDTSWAP,3,20250604,181500,0.001474,0.001481,0.001473,0.00148,67.04
SLPUSDTSWAP,3,20250604,181800,0.001481,0.001483,0.001478,0.00148,44.55
SLPUSDTSWAP,3,20250604,182100,0.001479,0.001482,0.001478,0.001482,15.43
SLPUSDTSWAP,3,20250604,182400,0.00148,0.001481,0.00148,0.00148,23.34
SLPUSDTSWAP,3,20250604,182700,0.00148,0.001484,0.00148,0.001483,111.94
SLPUSDTSWAP,3,20250604,183000,0.001482,0.001482,0.001478,0.001482,90.5
SLPUSDTSWAP,3,20250604,183300,0.001482,0.001483,0.001481,0.001481,4.03
SLPUSDTSWAP,3,20250604,183600,0.001482,0.001486,0.001481,0.001486,50.58
SLPUSDTSWAP,3,20250604,183900,0.001485,0.001487,0.001485,0.001487,24.54
SLPUSDTSWAP,3,20250604,184200,0.001486,0.001488,0.001484,0.001484,21.91
SLPUSDTSWAP,3,20250604,184500,0.001485,0.001487,0.001485,0.001485,25.1
SLPUSDTSWAP,3,20250604,184800,0.001484,0.001484,0.001481,0.001482,9.96
SLPUSDTSWAP,3,20250604,185100,0.001481,0.001484,0.001481,0.001484,57.14
SLPUSDTSWAP,3,20250604,185400,0.001483,0.001486,0.001482,0.001486,33.68
SLPUSDTSWAP,3,20250604,185700,0.001485,0.001485,0.001482,0.001482,55.44
SLPUSDTSWAP,3,20250604,190000,0.001483,0.001483,0.001478,0.001478,131.34
SLPUSDTSWAP,3,20250604,190300,0.001477,0.001478,0.001476,0.001476,68.26
SLPUSDTSWAP,3,20250604,190600,0.001476,0.001476,0.001473,0.001473,104.81
SLPUSDTSWAP,3,20250604,190900,0.001474,0.001478,0.001474,0.001477,8.42
SLPUSDTSWAP,3,20250604,191200,0.001478,0.001478,0.001476,0.001477,5.01
SLPUSDTSWAP,3,20250604,191500,0.001477,0.001477,0.001474,0.001475,20.31
SLPUSDTSWAP,3,20250604,191800,0.001475,0.001476,0.001472,0.001476,24.45
SLPUSDTSWAP,3,20250604,192100,0.001476,0.001477,0.001473,0.001473,10.86
SLPUSDTSWAP,3,20250604,192400,0.001472,0.001473,0.001472,0.001472,25.17
SLPUSDTSWAP,3,20250604,192700,0.001473,0.001475,0.001473,0.001473,9.09
SLPUSDTSWAP,3,20250604,193000,0.001473,0.001475,0.001472,0.001474,54.89
SLPUSDTSWAP,3,20250604,193300,0.001475,0.001476,0.001474,0.001475,54.31
SLPUSDTSWAP,3,20250604,193600,0.001476,0.001476,0.001474,0.001474,7.72
SLPUSDTSWAP,3,20250604,193900,0.001475,0.001477,0.001475,0.001475,22.02
SLPUSDTSWAP,3,20250604,194200,0.001474,0.001476,0.001474,0.001475,123.72
SLPUSDTSWAP,3,20250604,194500,0.001475,0.001476,0.001474,0.001475,31.67
SLPUSDTSWAP,3,20250604,194800,0.001474,0.001476,0.001474,0.001476,8.83
SLPUSDTSWAP,3,20250604,195100,0.001475,0.001477,0.001475,0.001476,2.34
SLPUSDTSWAP,3,20250604,195400,0.001476,0.001477,0.001475,0.001475,36.16
SLPUSDTSWAP,3,20250604,195700,0.001475,0.001476,0.001475,0.001476,0.38
SLPUSDTSWAP,3,20250604,200000,0.001476,0.001476,0.001473,0.001474,70.41
SLPUSDTSWAP,3,20250604,200300,0.001473,0.001473,0.001472,0.001472,24.05
SLPUSDTSWAP,3,20250604,200600,0.001472,0.001472,0.001469,0.001471,88.59
SLPUSDTSWAP,3,20250604,200900,0.00147,0.00147,0.001466,0.001467,27.83
SLPUSDTSWAP,3,20250604,201200,0.001466,0.001468,0.001466,0.001467,92.38
SLPUSDTSWAP,3,20250604,201500,0.001466,0.001466,0.001464,0.001464,4.81
SLPUSDTSWAP,3,20250604,201800,0.001465,0.001466,0.001462,0.001462,43.22
SLPUSDTSWAP,3,20250604,202100,0.001463,0.001464,0.001461,0.001463,148.96
SLPUSDTSWAP,3,20250604,202400,0.001462,0.001463,0.001458,0.00146,92.29
SLPUSDTSWAP,3,20250604,202700,0.001459,0.00146,0.001454,0.001454,101.3
SLPUSDTSWAP,3,20250604,203000,0.001454,0.001456,0.001447,0.001449,447.65
SLPUSDTSWAP,3,20250604,203300,0.001448,0.001453,0.001447,0.001452,93.48
SLPUSDTSWAP,3,20250604,203600,0.001451,0.001451,0.001448,0.001451,41.37
SLPUSDTSWAP,3,20250604,203900,0.001451,0.001452,0.001448,0.001451,38.16
SLPUSDTSWAP,3,20250604,204200,0.001451,0.001452,0.001451,0.001451,7.83
SLPUSDTSWAP,3,20250604,204500,0.001451,0.001453,0.001449,0.001449,8.03
SLPUSDTSWAP,3,20250604,204800,0.001449,0.001452,0.001449,0.001449,51.96
SLPUSDTSWAP,3,20250604,205100,0.00145,0.001451,0.001448,0.001451,10.57
SLPUSDTSWAP,3,20250604,205400,0.001451,0.001452,0.00145,0.00145,2.17
SLPUSDTSWAP,3,20250604,205700,0.00145,0.001451,0.001449,0.001451,1.89
SLPUSDTSWAP,3,20250604,210000,0.001452,0.001456,0.001452,0.001455,97.75
SLPUSDTSWAP,3,20250604,210300,0.001453,0.001459,0.001453,0.001458,11.5
SLPUSDTSWAP,3,20250604,210600,0.001457,0.001458,0.001453,0.001453,187.16
SLPUSDTSWAP,3,20250604,210900,0.001453,0.001454,0.001452,0.001454,17.59
SLPUSDTSWAP,3,20250604,211200,0.001455,0.001455,0.001454,0.001454,10.47
SLPUSDTSWAP,3,20250604,211500,0.001455,0.001456,0.001455,0.001456,6.24
SLPUSDTSWAP,3,20250604,211800,0.001455,0.001459,0.001455,0.001459,52.5
SLPUSDTSWAP,3,20250604,212100,0.001457,0.00146,0.001457,0.00146,3.53
SLPUSDTSWAP,3,20250604,212400,0.001459,0.00146,0.001458,0.00146,5.18
SLPUSDTSWAP,3,20250604,212700,0.001459,0.00146,0.001458,0.00146,82.49
SLPUSDTSWAP,3,20250604,213000,0.00146,0.001461,0.001456,0.001459,14.19
SLPUSDTSWAP,3,20250604,213300,0.001458,0.001458,0.001457,0.001458,1.2
SLPUSDTSWAP,3,20250604,213600,0.001457,0.001458,0.001457,0.001457,7.71
SLPUSDTSWAP,3,20250604,213900,0.001456,0.001457,0.001455,0.001455,11.17
