<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLVUSDTSWAP,1440,20250225,030000,0.030118,0.035194,0.028581,0.033326,183924.87
SOLVUSDTSWAP,1440,20250226,030000,0.03333,0.03911,0.03333,0.0368,200270.77
SOLVUSDTSWAP,1440,20250227,030000,0.0368,0.039221,0.035421,0.038727,193390.4
SOLVUSDTSWAP,1440,20250228,030000,0.038722,0.043216,0.035818,0.039151,363892.94
SOLVUSDTSWAP,1440,20250301,030000,0.039155,0.039439,0.034298,0.035781,145040.93
SOLVUSDTSWAP,1440,20250302,030000,0.035781,0.044503,0.035119,0.04214,358590.46
SOLVUSDTSWAP,1440,20250303,030000,0.042143,0.042146,0.037079,0.03734,234828.85
SOLVUSDTSWAP,1440,20250304,030000,0.037339,0.045662,0.037024,0.042648,597078.24
SOLVUSDTSWAP,1440,20250305,030000,0.042641,0.047626,0.038751,0.041407,309512.94
SOLVUSDTSWAP,1440,20250306,030000,0.041407,0.044227,0.03869,0.040968,296715.32
SOLVUSDTSWAP,1440,20250307,030000,0.040973,0.046943,0.039446,0.042332,311412.83
SOLVUSDTSWAP,1440,20250308,030000,0.042334,0.045999,0.040105,0.041606,196562.14
SOLVUSDTSWAP,1440,20250309,030000,0.041602,0.041649,0.03459,0.035938,230610.87
SOLVUSDTSWAP,1440,20250310,030000,0.035939,0.044227,0.034828,0.039917,363069.76
SOLVUSDTSWAP,1440,20250311,030000,0.039925,0.043373,0.037652,0.039911,259461.99
SOLVUSDTSWAP,1440,20250312,030000,0.039908,0.04284,0.038535,0.042588,147247.19
SOLVUSDTSWAP,1440,20250313,030000,0.042572,0.054249,0.041211,0.043879,929458.47
SOLVUSDTSWAP,1440,20250314,030000,0.043885,0.045973,0.042521,0.04309,278236.82
SOLVUSDTSWAP,1440,20250315,030000,0.043088,0.04384,0.040963,0.041527,117255.07
SOLVUSDTSWAP,1440,20250316,030000,0.041528,0.043404,0.03938,0.039777,162875.64
SOLVUSDTSWAP,1440,20250317,030000,0.039782,0.042279,0.039689,0.04082,95415.81
SOLVUSDTSWAP,1440,20250318,030000,0.040795,0.041188,0.036718,0.03736,117725.44
SOLVUSDTSWAP,1440,20250319,030000,0.037371,0.039966,0.037153,0.0399,139439.68
SOLVUSDTSWAP,1440,20250320,030000,0.039903,0.040259,0.035872,0.037149,89855.57
SOLVUSDTSWAP,1440,20250321,030000,0.037141,0.037723,0.034799,0.035073,74261.8
SOLVUSDTSWAP,1440,20250322,030000,0.035073,0.036881,0.034972,0.03517,55923.51
SOLVUSDTSWAP,1440,20250323,030000,0.035173,0.035644,0.033731,0.035002,61087.48
SOLVUSDTSWAP,1440,20250324,030000,0.035003,0.036716,0.03382,0.036189,71339.65
SOLVUSDTSWAP,1440,20250325,030000,0.036212,0.037437,0.034655,0.035953,70969.33
SOLVUSDTSWAP,1440,20250326,030000,0.035964,0.036643,0.034738,0.035478,48953.84
SOLVUSDTSWAP,1440,20250327,030000,0.03548,0.036535,0.034108,0.034455,53050.33
