<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLVUSDTSWAP,60,20250531,190000,0.042069,0.045997,0.041613,0.043392,46357.14
SOLVUSDTSWAP,60,20250531,200000,0.043384,0.043838,0.042524,0.042758,12666.61
SOLVUSDTSWAP,60,20250531,210000,0.042772,0.043283,0.041872,0.04215,8196.91
SOLVUSDTSWAP,60,20250531,220000,0.042185,0.042458,0.041254,0.041526,9019.74
SOLVUSDTSWAP,60,20250531,230000,0.041527,0.041865,0.041179,0.041473,5534.3
SOLVUSDTSWAP,60,20250601,000000,0.04145,0.04183,0.040742,0.040965,5755.08
SOLVUSDTSWAP,60,20250601,010000,0.040953,0.044188,0.040487,0.042212,18330.11
SOLVUSDTSWAP,60,20250601,020000,0.042216,0.042885,0.03801,0.041292,44397.81
SOLVUSDTSWAP,60,20250601,030000,0.041313,0.043591,0.040634,0.042947,32816.32
SOLVUSDTSWAP,60,20250601,040000,0.042946,0.043581,0.042255,0.043293,20610.52
SOLVUSDTSWAP,60,20250601,050000,0.043267,0.043526,0.042718,0.043079,19007.84
SOLVUSDTSWAP,60,20250601,060000,0.043089,0.043475,0.042955,0.0431,10958.39
SOLVUSDTSWAP,60,20250601,070000,0.043107,0.0469,0.043068,0.045358,58233.5
SOLVUSDTSWAP,60,20250601,080000,0.045318,0.046703,0.045006,0.046147,22610.69
SOLVUSDTSWAP,60,20250601,090000,0.046145,0.046502,0.045558,0.04575,16705.55
SOLVUSDTSWAP,60,20250601,100000,0.045725,0.046207,0.045198,0.045802,10665.17
SOLVUSDTSWAP,60,20250601,110000,0.045826,0.04594,0.04483,0.045118,16339.72
SOLVUSDTSWAP,60,20250601,120000,0.045124,0.045244,0.044683,0.044982,10062.47
SOLVUSDTSWAP,60,20250601,130000,0.044977,0.045668,0.044928,0.0452,9854.69
SOLVUSDTSWAP,60,20250601,140000,0.045201,0.045273,0.044817,0.044979,5205.3
