<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLVUSDTSWAP,3,20250604,172700,0.043495,0.043515,0.043344,0.043364,693.09
SOLVUSDTSWAP,3,20250604,173000,0.043376,0.043486,0.043301,0.043328,782.46
SOLVUSDTSWAP,3,20250604,173300,0.043328,0.04346,0.043289,0.043313,363.61
SOLVUSDTSWAP,3,20250604,173600,0.043333,0.043348,0.0432,0.043244,341.68
SOLVUSDTSWAP,3,20250604,173900,0.043249,0.043405,0.04317,0.043379,216.16
SOLVUSDTSWAP,3,20250604,174200,0.043375,0.04338,0.043256,0.043337,146.56
SOLVUSDTSWAP,3,20250604,174500,0.043337,0.043337,0.042775,0.043124,3342.15
SOLVUSDTSWAP,3,20250604,174800,0.043144,0.043196,0.043101,0.043139,196.69
SOLVUSDTSWAP,3,20250604,175100,0.04313,0.043178,0.043084,0.043121,274.52
SOLVUSDTSWAP,3,20250604,175400,0.043139,0.043281,0.043139,0.043247,117.42
SOLVUSDTSWAP,3,20250604,175700,0.043267,0.043314,0.043216,0.043242,115.78
SOLVUSDTSWAP,3,20250604,180000,0.043248,0.043262,0.043102,0.043129,252.18
SOLVUSDTSWAP,3,20250604,180300,0.04312,0.043185,0.043092,0.043123,91.76
SOLVUSDTSWAP,3,20250604,180600,0.043132,0.04326,0.043132,0.043243,84.32
SOLVUSDTSWAP,3,20250604,180900,0.043235,0.043325,0.043184,0.043189,163.82
SOLVUSDTSWAP,3,20250604,181200,0.043178,0.043178,0.042836,0.042957,1663.82
SOLVUSDTSWAP,3,20250604,181500,0.042987,0.043152,0.042873,0.043089,267.72
SOLVUSDTSWAP,3,20250604,181800,0.043078,0.043129,0.04301,0.043017,107.69
SOLVUSDTSWAP,3,20250604,182100,0.043009,0.043139,0.04297,0.04311,100.51
SOLVUSDTSWAP,3,20250604,182400,0.043121,0.043174,0.043104,0.043104,106.6
SOLVUSDTSWAP,3,20250604,182700,0.043102,0.043148,0.04302,0.043099,213.83
SOLVUSDTSWAP,3,20250604,183000,0.043103,0.043123,0.043035,0.043102,271.46
SOLVUSDTSWAP,3,20250604,183300,0.043113,0.043189,0.043085,0.043092,125.11
SOLVUSDTSWAP,3,20250604,183600,0.043101,0.043297,0.043101,0.043282,134.73
SOLVUSDTSWAP,3,20250604,183900,0.043272,0.043371,0.043272,0.043292,199.66
SOLVUSDTSWAP,3,20250604,184200,0.043296,0.04332,0.043214,0.043255,63.82
SOLVUSDTSWAP,3,20250604,184500,0.043265,0.043855,0.043248,0.043618,1564.33
SOLVUSDTSWAP,3,20250604,184800,0.043606,0.04372,0.043538,0.043673,175.78
SOLVUSDTSWAP,3,20250604,185100,0.043666,0.043677,0.043531,0.043549,137.77
SOLVUSDTSWAP,3,20250604,185400,0.043553,0.043583,0.043456,0.043555,101.52
SOLVUSDTSWAP,3,20250604,185700,0.043551,0.043551,0.043445,0.043462,138.75
SOLVUSDTSWAP,3,20250604,190000,0.043461,0.04358,0.043439,0.043475,245.16
SOLVUSDTSWAP,3,20250604,190300,0.043461,0.043466,0.043334,0.043393,173.06
SOLVUSDTSWAP,3,20250604,190600,0.043384,0.043511,0.043368,0.043465,147.46
SOLVUSDTSWAP,3,20250604,190900,0.043447,0.043515,0.043445,0.043489,74.29
SOLVUSDTSWAP,3,20250604,191200,0.043496,0.043591,0.043496,0.043556,51.41
SOLVUSDTSWAP,3,20250604,191500,0.043549,0.043797,0.043486,0.043487,348.39
SOLVUSDTSWAP,3,20250604,191800,0.043483,0.043614,0.043468,0.043597,93.01
SOLVUSDTSWAP,3,20250604,192100,0.043593,0.043599,0.043472,0.043516,139.02
SOLVUSDTSWAP,3,20250604,192400,0.043501,0.043526,0.04348,0.043515,86.74
SOLVUSDTSWAP,3,20250604,192700,0.04351,0.043698,0.043504,0.043669,293.3
SOLVUSDTSWAP,3,20250604,193000,0.043674,0.043871,0.043663,0.04381,261.52
SOLVUSDTSWAP,3,20250604,193300,0.043808,0.043821,0.043727,0.043821,44.64
SOLVUSDTSWAP,3,20250604,193600,0.043807,0.043807,0.043708,0.043752,99.31
SOLVUSDTSWAP,3,20250604,193900,0.043758,0.043794,0.043715,0.043719,68.26
SOLVUSDTSWAP,3,20250604,194200,0.043712,0.043712,0.04361,0.043621,46.77
SOLVUSDTSWAP,3,20250604,194500,0.043621,0.043721,0.043615,0.043721,68.09
SOLVUSDTSWAP,3,20250604,194800,0.043726,0.043777,0.04371,0.043777,20.55
SOLVUSDTSWAP,3,20250604,195100,0.043749,0.043803,0.043733,0.043787,52.46
SOLVUSDTSWAP,3,20250604,195400,0.043776,0.043791,0.04372,0.043791,25.57
SOLVUSDTSWAP,3,20250604,195700,0.043791,0.043792,0.043714,0.043752,14.49
SOLVUSDTSWAP,3,20250604,200000,0.043752,0.043791,0.043574,0.043602,96.21
SOLVUSDTSWAP,3,20250604,200300,0.043608,0.043647,0.043548,0.043575,65.32
SOLVUSDTSWAP,3,20250604,200600,0.043575,0.043578,0.043518,0.043554,33.9
SOLVUSDTSWAP,3,20250604,200900,0.043538,0.043538,0.043446,0.043477,91.95
SOLVUSDTSWAP,3,20250604,201200,0.043472,0.043557,0.043472,0.043535,60.86
SOLVUSDTSWAP,3,20250604,201500,0.043517,0.04355,0.043387,0.043387,210.23
SOLVUSDTSWAP,3,20250604,201800,0.043396,0.043426,0.043388,0.043408,17.58
SOLVUSDTSWAP,3,20250604,202100,0.043413,0.043428,0.043373,0.043389,13.28
SOLVUSDTSWAP,3,20250604,202400,0.043384,0.043384,0.04325,0.043274,71.11
SOLVUSDTSWAP,3,20250604,202700,0.043275,0.043315,0.0432,0.04321,94.56
SOLVUSDTSWAP,3,20250604,203000,0.0432,0.043204,0.04307,0.043165,169.26
SOLVUSDTSWAP,3,20250604,203300,0.043171,0.043225,0.043134,0.04319,81.55
SOLVUSDTSWAP,3,20250604,203600,0.043179,0.04322,0.043129,0.043206,42.88
SOLVUSDTSWAP,3,20250604,203900,0.043214,0.043258,0.04317,0.043235,22.0
SOLVUSDTSWAP,3,20250604,204200,0.043235,0.043273,0.043226,0.043245,38.7
SOLVUSDTSWAP,3,20250604,204500,0.043261,0.043384,0.043261,0.043342,59.14
SOLVUSDTSWAP,3,20250604,204800,0.043332,0.043442,0.04332,0.043366,50.7
SOLVUSDTSWAP,3,20250604,205100,0.043383,0.043399,0.043357,0.043371,13.45
SOLVUSDTSWAP,3,20250604,205400,0.04338,0.043399,0.043355,0.043355,48.85
SOLVUSDTSWAP,3,20250604,205700,0.04335,0.04335,0.04331,0.043347,14.48
SOLVUSDTSWAP,3,20250604,210000,0.043354,0.043387,0.043354,0.043355,54.32
SOLVUSDTSWAP,3,20250604,210300,0.043361,0.043377,0.043296,0.043304,37.55
SOLVUSDTSWAP,3,20250604,210600,0.043315,0.043315,0.04319,0.043221,89.06
