<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOONUSDTSWAP,1440,20250523,030000,0.54648,0.59204,0.43155,0.45227,8357947.09
SOONUSDTSWAP,1440,20250524,030000,0.45225,0.479,0.38888,0.39949,11422685.38
SOONUSDTSWAP,1440,20250525,030000,0.39949,0.4182,0.36,0.392,7094602.43
SOONUSDTSWAP,1440,20250526,030000,0.39198,0.41515,0.3645,0.3867,6429970.93
SOONUSDTSWAP,1440,20250527,030000,0.38659,0.41067,0.36933,0.37693,3936194.43
SOONUSDTSWAP,1440,20250528,030000,0.37687,0.38766,0.35375,0.37235,2402361.96
SOONUSDTSWAP,1440,20250529,030000,0.3723,0.3975,0.36927,0.3882,1834666.11
SOONUSDTSWAP,1440,20250530,030000,0.3882,0.39754,0.28348,0.29331,3727345.78
SOONUSDTSWAP,1440,20250531,030000,0.29325,0.29444,0.23334,0.24805,4652243.22
SOONUSDTSWAP,1440,20250601,030000,0.24806,0.30635,0.2402,0.29588,4820122.08
SOONUSDTSWAP,1440,20250602,030000,0.2959,0.33236,0.28017,0.29669,7234970.12
SOONUSDTSWAP,1440,20250603,030000,0.29669,0.30488,0.28327,0.29483,2422532.59
SOONUSDTSWAP,1440,20250604,030000,0.29484,0.31754,0.2851,0.31229,2396461.58
