<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOONUSDTSWAP,3,20250604,172700,0.30095,0.30098,0.30012,0.30045,2468.39
SOONUSDTSWAP,3,20250604,173000,0.30046,0.30169,0.29915,0.30169,7924.33
SOONUSDTSWAP,3,20250604,173300,0.3017,0.30238,0.30066,0.30128,1889.55
SOONUSDTSWAP,3,20250604,173600,0.3011,0.30156,0.30022,0.30113,2180.27
SOONUSDTSWAP,3,20250604,173900,0.30115,0.30199,0.30093,0.30165,2507.07
SOONUSDTSWAP,3,20250604,174200,0.3016,0.30183,0.30123,0.30154,1380.12
SOONUSDTSWAP,3,20250604,174500,0.3016,0.30289,0.30099,0.30289,2686.65
SOONUSDTSWAP,3,20250604,174800,0.30287,0.30364,0.30227,0.30232,3331.57
SOONUSDTSWAP,3,20250604,175100,0.30231,0.30315,0.30216,0.30315,735.82
SOONUSDTSWAP,3,20250604,175400,0.30319,0.30589,0.30317,0.30554,9596.27
SOONUSDTSWAP,3,20250604,175700,0.30546,0.30806,0.30528,0.30734,15528.98
SOONUSDTSWAP,3,20250604,180000,0.30731,0.30761,0.30618,0.30677,4490.72
SOONUSDTSWAP,3,20250604,180300,0.30674,0.30709,0.30544,0.30577,6143.39
SOONUSDTSWAP,3,20250604,180600,0.3058,0.30733,0.30527,0.30536,4195.88
SOONUSDTSWAP,3,20250604,180900,0.30537,0.30537,0.30445,0.3048,2015.14
SOONUSDTSWAP,3,20250604,181200,0.30478,0.30521,0.30398,0.30454,3970.98
SOONUSDTSWAP,3,20250604,181500,0.3045,0.30674,0.30437,0.30625,3769.71
SOONUSDTSWAP,3,20250604,181800,0.30621,0.30688,0.30515,0.30515,4790.35
SOONUSDTSWAP,3,20250604,182100,0.30519,0.30548,0.30356,0.30486,7685.29
SOONUSDTSWAP,3,20250604,182400,0.30492,0.30534,0.30409,0.30422,2309.77
SOONUSDTSWAP,3,20250604,182700,0.30429,0.30473,0.30365,0.30418,2848.46
SOONUSDTSWAP,3,20250604,183000,0.30416,0.30436,0.30357,0.30377,1756.22
SOONUSDTSWAP,3,20250604,183300,0.30392,0.30434,0.30321,0.30325,1973.96
SOONUSDTSWAP,3,20250604,183600,0.30326,0.30374,0.30201,0.30352,8682.94
SOONUSDTSWAP,3,20250604,183900,0.30351,0.3042,0.30328,0.30407,3964.75
SOONUSDTSWAP,3,20250604,184200,0.3041,0.30629,0.3041,0.3054,4767.07
SOONUSDTSWAP,3,20250604,184500,0.3053,0.30584,0.3047,0.30472,2123.06
SOONUSDTSWAP,3,20250604,184800,0.30471,0.30499,0.3034,0.30399,2574.19
SOONUSDTSWAP,3,20250604,185100,0.304,0.30617,0.30398,0.30528,3347.95
SOONUSDTSWAP,3,20250604,185400,0.30526,0.3065,0.3048,0.30575,2769.32
SOONUSDTSWAP,3,20250604,185700,0.30574,0.30574,0.30371,0.3047,2924.4
SOONUSDTSWAP,3,20250604,190000,0.30468,0.30468,0.30358,0.30395,2400.88
SOONUSDTSWAP,3,20250604,190300,0.30386,0.30386,0.30128,0.3022,13447.32
SOONUSDTSWAP,3,20250604,190600,0.30219,0.303,0.30177,0.30203,5123.33
SOONUSDTSWAP,3,20250604,190900,0.30204,0.30269,0.30196,0.30244,2354.4
SOONUSDTSWAP,3,20250604,191200,0.30241,0.30307,0.30219,0.3029,2139.25
SOONUSDTSWAP,3,20250604,191500,0.3029,0.3029,0.30177,0.30209,2556.48
SOONUSDTSWAP,3,20250604,191800,0.30213,0.30357,0.30154,0.30354,2747.87
SOONUSDTSWAP,3,20250604,192100,0.30346,0.30394,0.3019,0.30204,1780.7
SOONUSDTSWAP,3,20250604,192400,0.30199,0.30234,0.30106,0.30191,2454.27
SOONUSDTSWAP,3,20250604,192700,0.30194,0.30234,0.30186,0.30188,516.02
SOONUSDTSWAP,3,20250604,193000,0.30186,0.30541,0.3017,0.30485,5574.15
SOONUSDTSWAP,3,20250604,193300,0.30486,0.30624,0.30443,0.3053,3815.02
SOONUSDTSWAP,3,20250604,193600,0.30525,0.30836,0.30521,0.30785,9708.17
SOONUSDTSWAP,3,20250604,193900,0.3078,0.31134,0.30718,0.30954,25363.03
SOONUSDTSWAP,3,20250604,194200,0.30951,0.31184,0.30951,0.31172,14693.37
SOONUSDTSWAP,3,20250604,194500,0.31172,0.31448,0.31158,0.31373,34964.7
SOONUSDTSWAP,3,20250604,194800,0.31373,0.31496,0.31286,0.31408,17268.01
SOONUSDTSWAP,3,20250604,195100,0.31411,0.3167,0.31345,0.31609,29579.42
SOONUSDTSWAP,3,20250604,195400,0.31602,0.31754,0.31428,0.31479,25482.27
SOONUSDTSWAP,3,20250604,195700,0.3148,0.31503,0.31316,0.31434,13401.35
SOONUSDTSWAP,3,20250604,200000,0.31426,0.31645,0.31054,0.31103,20614.51
SOONUSDTSWAP,3,20250604,200300,0.3111,0.3122,0.30444,0.30732,49618.89
SOONUSDTSWAP,3,20250604,200600,0.30734,0.30821,0.30473,0.30511,16920.91
SOONUSDTSWAP,3,20250604,200900,0.305,0.3052,0.3031,0.30365,22663.94
SOONUSDTSWAP,3,20250604,201200,0.3035,0.3045,0.3015,0.30415,17230.61
SOONUSDTSWAP,3,20250604,201500,0.30412,0.3047,0.30096,0.30139,12089.07
SOONUSDTSWAP,3,20250604,201800,0.30134,0.30295,0.30095,0.30269,4938.96
SOONUSDTSWAP,3,20250604,202100,0.3027,0.30484,0.30264,0.30482,3057.57
SOONUSDTSWAP,3,20250604,202400,0.3048,0.30591,0.30452,0.3057,4597.91
SOONUSDTSWAP,3,20250604,202700,0.3057,0.30812,0.3057,0.30705,7296.45
SOONUSDTSWAP,3,20250604,203000,0.30699,0.30726,0.30472,0.30506,6083.93
SOONUSDTSWAP,3,20250604,203300,0.30512,0.30826,0.30465,0.3066,6787.39
SOONUSDTSWAP,3,20250604,203600,0.30651,0.30784,0.30364,0.30769,8326.96
SOONUSDTSWAP,3,20250604,203900,0.30765,0.30839,0.30729,0.30729,2407.67
SOONUSDTSWAP,3,20250604,204200,0.30731,0.30759,0.30567,0.30725,4137.62
SOONUSDTSWAP,3,20250604,204500,0.30726,0.30764,0.30508,0.30547,4163.07
SOONUSDTSWAP,3,20250604,204800,0.3055,0.30662,0.30475,0.306,4050.62
