<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOPHUSDTSWAP,60,20250531,190000,0.04901,0.05031,0.04867,0.04971,58360.23
SOPHUSDTSWAP,60,20250531,200000,0.0497,0.04999,0.04916,0.04942,21646.14
SOPHUSDTSWAP,60,20250531,210000,0.04941,0.05013,0.04934,0.04958,19096.92
SOPHUSDTSWAP,60,20250531,220000,0.04958,0.04965,0.04803,0.04832,37054.16
SOPHUSDTSWAP,60,20250531,230000,0.04832,0.04955,0.04822,0.04939,18514.0
SOPHUSDTSWAP,60,20250601,000000,0.04939,0.05009,0.04927,0.04997,15535.03
SOPHUSDTSWAP,60,20250601,010000,0.04998,0.05003,0.04936,0.04988,20158.53
SOPHUSDTSWAP,60,20250601,020000,0.04989,0.04998,0.04925,0.04964,18670.43
SOPHUSDTSWAP,60,20250601,030000,0.04963,0.05007,0.04855,0.04948,48055.59
SOPHUSDTSWAP,60,20250601,040000,0.04948,0.05006,0.04782,0.04798,50281.13
SOPHUSDTSWAP,60,20250601,050000,0.04798,0.04799,0.04716,0.04739,45794.85
SOPHUSDTSWAP,60,20250601,060000,0.04739,0.04919,0.04723,0.04897,40270.08
SOPHUSDTSWAP,60,20250601,070000,0.04896,0.05172,0.0485,0.05084,77903.34
SOPHUSDTSWAP,60,20250601,080000,0.05083,0.05199,0.05042,0.05163,66177.36
SOPHUSDTSWAP,60,20250601,090000,0.05164,0.05345,0.05135,0.05286,82560.02
SOPHUSDTSWAP,60,20250601,100000,0.05285,0.055,0.05235,0.05355,145191.85
SOPHUSDTSWAP,60,20250601,110000,0.05355,0.05528,0.05277,0.05307,173455.57
SOPHUSDTSWAP,60,20250601,120000,0.05307,0.05375,0.05137,0.05184,133410.34
SOPHUSDTSWAP,60,20250601,130000,0.05183,0.05275,0.05164,0.0518,62750.94
SOPHUSDTSWAP,60,20250601,140000,0.05179,0.05197,0.05094,0.0515,52345.09
SOPHUSDTSWAP,60,20250601,150000,0.05149,0.05161,0.05056,0.05094,46083.86
SOPHUSDTSWAP,60,20250601,160000,0.05092,0.05214,0.05087,0.05165,64376.53
SOPHUSDTSWAP,60,20250601,170000,0.05164,0.05244,0.05153,0.05166,49886.15
SOPHUSDTSWAP,60,20250601,180000,0.05166,0.0521,0.05127,0.05205,46416.05
