<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOPHUSDTSWAP,3,20250604,172700,0.05664,0.05675,0.05663,0.05666,1828.57
SOPHUSDTSWAP,3,20250604,173000,0.05666,0.05672,0.05638,0.05658,5430.46
SOPHUSDTSWAP,3,20250604,173300,0.05658,0.05683,0.05656,0.05671,3504.23
SOPHUSDTSWAP,3,20250604,173600,0.05671,0.05681,0.05671,0.05677,2005.21
SOPHUSDTSWAP,3,20250604,173900,0.05677,0.05701,0.05676,0.0569,4779.13
SOPHUSDTSWAP,3,20250604,174200,0.05689,0.05689,0.05673,0.05681,1809.73
SOPHUSDTSWAP,3,20250604,174500,0.05681,0.05681,0.0565,0.05665,2776.36
SOPHUSDTSWAP,3,20250604,174800,0.05665,0.05672,0.05658,0.05661,1542.01
SOPHUSDTSWAP,3,20250604,175100,0.05661,0.05665,0.05649,0.05651,2598.51
SOPHUSDTSWAP,3,20250604,175400,0.05651,0.05678,0.0565,0.05669,2525.94
SOPHUSDTSWAP,3,20250604,175700,0.05668,0.05696,0.05666,0.05693,3379.94
SOPHUSDTSWAP,3,20250604,180000,0.05692,0.05692,0.05652,0.05656,4798.19
SOPHUSDTSWAP,3,20250604,180300,0.05655,0.05668,0.05561,0.05629,16072.36
SOPHUSDTSWAP,3,20250604,180600,0.05628,0.05645,0.05615,0.05622,6343.88
SOPHUSDTSWAP,3,20250604,180900,0.05622,0.05639,0.05615,0.05618,3941.81
SOPHUSDTSWAP,3,20250604,181200,0.05618,0.05638,0.05604,0.05635,5240.3
SOPHUSDTSWAP,3,20250604,181500,0.05636,0.05666,0.05625,0.05634,9886.11
SOPHUSDTSWAP,3,20250604,181800,0.05633,0.05644,0.05622,0.05637,3297.33
SOPHUSDTSWAP,3,20250604,182100,0.05637,0.05656,0.05635,0.05653,1662.97
SOPHUSDTSWAP,3,20250604,182400,0.05653,0.05672,0.05653,0.05658,3202.48
SOPHUSDTSWAP,3,20250604,182700,0.05658,0.05665,0.05652,0.05656,1794.49
SOPHUSDTSWAP,3,20250604,183000,0.05656,0.0566,0.05638,0.05648,3129.8
SOPHUSDTSWAP,3,20250604,183300,0.05649,0.05691,0.05649,0.05677,8186.93
SOPHUSDTSWAP,3,20250604,183600,0.05676,0.05693,0.05641,0.05668,6856.78
SOPHUSDTSWAP,3,20250604,183900,0.05668,0.0572,0.05645,0.05685,10401.74
SOPHUSDTSWAP,3,20250604,184200,0.05685,0.05699,0.0568,0.05686,4364.43
SOPHUSDTSWAP,3,20250604,184500,0.05685,0.05717,0.05684,0.05713,5224.91
SOPHUSDTSWAP,3,20250604,184800,0.05712,0.05712,0.05672,0.05675,3519.68
SOPHUSDTSWAP,3,20250604,185100,0.05675,0.0568,0.0564,0.05643,5781.12
SOPHUSDTSWAP,3,20250604,185400,0.05643,0.05662,0.05628,0.0565,5544.98
SOPHUSDTSWAP,3,20250604,185700,0.05649,0.0566,0.05634,0.05655,3117.34
SOPHUSDTSWAP,3,20250604,190000,0.05656,0.05831,0.05653,0.05799,43234.46
SOPHUSDTSWAP,3,20250604,190300,0.05797,0.05812,0.05701,0.05706,24187.11
SOPHUSDTSWAP,3,20250604,190600,0.05706,0.05736,0.05676,0.05708,15076.62
SOPHUSDTSWAP,3,20250604,190900,0.05709,0.05725,0.05678,0.05694,8046.38
SOPHUSDTSWAP,3,20250604,191200,0.05694,0.05694,0.05542,0.05596,34405.65
SOPHUSDTSWAP,3,20250604,191500,0.05595,0.05631,0.05583,0.0561,9712.02
SOPHUSDTSWAP,3,20250604,191800,0.05609,0.05639,0.05603,0.05634,4678.75
SOPHUSDTSWAP,3,20250604,192100,0.05634,0.05643,0.05622,0.05633,4072.2
SOPHUSDTSWAP,3,20250604,192400,0.05633,0.05682,0.0563,0.05636,9542.92
SOPHUSDTSWAP,3,20250604,192700,0.05636,0.05639,0.05609,0.05619,4251.57
SOPHUSDTSWAP,3,20250604,193000,0.05618,0.05622,0.05417,0.05513,42125.34
SOPHUSDTSWAP,3,20250604,193300,0.05513,0.05544,0.05489,0.05525,12365.77
SOPHUSDTSWAP,3,20250604,193600,0.05526,0.05533,0.05477,0.05502,8385.43
SOPHUSDTSWAP,3,20250604,193900,0.05502,0.05511,0.05444,0.05474,12298.24
SOPHUSDTSWAP,3,20250604,194200,0.05475,0.05494,0.05474,0.05492,4729.96
SOPHUSDTSWAP,3,20250604,194500,0.05493,0.05534,0.05493,0.05532,6250.7
SOPHUSDTSWAP,3,20250604,194800,0.05531,0.05555,0.05509,0.05517,7182.61
SOPHUSDTSWAP,3,20250604,195100,0.05517,0.05526,0.05493,0.05519,4045.89
SOPHUSDTSWAP,3,20250604,195400,0.05518,0.05548,0.05517,0.05537,2874.99
SOPHUSDTSWAP,3,20250604,195700,0.05539,0.05546,0.05523,0.05529,2216.76
SOPHUSDTSWAP,3,20250604,200000,0.0553,0.05546,0.05502,0.05516,5157.83
SOPHUSDTSWAP,3,20250604,200300,0.05515,0.05523,0.05504,0.05521,3588.33
SOPHUSDTSWAP,3,20250604,200600,0.05521,0.05521,0.05498,0.05513,2091.91
SOPHUSDTSWAP,3,20250604,200900,0.05513,0.05517,0.05495,0.05498,1779.49
SOPHUSDTSWAP,3,20250604,201200,0.05499,0.0551,0.05477,0.05501,3410.2
SOPHUSDTSWAP,3,20250604,201500,0.05502,0.0552,0.05488,0.05499,4153.24
SOPHUSDTSWAP,3,20250604,201800,0.055,0.05514,0.055,0.05507,1256.37
SOPHUSDTSWAP,3,20250604,202100,0.05507,0.05519,0.05485,0.05503,3591.61
SOPHUSDTSWAP,3,20250604,202400,0.05502,0.05513,0.05501,0.05509,1309.09
SOPHUSDTSWAP,3,20250604,202700,0.05509,0.05512,0.05467,0.05475,5373.2
SOPHUSDTSWAP,3,20250604,203000,0.05476,0.05494,0.05457,0.05477,6971.99
SOPHUSDTSWAP,3,20250604,203300,0.05476,0.05507,0.05467,0.05502,3092.79
