<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STRKUSDTSWAP,60,20250531,190000,0.1326,0.1347,0.1316,0.1339,290678.56
STRKUSDTSWAP,60,20250531,200000,0.1339,0.135,0.1332,0.1333,138927.68
STRKUSDTSWAP,60,20250531,210000,0.1333,0.1349,0.1333,0.1345,112736.21
STRKUSDTSWAP,60,20250531,220000,0.1345,0.1351,0.1341,0.1343,100345.34
STRKUSDTSWAP,60,20250531,230000,0.1342,0.1347,0.1337,0.1346,117635.83
STRKUSDTSWAP,60,20250601,000000,0.1346,0.1361,0.1342,0.1344,246602.54
STRKUSDTSWAP,60,20250601,010000,0.1345,0.1345,0.1328,0.1329,162423.95
STRKUSDTSWAP,60,20250601,020000,0.1328,0.134,0.1324,0.133,206458.05
STRKUSDTSWAP,60,20250601,030000,0.133,0.1337,0.1322,0.1331,224140.11
STRKUSDTSWAP,60,20250601,040000,0.1331,0.1342,0.1315,0.1318,202208.71
STRKUSDTSWAP,60,20250601,050000,0.1318,0.1325,0.1303,0.132,199716.94
STRKUSDTSWAP,60,20250601,060000,0.1321,0.1326,0.1307,0.1318,154519.35
STRKUSDTSWAP,60,20250601,070000,0.1319,0.1342,0.1313,0.1339,155735.25
STRKUSDTSWAP,60,20250601,080000,0.1339,0.1347,0.1333,0.1337,140780.85
STRKUSDTSWAP,60,20250601,090000,0.1338,0.1351,0.1328,0.1348,263277.99
STRKUSDTSWAP,60,20250601,100000,0.1347,0.1349,0.1329,0.1336,172039.51
STRKUSDTSWAP,60,20250601,110000,0.1337,0.1338,0.1322,0.1327,96586.08
STRKUSDTSWAP,60,20250601,120000,0.1326,0.1332,0.1301,0.1311,331712.96
STRKUSDTSWAP,60,20250601,130000,0.131,0.1318,0.1303,0.1315,238535.15
STRKUSDTSWAP,60,20250601,140000,0.1314,0.1329,0.1309,0.1319,144544.6
STRKUSDTSWAP,60,20250601,150000,0.132,0.1325,0.1305,0.1317,160316.38
STRKUSDTSWAP,60,20250601,160000,0.1316,0.1344,0.1315,0.1336,205531.83
STRKUSDTSWAP,60,20250601,170000,0.1335,0.1371,0.1334,0.1356,249877.02
STRKUSDTSWAP,60,20250601,180000,0.1355,0.1361,0.1347,0.1354,149365.85
STRKUSDTSWAP,60,20250601,190000,0.1353,0.1379,0.1346,0.1361,360475.05
STRKUSDTSWAP,60,20250601,200000,0.1361,0.1366,0.1355,0.136,93906.01
STRKUSDTSWAP,60,20250601,210000,0.136,0.1361,0.1326,0.1343,296399.49
STRKUSDTSWAP,60,20250601,220000,0.1344,0.1354,0.1343,0.1352,124218.93
STRKUSDTSWAP,60,20250601,230000,0.1352,0.1366,0.1347,0.1359,104552.46
STRKUSDTSWAP,60,20250602,000000,0.1359,0.1381,0.1358,0.1379,95576.43
STRKUSDTSWAP,60,20250602,010000,0.1379,0.1391,0.1371,0.1372,231328.22
STRKUSDTSWAP,60,20250602,020000,0.1373,0.1387,0.1371,0.1374,100871.01
STRKUSDTSWAP,60,20250602,030000,0.1375,0.1375,0.1361,0.1368,167895.89
STRKUSDTSWAP,60,20250602,040000,0.1367,0.1379,0.1355,0.1356,173649.46
STRKUSDTSWAP,60,20250602,050000,0.1356,0.1359,0.1343,0.1347,200405.41
STRKUSDTSWAP,60,20250602,060000,0.1348,0.1349,0.1332,0.134,258857.25
STRKUSDTSWAP,60,20250602,070000,0.134,0.1345,0.133,0.1331,259402.56
STRKUSDTSWAP,60,20250602,080000,0.1332,0.1344,0.1324,0.1335,144574.61
STRKUSDTSWAP,60,20250602,090000,0.1336,0.1355,0.1327,0.1347,161882.45
STRKUSDTSWAP,60,20250602,100000,0.1346,0.1364,0.1346,0.1355,189888.43
