<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STRKUSDTSWAP,3,20250604,172700,0.1368,0.137,0.1366,0.1368,21311.94
STRKUSDTSWAP,3,20250604,173000,0.1368,0.1371,0.1367,0.137,4686.22
STRKUSDTSWAP,3,20250604,173300,0.1371,0.1373,0.137,0.1371,7450.84
STRKUSDTSWAP,3,20250604,173600,0.1371,0.1371,0.1369,0.1369,10184.06
STRKUSDTSWAP,3,20250604,173900,0.1369,0.1374,0.1369,0.1373,1373.24
STRKUSDTSWAP,3,20250604,174200,0.1373,0.1375,0.1372,0.1375,7811.55
STRKUSDTSWAP,3,20250604,174500,0.1374,0.1376,0.1373,0.1376,8951.75
STRKUSDTSWAP,3,20250604,174800,0.1377,0.1379,0.1375,0.1375,8059.03
STRKUSDTSWAP,3,20250604,175100,0.1374,0.1378,0.1374,0.1378,9404.62
STRKUSDTSWAP,3,20250604,175400,0.1377,0.1383,0.1377,0.1383,9757.15
STRKUSDTSWAP,3,20250604,175700,0.1383,0.1388,0.1381,0.1387,17653.86
STRKUSDTSWAP,3,20250604,180000,0.1387,0.1388,0.1385,0.1385,16870.08
STRKUSDTSWAP,3,20250604,180300,0.1385,0.1387,0.1383,0.1385,4712.46
STRKUSDTSWAP,3,20250604,180600,0.1386,0.1391,0.1386,0.1386,7862.22
STRKUSDTSWAP,3,20250604,180900,0.1387,0.1391,0.1387,0.1391,2180.5
STRKUSDTSWAP,3,20250604,181200,0.1391,0.1394,0.1391,0.1392,7806.01
STRKUSDTSWAP,3,20250604,181500,0.1392,0.1403,0.1392,0.1401,12655.23
STRKUSDTSWAP,3,20250604,181800,0.1401,0.1402,0.1398,0.1399,12550.58
STRKUSDTSWAP,3,20250604,182100,0.1398,0.1401,0.1396,0.1401,5409.84
STRKUSDTSWAP,3,20250604,182400,0.1401,0.1404,0.14,0.1401,36569.04
STRKUSDTSWAP,3,20250604,182700,0.1402,0.1402,0.1399,0.1399,9691.75
STRKUSDTSWAP,3,20250604,183000,0.14,0.1401,0.1396,0.14,7768.04
STRKUSDTSWAP,3,20250604,183300,0.1401,0.1403,0.1397,0.1398,20630.99
STRKUSDTSWAP,3,20250604,183600,0.1397,0.1404,0.1396,0.1404,32186.74
STRKUSDTSWAP,3,20250604,183900,0.1403,0.1406,0.1402,0.1404,11283.77
STRKUSDTSWAP,3,20250604,184200,0.1405,0.1412,0.1404,0.1407,17820.6
STRKUSDTSWAP,3,20250604,184500,0.1408,0.141,0.1406,0.1406,20141.02
STRKUSDTSWAP,3,20250604,184800,0.1406,0.1409,0.1404,0.1404,26304.15
STRKUSDTSWAP,3,20250604,185100,0.1405,0.1407,0.1403,0.1405,16137.97
STRKUSDTSWAP,3,20250604,185400,0.1405,0.1411,0.1405,0.141,8584.27
STRKUSDTSWAP,3,20250604,185700,0.141,0.141,0.1406,0.1409,10497.59
STRKUSDTSWAP,3,20250604,190000,0.1409,0.141,0.1404,0.1405,15098.14
STRKUSDTSWAP,3,20250604,190300,0.1406,0.1409,0.1403,0.1403,16900.68
STRKUSDTSWAP,3,20250604,190600,0.1402,0.1403,0.1399,0.1399,5645.71
STRKUSDTSWAP,3,20250604,190900,0.1401,0.1402,0.14,0.1402,9550.62
STRKUSDTSWAP,3,20250604,191200,0.1403,0.1403,0.1401,0.1402,3923.35
STRKUSDTSWAP,3,20250604,191500,0.1401,0.1403,0.1398,0.1399,15384.94
STRKUSDTSWAP,3,20250604,191800,0.1399,0.1404,0.1396,0.1402,17349.28
STRKUSDTSWAP,3,20250604,192100,0.1403,0.1403,0.1397,0.1398,6537.28
STRKUSDTSWAP,3,20250604,192400,0.1397,0.1398,0.1394,0.1394,14516.79
STRKUSDTSWAP,3,20250604,192700,0.1394,0.1397,0.1394,0.1394,1895.42
STRKUSDTSWAP,3,20250604,193000,0.1394,0.1398,0.1394,0.1396,3604.88
STRKUSDTSWAP,3,20250604,193300,0.1396,0.1401,0.1396,0.1401,2205.26
STRKUSDTSWAP,3,20250604,193600,0.14,0.14,0.1397,0.1397,7910.84
STRKUSDTSWAP,3,20250604,193900,0.1398,0.14,0.1397,0.1397,2261.54
STRKUSDTSWAP,3,20250604,194200,0.1397,0.1397,0.1394,0.1394,8849.02
STRKUSDTSWAP,3,20250604,194500,0.1394,0.1395,0.1392,0.1395,8588.57
STRKUSDTSWAP,3,20250604,194800,0.1395,0.1397,0.1393,0.1397,4128.92
STRKUSDTSWAP,3,20250604,195100,0.1396,0.1397,0.1395,0.1397,5281.21
STRKUSDTSWAP,3,20250604,195400,0.1397,0.14,0.1396,0.1397,2417.09
STRKUSDTSWAP,3,20250604,195700,0.1397,0.1397,0.1394,0.1396,2972.54
STRKUSDTSWAP,3,20250604,200000,0.1396,0.1397,0.1392,0.1393,8164.09
STRKUSDTSWAP,3,20250604,200300,0.1392,0.1394,0.1391,0.1392,2265.76
STRKUSDTSWAP,3,20250604,200600,0.1392,0.1392,0.1389,0.139,6911.28
STRKUSDTSWAP,3,20250604,200900,0.139,0.139,0.1387,0.1388,9071.7
STRKUSDTSWAP,3,20250604,201200,0.1389,0.1391,0.1389,0.1389,3289.99
STRKUSDTSWAP,3,20250604,201500,0.139,0.139,0.1385,0.1387,9001.64
STRKUSDTSWAP,3,20250604,201800,0.1388,0.1389,0.1388,0.1388,3504.98
STRKUSDTSWAP,3,20250604,202100,0.139,0.1391,0.1388,0.139,1557.91
STRKUSDTSWAP,3,20250604,202400,0.1389,0.1389,0.1381,0.1382,11784.14
STRKUSDTSWAP,3,20250604,202700,0.1383,0.1384,0.1378,0.1379,30163.78
STRKUSDTSWAP,3,20250604,203000,0.1378,0.1378,0.1372,0.1373,14640.42
STRKUSDTSWAP,3,20250604,203300,0.1373,0.1377,0.137,0.1375,16196.46
STRKUSDTSWAP,3,20250604,203600,0.1374,0.1374,0.1371,0.1373,9775.6
STRKUSDTSWAP,3,20250604,203900,0.1373,0.1374,0.1371,0.1374,7746.47
STRKUSDTSWAP,3,20250604,204200,0.1374,0.1374,0.1373,0.1373,1693.32
STRKUSDTSWAP,3,20250604,204500,0.1373,0.1376,0.1371,0.1371,10357.91
STRKUSDTSWAP,3,20250604,204800,0.1371,0.1376,0.1371,0.1373,32428.67
STRKUSDTSWAP,3,20250604,205100,0.1372,0.1376,0.1372,0.1376,2408.13
STRKUSDTSWAP,3,20250604,205400,0.1377,0.1378,0.1377,0.1377,6818.77
STRKUSDTSWAP,3,20250604,205700,0.1377,0.1378,0.1377,0.1378,1424.78
STRKUSDTSWAP,3,20250604,210000,0.1379,0.1383,0.1379,0.1383,5343.21
STRKUSDTSWAP,3,20250604,210300,0.1383,0.1387,0.1383,0.1386,4936.76
STRKUSDTSWAP,3,20250604,210600,0.1386,0.1386,0.1378,0.1378,13884.53
STRKUSDTSWAP,3,20250604,210900,0.1378,0.1383,0.1377,0.1382,5271.13
STRKUSDTSWAP,3,20250604,211200,0.1382,0.1383,0.1381,0.1382,173.16
STRKUSDTSWAP,3,20250604,211500,0.1382,0.1384,0.1381,0.1383,1407.98
STRKUSDTSWAP,3,20250604,211800,0.1384,0.1389,0.1382,0.1387,17062.92
STRKUSDTSWAP,3,20250604,212100,0.1388,0.139,0.1387,0.1389,2958.24
STRKUSDTSWAP,3,20250604,212400,0.139,0.1393,0.1389,0.1392,10992.12
STRKUSDTSWAP,3,20250604,212700,0.1392,0.1394,0.1391,0.1394,8664.64
STRKUSDTSWAP,3,20250604,213000,0.1393,0.1395,0.1391,0.1392,7006.37
STRKUSDTSWAP,3,20250604,213300,0.1392,0.1392,0.1387,0.1387,8091.7
STRKUSDTSWAP,3,20250604,213600,0.1387,0.1393,0.1386,0.1389,28340.99
STRKUSDTSWAP,3,20250604,213900,0.1389,0.139,0.1387,0.1388,6193.69
STRKUSDTSWAP,3,20250604,214200,0.1388,0.139,0.1387,0.1388,7845.67
STRKUSDTSWAP,3,20250604,214500,0.1389,0.1389,0.1382,0.1385,23658.7
STRKUSDTSWAP,3,20250604,214800,0.1385,0.1387,0.1382,0.1382,4966.89
STRKUSDTSWAP,3,20250604,215100,0.1382,0.1382,0.1379,0.1379,11035.68
STRKUSDTSWAP,3,20250604,215400,0.138,0.138,0.1378,0.1379,5756.53
STRKUSDTSWAP,3,20250604,215700,0.1379,0.138,0.1376,0.1376,5866.68
STRKUSDTSWAP,3,20250604,220000,0.1376,0.1379,0.1376,0.1377,3534.94
STRKUSDTSWAP,3,20250604,220300,0.1377,0.1382,0.1377,0.1382,2188.74
STRKUSDTSWAP,3,20250604,220600,0.1382,0.1382,0.1377,0.1378,4764.58
STRKUSDTSWAP,3,20250604,220900,0.1378,0.1378,0.1374,0.1375,8409.11
STRKUSDTSWAP,3,20250604,221200,0.1376,0.1377,0.1375,0.1375,5517.62
STRKUSDTSWAP,3,20250604,221500,0.1375,0.1376,0.1373,0.1375,3682.66
STRKUSDTSWAP,3,20250604,221800,0.1376,0.1379,0.1376,0.1379,568.01
STRKUSDTSWAP,3,20250604,222100,0.1378,0.1381,0.1378,0.138,4155.63
STRKUSDTSWAP,3,20250604,222400,0.1379,0.1379,0.1377,0.1378,329.03
