<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SUIUSDTSWAP,1440,20250225,030000,2.8307,3.0153,2.6344,2.9569,445272294.54
SUIUSDTSWAP,1440,20250226,030000,2.9567,3.0958,2.7443,2.8834,318186899.64
SUIUSDTSWAP,1440,20250227,030000,2.8836,2.9804,2.7582,2.7881,170249067.57
SUIUSDTSWAP,1440,20250228,030000,2.7886,2.8575,2.5182,2.8306,292737183.46
SUIUSDTSWAP,1440,20250301,030000,2.8307,2.9258,2.7815,2.8203,139496867.69
SUIUSDTSWAP,1440,20250302,030000,2.8205,3.2524,2.7908,3.195,260757292.43
SUIUSDTSWAP,1440,20250303,030000,3.1951,3.2061,2.5824,2.6176,251345851.62
SUIUSDTSWAP,1440,20250304,030000,2.6178,2.6529,2.251,2.5258,355204784.62
SUIUSDTSWAP,1440,20250305,030000,2.5258,2.6904,2.4418,2.6329,177219640.16
SUIUSDTSWAP,1440,20250306,030000,2.6327,2.9984,2.5876,2.7357,442347257.06
SUIUSDTSWAP,1440,20250307,030000,2.7357,2.8927,2.561,2.583,431401856.27
SUIUSDTSWAP,1440,20250308,030000,2.5828,2.6293,2.47,2.483,127811570.4
SUIUSDTSWAP,1440,20250309,030000,2.483,2.5248,2.2504,2.29,161720503.92
SUIUSDTSWAP,1440,20250310,030000,2.2901,2.4487,2.0583,2.0889,231977834.48
SUIUSDTSWAP,1440,20250311,030000,2.0892,2.306,1.963,2.2298,229761130.07
SUIUSDTSWAP,1440,20250312,030000,2.2298,2.3753,2.1718,2.2859,178854496.72
SUIUSDTSWAP,1440,20250313,030000,2.285,2.3448,2.1141,2.1634,158984669.76
SUIUSDTSWAP,1440,20250314,030000,2.1635,2.3868,2.159,2.3256,141046719.23
SUIUSDTSWAP,1440,20250315,030000,2.3254,2.4272,2.3001,2.3521,108029533.5
SUIUSDTSWAP,1440,20250316,030000,2.3522,2.3673,2.2036,2.2305,115845786.49
SUIUSDTSWAP,1440,20250317,030000,2.2305,2.3822,2.2282,2.3788,146128022.35
SUIUSDTSWAP,1440,20250318,030000,2.3788,2.3889,2.2202,2.2846,130769339.46
SUIUSDTSWAP,1440,20250319,030000,2.2846,2.4865,2.2763,2.4743,159672594.79
SUIUSDTSWAP,1440,20250320,030000,2.4743,2.4998,2.3435,2.3568,140206189.71
SUIUSDTSWAP,1440,20250321,030000,2.3567,2.3696,2.2301,2.2524,120062677.75
SUIUSDTSWAP,1440,20250322,030000,2.2523,2.3113,2.2322,2.2637,74753233.38
SUIUSDTSWAP,1440,20250323,030000,2.2635,2.3013,2.2344,2.2926,64504410.4
SUIUSDTSWAP,1440,20250324,030000,2.2927,2.4512,2.26,2.3972,140377041.26
SUIUSDTSWAP,1440,20250325,030000,2.3971,2.4843,2.3338,2.4574,125445193.01
