<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SUIUSDTSWAP,60,20250531,190000,3.2513,3.306,3.2358,3.2766,9747969.63
SUIUSDTSWAP,60,20250531,200000,3.2765,3.2914,3.2281,3.2331,9890842.63
SUIUSDTSWAP,60,20250531,210000,3.2332,3.2718,3.232,3.2513,6577224.4
SUIUSDTSWAP,60,20250531,220000,3.2514,3.2759,3.2506,3.2531,2663329.04
SUIUSDTSWAP,60,20250531,230000,3.2531,3.28,3.243,3.2724,2520739.36
SUIUSDTSWAP,60,20250601,000000,3.2725,3.2894,3.2608,3.2766,5301793.61
SUIUSDTSWAP,60,20250601,010000,3.2766,3.2826,3.2528,3.255,2232219.79
SUIUSDTSWAP,60,20250601,020000,3.255,3.2827,3.2406,3.2443,6790763.28
SUIUSDTSWAP,60,20250601,030000,3.2442,3.2457,3.2144,3.2418,4881959.75
SUIUSDTSWAP,60,20250601,040000,3.2418,3.2624,3.2059,3.2194,4816053.74
SUIUSDTSWAP,60,20250601,050000,3.2192,3.2469,3.1941,3.2367,6348265.62
SUIUSDTSWAP,60,20250601,060000,3.237,3.2675,3.2172,3.2615,5997914.99
SUIUSDTSWAP,60,20250601,070000,3.2615,3.2896,3.2495,3.274,6186227.29
SUIUSDTSWAP,60,20250601,080000,3.2739,3.2905,3.2603,3.2731,4844003.51
SUIUSDTSWAP,60,20250601,090000,3.273,3.2818,3.2473,3.25,4655741.04
SUIUSDTSWAP,60,20250601,100000,3.2503,3.2592,3.2361,3.2506,3561893.26
SUIUSDTSWAP,60,20250601,110000,3.2505,3.2633,3.2391,3.2633,3603793.59
SUIUSDTSWAP,60,20250601,120000,3.2633,3.2723,3.1835,3.207,11392451.15
SUIUSDTSWAP,60,20250601,130000,3.2069,3.2353,3.1991,3.2316,6461493.02
SUIUSDTSWAP,60,20250601,140000,3.2314,3.2639,3.2211,3.254,5756949.14
SUIUSDTSWAP,60,20250601,150000,3.2539,3.2638,3.2216,3.2403,6368962.59
SUIUSDTSWAP,60,20250601,160000,3.2403,3.2878,3.2376,3.2711,7826448.88
SUIUSDTSWAP,60,20250601,170000,3.2711,3.315,3.2697,3.2884,9886127.77
SUIUSDTSWAP,60,20250601,180000,3.2879,3.2999,3.2732,3.2866,4426322.22
SUIUSDTSWAP,60,20250601,190000,3.2866,3.3264,3.2797,3.3003,11479870.31
SUIUSDTSWAP,60,20250601,200000,3.3001,3.3083,3.2872,3.294,5246716.79
SUIUSDTSWAP,60,20250601,210000,3.2938,3.2959,3.244,3.275,10080266.47
SUIUSDTSWAP,60,20250601,220000,3.2749,3.2882,3.2643,3.287,3359660.96
SUIUSDTSWAP,60,20250601,230000,3.287,3.2936,3.2688,3.2741,2859847.78
SUIUSDTSWAP,60,20250602,000000,3.2741,3.306,3.2704,3.302,3548878.84
SUIUSDTSWAP,60,20250602,010000,3.302,3.336,3.3015,3.3222,7239918.97
SUIUSDTSWAP,60,20250602,020000,3.3221,3.3625,3.3221,3.3411,7552791.03
SUIUSDTSWAP,60,20250602,030000,3.3413,3.3476,3.317,3.3247,5624694.3
SUIUSDTSWAP,60,20250602,040000,3.3245,3.3448,3.3036,3.3043,3748011.38
SUIUSDTSWAP,60,20250602,050000,3.3041,3.3068,3.278,3.282,8064108.71
SUIUSDTSWAP,60,20250602,060000,3.2821,3.2842,3.2521,3.269,6184431.49
SUIUSDTSWAP,60,20250602,070000,3.2688,3.2989,3.2629,3.2762,4174381.81
SUIUSDTSWAP,60,20250602,080000,3.2762,3.2925,3.2525,3.277,4483673.0
SUIUSDTSWAP,60,20250602,090000,3.277,3.3037,3.259,3.2865,6574222.37
SUIUSDTSWAP,60,20250602,100000,3.2864,3.3072,3.2834,3.2915,5381378.12
SUIUSDTSWAP,60,20250602,110000,3.2914,3.3314,3.2781,3.2903,8300163.65
SUIUSDTSWAP,60,20250602,120000,3.2904,3.3,3.2602,3.266,10160080.67
SUIUSDTSWAP,60,20250602,130000,3.2658,3.2883,3.2439,3.263,10427836.56
SUIUSDTSWAP,60,20250602,140000,3.2633,3.271,3.2352,3.2566,5765575.6
SUIUSDTSWAP,60,20250602,150000,3.2562,3.2771,3.2213,3.2741,8728947.44
SUIUSDTSWAP,60,20250602,160000,3.2741,3.2912,3.2359,3.2383,8960628.91
SUIUSDTSWAP,60,20250602,170000,3.2382,3.2995,3.2237,3.2774,11292173.32
SUIUSDTSWAP,60,20250602,180000,3.2773,3.2991,3.2538,3.2853,5511209.28
SUIUSDTSWAP,60,20250602,190000,3.2854,3.2904,3.2477,3.273,6706960.12
SUIUSDTSWAP,60,20250602,200000,3.274,3.2998,3.2525,3.2953,5189663.24
SUIUSDTSWAP,60,20250602,210000,3.2957,3.3247,3.2802,3.2851,5399519.98
SUIUSDTSWAP,60,20250602,220000,3.2852,3.2998,3.2522,3.276,4390035.76
SUIUSDTSWAP,60,20250602,230000,3.276,3.3358,3.276,3.327,7164946.15
SUIUSDTSWAP,60,20250603,000000,3.3271,3.3624,3.3269,3.3395,5719091.93
SUIUSDTSWAP,60,20250603,010000,3.3391,3.3689,3.3383,3.3422,6104843.14
SUIUSDTSWAP,60,20250603,020000,3.3423,3.3547,3.3255,3.329,7435153.57
SUIUSDTSWAP,60,20250603,030000,3.3291,3.3591,3.3174,3.344,6757154.17
SUIUSDTSWAP,60,20250603,040000,3.344,3.39,3.3385,3.3832,7912465.79
SUIUSDTSWAP,60,20250603,050000,3.3838,3.3897,3.3053,3.3191,10624133.78
SUIUSDTSWAP,60,20250603,060000,3.3192,3.3224,3.2907,3.3059,6654063.3
SUIUSDTSWAP,60,20250603,070000,3.3055,3.3076,3.284,3.2919,3849502.66
SUIUSDTSWAP,60,20250603,080000,3.292,3.3256,3.292,3.3231,4028766.06
SUIUSDTSWAP,60,20250603,090000,3.3231,3.326,3.3021,3.325,3235852.01
SUIUSDTSWAP,60,20250603,100000,3.3251,3.3259,3.3064,3.3106,2652448.9
SUIUSDTSWAP,60,20250603,110000,3.3106,3.3214,3.2878,3.312,5128308.1
SUIUSDTSWAP,60,20250603,120000,3.312,3.3196,3.2976,3.3127,2367102.96
SUIUSDTSWAP,60,20250603,130000,3.3128,3.3292,3.3084,3.32,3414373.76
SUIUSDTSWAP,60,20250603,140000,3.32,3.3274,3.3021,3.3084,2255817.16
SUIUSDTSWAP,60,20250603,150000,3.3081,3.3172,3.2952,3.3073,4439913.49
SUIUSDTSWAP,60,20250603,160000,3.3074,3.3273,3.2882,3.2956,8984307.35
SUIUSDTSWAP,60,20250603,170000,3.2956,3.3342,3.2708,3.3312,13582686.87
SUIUSDTSWAP,60,20250603,180000,3.3311,3.3395,3.3026,3.3207,10048003.32
SUIUSDTSWAP,60,20250603,190000,3.3203,3.3244,3.2814,3.2844,6992498.68
SUIUSDTSWAP,60,20250603,200000,3.2841,3.3122,3.2786,3.2952,5845179.11
SUIUSDTSWAP,60,20250603,210000,3.2949,3.2949,3.2727,3.2881,3942206.17
SUIUSDTSWAP,60,20250603,220000,3.288,3.3321,3.2874,3.3148,5814749.09
SUIUSDTSWAP,60,20250603,230000,3.3147,3.3181,3.2512,3.2771,7868398.4
SUIUSDTSWAP,60,20250604,000000,3.2763,3.284,3.211,3.2299,8498587.87
SUIUSDTSWAP,60,20250604,010000,3.23,3.267,3.2251,3.2515,5402081.33
SUIUSDTSWAP,60,20250604,020000,3.2516,3.2586,3.2332,3.249,5178137.23
SUIUSDTSWAP,60,20250604,030000,3.2491,3.2595,3.227,3.2585,5374437.03
SUIUSDTSWAP,60,20250604,040000,3.2584,3.2834,3.2567,3.2703,5253075.18
SUIUSDTSWAP,60,20250604,050000,3.2705,3.2886,3.2604,3.2608,2608612.94
SUIUSDTSWAP,60,20250604,060000,3.2609,3.29,3.2581,3.2722,4637645.46
SUIUSDTSWAP,60,20250604,070000,3.2722,3.284,3.26,3.2614,3412066.92
SUIUSDTSWAP,60,20250604,080000,3.2615,3.2689,3.2448,3.2492,4483632.97
SUIUSDTSWAP,60,20250604,090000,3.2493,3.2598,3.2384,3.2485,3775114.72
SUIUSDTSWAP,60,20250604,100000,3.2486,3.2543,3.2334,3.2421,3139849.87
SUIUSDTSWAP,60,20250604,110000,3.242,3.2646,3.242,3.2482,2984685.7
SUIUSDTSWAP,60,20250604,120000,3.2482,3.2531,3.2309,3.2488,6327578.05
SUIUSDTSWAP,60,20250604,130000,3.2489,3.2557,3.217,3.2199,4841972.12
SUIUSDTSWAP,60,20250604,140000,3.2198,3.2266,3.1856,3.1928,9300846.29
SUIUSDTSWAP,60,20250604,150000,3.1929,3.2013,3.1658,3.1863,9460949.04
SUIUSDTSWAP,60,20250604,160000,3.1862,3.2268,3.1722,3.1948,12777754.87
SUIUSDTSWAP,60,20250604,170000,3.1948,3.2138,3.1666,3.2132,9367022.61
SUIUSDTSWAP,60,20250604,180000,3.2131,3.2312,3.2022,3.2145,7382216.13
SUIUSDTSWAP,60,20250604,190000,3.2145,3.2471,3.205,3.2421,6337534.62
SUIUSDTSWAP,60,20250604,200000,3.2421,3.2456,3.2097,3.2239,5906399.42
SUIUSDTSWAP,60,20250604,210000,3.2239,3.2333,3.1993,3.2045,4096039.1
SUIUSDTSWAP,60,20250604,220000,3.2045,3.23,3.2032,3.2179,4475420.72
