<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWARMSUSDTSWAP,1440,20250225,030000,0.04751,0.06144,0.0444,0.05479,5912958.77
SWARMSUSDTSWAP,1440,20250226,030000,0.05479,0.0685,0.05466,0.0653,7054797.49
SWARMSUSDTSWAP,1440,20250227,030000,0.06531,0.07089,0.05836,0.06092,5167541.68
SWARMSUSDTSWAP,1440,20250228,030000,0.06092,0.07456,0.05198,0.06572,6128660.68
SWARMSUSDTSWAP,1440,20250301,030000,0.06571,0.07157,0.05357,0.05777,4201140.46
SWARMSUSDTSWAP,1440,20250302,030000,0.05777,0.06974,0.05427,0.06684,4381155.02
SWARMSUSDTSWAP,1440,20250303,030000,0.06685,0.07693,0.05974,0.0604,5358013.13
SWARMSUSDTSWAP,1440,20250304,030000,0.06042,0.06349,0.05192,0.05362,3866307.22
SWARMSUSDTSWAP,1440,20250305,030000,0.05363,0.0565,0.0478,0.05148,3139285.36
SWARMSUSDTSWAP,1440,20250306,030000,0.0515,0.0549,0.04702,0.05311,3015685.35
SWARMSUSDTSWAP,1440,20250307,030000,0.05312,0.06064,0.05,0.05581,3880064.24
SWARMSUSDTSWAP,1440,20250308,030000,0.05581,0.05834,0.03831,0.04012,4244109.62
SWARMSUSDTSWAP,1440,20250309,030000,0.04013,0.04234,0.03875,0.04089,2824071.18
SWARMSUSDTSWAP,1440,20250310,030000,0.0409,0.04238,0.03561,0.0393,2931376.91
SWARMSUSDTSWAP,1440,20250311,030000,0.03931,0.04652,0.0378,0.04214,2957280.57
SWARMSUSDTSWAP,1440,20250312,030000,0.04214,0.04665,0.03818,0.04566,2197506.99
SWARMSUSDTSWAP,1440,20250313,030000,0.04567,0.04788,0.04276,0.04339,1873172.91
SWARMSUSDTSWAP,1440,20250314,030000,0.04341,0.05022,0.04223,0.04596,2007957.59
SWARMSUSDTSWAP,1440,20250315,030000,0.04597,0.0466,0.04138,0.04369,1553224.2
SWARMSUSDTSWAP,1440,20250316,030000,0.04367,0.04881,0.04321,0.04433,2072358.41
SWARMSUSDTSWAP,1440,20250317,030000,0.04434,0.04798,0.0432,0.04613,1693664.69
SWARMSUSDTSWAP,1440,20250318,030000,0.0461,0.04662,0.03505,0.03573,2310233.64
SWARMSUSDTSWAP,1440,20250319,030000,0.03574,0.0426,0.03567,0.04164,2004634.98
SWARMSUSDTSWAP,1440,20250320,030000,0.04163,0.04346,0.03922,0.04004,1243313.92
SWARMSUSDTSWAP,1440,20250321,030000,0.04005,0.04219,0.03862,0.04147,1065705.11
SWARMSUSDTSWAP,1440,20250322,030000,0.04148,0.04239,0.04019,0.04039,993631.04
SWARMSUSDTSWAP,1440,20250323,030000,0.04039,0.04239,0.03952,0.04155,836862.75
SWARMSUSDTSWAP,1440,20250324,030000,0.04156,0.04846,0.04113,0.04524,1585250.34
SWARMSUSDTSWAP,1440,20250325,030000,0.04522,0.04563,0.04251,0.04395,938492.35
SWARMSUSDTSWAP,1440,20250326,030000,0.04395,0.04533,0.03734,0.03835,945567.2
SWARMSUSDTSWAP,1440,20250327,030000,0.03836,0.04018,0.03775,0.03857,729624.77
SWARMSUSDTSWAP,1440,20250328,030000,0.03858,0.03896,0.03568,0.03663,647169.93
SWARMSUSDTSWAP,1440,20250329,030000,0.0366,0.03734,0.03372,0.03455,738997.92
SWARMSUSDTSWAP,1440,20250330,030000,0.03456,0.03555,0.03398,0.03452,398368.28
SWARMSUSDTSWAP,1440,20250331,030000,0.03453,0.03508,0.03275,0.0332,541490.48
SWARMSUSDTSWAP,1440,20250401,030000,0.03321,0.03529,0.03156,0.03335,872145.58
SWARMSUSDTSWAP,1440,20250402,030000,0.03335,0.03369,0.02518,0.02709,2628857.07
SWARMSUSDTSWAP,1440,20250403,030000,0.0271,0.02851,0.0244,0.02629,856649.56
SWARMSUSDTSWAP,1440,20250404,030000,0.0263,0.02693,0.02276,0.02475,816935.47
SWARMSUSDTSWAP,1440,20250405,030000,0.02475,0.02555,0.02285,0.02413,472554.13
SWARMSUSDTSWAP,1440,20250406,030000,0.02412,0.02478,0.01907,0.02009,879317.01
SWARMSUSDTSWAP,1440,20250407,030000,0.0201,0.02235,0.01899,0.02102,784755.44
SWARMSUSDTSWAP,1440,20250408,030000,0.02103,0.02276,0.02002,0.02023,657944.43
SWARMSUSDTSWAP,1440,20250409,030000,0.02024,0.02287,0.01906,0.02261,505051.86
SWARMSUSDTSWAP,1440,20250410,030000,0.02261,0.02264,0.01962,0.02148,533287.51
SWARMSUSDTSWAP,1440,20250411,030000,0.02147,0.02373,0.02084,0.02275,613381.71
SWARMSUSDTSWAP,1440,20250412,030000,0.02274,0.02529,0.02194,0.02399,630252.36
SWARMSUSDTSWAP,1440,20250413,030000,0.02399,0.02446,0.01973,0.02035,474313.63
SWARMSUSDTSWAP,1440,20250414,030000,0.02036,0.02225,0.01994,0.02073,519733.93
SWARMSUSDTSWAP,1440,20250415,030000,0.02074,0.02116,0.01934,0.01988,335427.23
SWARMSUSDTSWAP,1440,20250416,030000,0.01989,0.02112,0.01922,0.02043,372791.75
SWARMSUSDTSWAP,1440,20250417,030000,0.02044,0.02108,0.01969,0.02022,490150.3
SWARMSUSDTSWAP,1440,20250418,030000,0.02022,0.02074,0.01953,0.01965,231208.18
SWARMSUSDTSWAP,1440,20250419,030000,0.01963,0.0206,0.0195,0.02043,119744.63
SWARMSUSDTSWAP,1440,20250420,030000,0.02043,0.02283,0.02014,0.02118,347644.28
SWARMSUSDTSWAP,1440,20250421,030000,0.02117,0.02237,0.02033,0.02049,217228.93
SWARMSUSDTSWAP,1440,20250422,030000,0.0205,0.02644,0.02019,0.02615,416998.54
SWARMSUSDTSWAP,1440,20250423,030000,0.02618,0.04084,0.02563,0.03009,4234648.69
SWARMSUSDTSWAP,1440,20250424,030000,0.0301,0.03329,0.02734,0.0302,1155309.43
SWARMSUSDTSWAP,1440,20250425,030000,0.03019,0.03591,0.02915,0.03209,1288770.28
SWARMSUSDTSWAP,1440,20250426,030000,0.03206,0.0361,0.02975,0.03176,945061.03
SWARMSUSDTSWAP,1440,20250427,030000,0.03176,0.03257,0.02716,0.02806,801123.45
SWARMSUSDTSWAP,1440,20250428,030000,0.02807,0.03276,0.02612,0.03109,946784.09
SWARMSUSDTSWAP,1440,20250429,030000,0.03109,0.03344,0.02867,0.02997,1084677.22
SWARMSUSDTSWAP,1440,20250430,030000,0.02999,0.03114,0.02747,0.03039,695692.88
SWARMSUSDTSWAP,1440,20250501,030000,0.0304,0.036,0.02979,0.03459,1153368.4
SWARMSUSDTSWAP,1440,20250502,030000,0.0346,0.03825,0.0313,0.03343,851779.62
SWARMSUSDTSWAP,1440,20250503,030000,0.03344,0.03433,0.029,0.02937,671520.21
SWARMSUSDTSWAP,1440,20250504,030000,0.02939,0.02994,0.02738,0.02801,385079.1
SWARMSUSDTSWAP,1440,20250505,030000,0.02802,0.02981,0.02558,0.02635,436700.08
SWARMSUSDTSWAP,1440,20250506,030000,0.02636,0.02707,0.0198,0.0227,903405.52
SWARMSUSDTSWAP,1440,20250507,030000,0.02271,0.02486,0.02218,0.02367,509153.91
SWARMSUSDTSWAP,1440,20250508,030000,0.02364,0.03035,0.02329,0.03005,550566.1
SWARMSUSDTSWAP,1440,20250509,030000,0.03006,0.03911,0.02921,0.03761,1185016.0
SWARMSUSDTSWAP,1440,20250510,030000,0.0376,0.04296,0.03249,0.03622,1005897.57
SWARMSUSDTSWAP,1440,20250511,030000,0.03621,0.04011,0.0309,0.03977,992754.83
SWARMSUSDTSWAP,1440,20250512,030000,0.03979,0.04703,0.0375,0.04073,1982704.66
SWARMSUSDTSWAP,1440,20250513,030000,0.04073,0.04539,0.03419,0.04379,930649.14
SWARMSUSDTSWAP,1440,20250514,030000,0.0438,0.04523,0.03761,0.03817,1307725.87
SWARMSUSDTSWAP,1440,20250515,030000,0.03818,0.03903,0.03102,0.03232,773971.9
SWARMSUSDTSWAP,1440,20250516,030000,0.03233,0.03329,0.02902,0.02942,487658.25
SWARMSUSDTSWAP,1440,20250517,030000,0.02941,0.02963,0.02745,0.02793,352358.74
SWARMSUSDTSWAP,1440,20250518,030000,0.02794,0.03402,0.02783,0.03295,449348.93
SWARMSUSDTSWAP,1440,20250519,030000,0.03296,0.03307,0.02761,0.02998,439627.73
SWARMSUSDTSWAP,1440,20250520,030000,0.02998,0.03193,0.02884,0.03108,328543.35
SWARMSUSDTSWAP,1440,20250521,030000,0.03108,0.03433,0.02974,0.03321,444195.08
SWARMSUSDTSWAP,1440,20250522,030000,0.03321,0.03757,0.03309,0.03681,405599.87
SWARMSUSDTSWAP,1440,20250523,030000,0.03681,0.03937,0.02991,0.03021,939163.38
SWARMSUSDTSWAP,1440,20250524,030000,0.03022,0.03161,0.02927,0.02997,332698.11
SWARMSUSDTSWAP,1440,20250525,030000,0.02997,0.03018,0.0265,0.0295,358757.89
SWARMSUSDTSWAP,1440,20250526,030000,0.0295,0.03232,0.02856,0.02915,426907.89
SWARMSUSDTSWAP,1440,20250527,030000,0.02914,0.03147,0.02796,0.03045,243970.1
SWARMSUSDTSWAP,1440,20250528,030000,0.03044,0.03118,0.02749,0.02979,274340.26
SWARMSUSDTSWAP,1440,20250529,030000,0.02979,0.0309,0.02697,0.02756,326414.84
SWARMSUSDTSWAP,1440,20250530,030000,0.02755,0.02782,0.02197,0.02238,503019.2
SWARMSUSDTSWAP,1440,20250531,030000,0.02238,0.02314,0.02128,0.0229,193581.74
SWARMSUSDTSWAP,1440,20250601,030000,0.0229,0.02393,0.02151,0.02386,191399.87
SWARMSUSDTSWAP,1440,20250602,030000,0.02386,0.02413,0.0223,0.02369,222901.43
SWARMSUSDTSWAP,1440,20250603,030000,0.0237,0.02483,0.02334,0.02343,226380.86
SWARMSUSDTSWAP,1440,20250604,030000,0.02342,0.02411,0.02254,0.02292,146132.79
