<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWARMSUSDTSWAP,60,20250531,190000,0.02256,0.02314,0.02245,0.02296,5536.68
SWARMSUSDTSWAP,60,20250531,200000,0.02296,0.02302,0.02258,0.0226,3396.43
SWARMSUSDTSWAP,60,20250531,210000,0.02259,0.02303,0.02248,0.02297,2370.62
SWARMSUSDTSWAP,60,20250531,220000,0.02297,0.02314,0.02287,0.02292,3099.46
SWARMSUSDTSWAP,60,20250531,230000,0.02291,0.02306,0.02288,0.02293,1278.81
SWARMSUSDTSWAP,60,20250601,000000,0.02295,0.02314,0.02291,0.02304,5668.01
SWARMSUSDTSWAP,60,20250601,010000,0.02305,0.02306,0.02276,0.02283,3528.01
SWARMSUSDTSWAP,60,20250601,020000,0.02282,0.02306,0.02271,0.0229,5456.28
SWARMSUSDTSWAP,60,20250601,030000,0.0229,0.02312,0.02272,0.02292,9389.46
SWARMSUSDTSWAP,60,20250601,040000,0.02291,0.02306,0.02251,0.02259,9192.13
SWARMSUSDTSWAP,60,20250601,050000,0.02258,0.02292,0.02231,0.02275,8237.18
SWARMSUSDTSWAP,60,20250601,060000,0.02276,0.02277,0.02248,0.02261,4590.78
SWARMSUSDTSWAP,60,20250601,070000,0.0226,0.02287,0.02248,0.02274,6450.49
SWARMSUSDTSWAP,60,20250601,080000,0.02276,0.0229,0.02267,0.02277,5271.19
SWARMSUSDTSWAP,60,20250601,090000,0.02278,0.02279,0.02253,0.02254,4411.71
SWARMSUSDTSWAP,60,20250601,100000,0.02254,0.02262,0.02238,0.02255,3984.37
SWARMSUSDTSWAP,60,20250601,110000,0.02254,0.02261,0.02234,0.02244,2545.46
SWARMSUSDTSWAP,60,20250601,120000,0.02245,0.02253,0.02151,0.02181,22494.45
SWARMSUSDTSWAP,60,20250601,130000,0.0218,0.02214,0.02179,0.02208,7092.7
SWARMSUSDTSWAP,60,20250601,140000,0.02206,0.02238,0.02181,0.02234,7653.34
SWARMSUSDTSWAP,60,20250601,150000,0.02234,0.02237,0.02188,0.02205,7200.25
SWARMSUSDTSWAP,60,20250601,160000,0.02202,0.0225,0.02198,0.02233,5889.87
SWARMSUSDTSWAP,60,20250601,170000,0.02233,0.02293,0.02233,0.02269,9020.18
SWARMSUSDTSWAP,60,20250601,180000,0.02268,0.02288,0.02262,0.02274,3605.6
SWARMSUSDTSWAP,60,20250601,190000,0.02273,0.02311,0.02264,0.02285,8544.55
SWARMSUSDTSWAP,60,20250601,200000,0.02284,0.02319,0.02274,0.02281,11897.72
SWARMSUSDTSWAP,60,20250601,210000,0.02281,0.02281,0.02227,0.02264,14176.62
SWARMSUSDTSWAP,60,20250601,220000,0.02266,0.02288,0.0226,0.02286,4022.78
SWARMSUSDTSWAP,60,20250601,230000,0.02286,0.0233,0.02274,0.02313,7973.77
SWARMSUSDTSWAP,60,20250602,000000,0.02315,0.02358,0.0231,0.0235,3980.69
SWARMSUSDTSWAP,60,20250602,010000,0.02352,0.02393,0.02348,0.02354,13319.78
SWARMSUSDTSWAP,60,20250602,020000,0.02354,0.02388,0.02354,0.02386,8710.2
SWARMSUSDTSWAP,60,20250602,030000,0.02386,0.02409,0.0234,0.02359,16296.02
SWARMSUSDTSWAP,60,20250602,040000,0.02359,0.02395,0.02334,0.02342,11376.68
SWARMSUSDTSWAP,60,20250602,050000,0.02342,0.02347,0.02312,0.02323,10070.74
SWARMSUSDTSWAP,60,20250602,060000,0.02323,0.02326,0.02288,0.02301,10725.5
SWARMSUSDTSWAP,60,20250602,070000,0.02301,0.02313,0.02274,0.02276,7173.76
SWARMSUSDTSWAP,60,20250602,080000,0.02278,0.02309,0.0227,0.02297,5911.07
SWARMSUSDTSWAP,60,20250602,090000,0.02296,0.02346,0.0228,0.02326,7608.62
SWARMSUSDTSWAP,60,20250602,100000,0.02323,0.02355,0.02321,0.02342,4693.71
SWARMSUSDTSWAP,60,20250602,110000,0.02341,0.02375,0.02301,0.02321,14511.32
SWARMSUSDTSWAP,60,20250602,120000,0.02321,0.02321,0.02254,0.02268,17270.79
SWARMSUSDTSWAP,60,20250602,130000,0.02267,0.02293,0.02256,0.02284,9331.2
SWARMSUSDTSWAP,60,20250602,140000,0.02283,0.02284,0.02248,0.02267,4928.56
SWARMSUSDTSWAP,60,20250602,150000,0.02268,0.02297,0.02252,0.02297,9066.85
SWARMSUSDTSWAP,60,20250602,160000,0.02295,0.0232,0.02261,0.02265,11755.06
SWARMSUSDTSWAP,60,20250602,170000,0.02266,0.02318,0.02255,0.02284,11423.72
SWARMSUSDTSWAP,60,20250602,180000,0.02284,0.02311,0.02263,0.02286,6283.1
SWARMSUSDTSWAP,60,20250602,190000,0.02286,0.02293,0.02254,0.02287,4857.96
SWARMSUSDTSWAP,60,20250602,200000,0.02288,0.02298,0.02266,0.02292,3908.7
SWARMSUSDTSWAP,60,20250602,210000,0.02292,0.02326,0.0227,0.02274,5760.64
SWARMSUSDTSWAP,60,20250602,220000,0.02275,0.02292,0.0223,0.02259,5960.23
SWARMSUSDTSWAP,60,20250602,230000,0.02259,0.02345,0.02259,0.02343,10822.48
SWARMSUSDTSWAP,60,20250603,000000,0.02343,0.02385,0.02341,0.02373,8665.68
SWARMSUSDTSWAP,60,20250603,010000,0.02373,0.02413,0.02372,0.02382,11587.74
SWARMSUSDTSWAP,60,20250603,020000,0.02383,0.02398,0.02366,0.02369,6286.16
SWARMSUSDTSWAP,60,20250603,030000,0.0237,0.02416,0.0236,0.02404,9357.33
SWARMSUSDTSWAP,60,20250603,040000,0.02402,0.02473,0.024,0.02469,16893.15
SWARMSUSDTSWAP,60,20250603,050000,0.02471,0.02475,0.02407,0.02413,14199.3
SWARMSUSDTSWAP,60,20250603,060000,0.02411,0.02423,0.02382,0.02414,9078.69
SWARMSUSDTSWAP,60,20250603,070000,0.02415,0.02418,0.02361,0.02369,27061.77
SWARMSUSDTSWAP,60,20250603,080000,0.02371,0.02407,0.02371,0.02404,7432.52
SWARMSUSDTSWAP,60,20250603,090000,0.02403,0.02414,0.02382,0.02411,7386.85
SWARMSUSDTSWAP,60,20250603,100000,0.02412,0.02414,0.02388,0.02397,5775.05
SWARMSUSDTSWAP,60,20250603,110000,0.02398,0.0241,0.02358,0.02391,6094.25
SWARMSUSDTSWAP,60,20250603,120000,0.0239,0.02439,0.02386,0.02423,8527.11
SWARMSUSDTSWAP,60,20250603,130000,0.02425,0.0244,0.02418,0.02429,7680.34
SWARMSUSDTSWAP,60,20250603,140000,0.0243,0.02444,0.02416,0.02428,4627.16
SWARMSUSDTSWAP,60,20250603,150000,0.02428,0.02443,0.02414,0.02432,5591.27
SWARMSUSDTSWAP,60,20250603,160000,0.02432,0.02471,0.02414,0.02425,9938.17
SWARMSUSDTSWAP,60,20250603,170000,0.02425,0.02465,0.02395,0.02463,13387.7
SWARMSUSDTSWAP,60,20250603,180000,0.02463,0.02482,0.0244,0.02466,11696.25
SWARMSUSDTSWAP,60,20250603,190000,0.02467,0.02479,0.02416,0.0242,16902.4
SWARMSUSDTSWAP,60,20250603,200000,0.02419,0.02456,0.02416,0.02445,5723.55
SWARMSUSDTSWAP,60,20250603,210000,0.02445,0.02447,0.02405,0.02417,5621.79
SWARMSUSDTSWAP,60,20250603,220000,0.02416,0.02483,0.02415,0.02456,13322.09
SWARMSUSDTSWAP,60,20250603,230000,0.02456,0.02458,0.02373,0.02404,8913.24
SWARMSUSDTSWAP,60,20250604,000000,0.02403,0.02414,0.02341,0.02353,7384.97
SWARMSUSDTSWAP,60,20250604,010000,0.02353,0.02381,0.02348,0.02363,4600.84
SWARMSUSDTSWAP,60,20250604,020000,0.02365,0.02369,0.02334,0.02343,3995.9
SWARMSUSDTSWAP,60,20250604,030000,0.02342,0.02373,0.02324,0.02367,8260.8
SWARMSUSDTSWAP,60,20250604,040000,0.02368,0.02411,0.02365,0.02382,5326.34
SWARMSUSDTSWAP,60,20250604,050000,0.02383,0.024,0.02361,0.02365,4941.1
SWARMSUSDTSWAP,60,20250604,060000,0.02366,0.02403,0.02363,0.0237,5239.13
SWARMSUSDTSWAP,60,20250604,070000,0.0237,0.02377,0.02357,0.02365,4204.21
SWARMSUSDTSWAP,60,20250604,080000,0.02366,0.02381,0.02346,0.0236,3591.35
SWARMSUSDTSWAP,60,20250604,090000,0.0236,0.02373,0.02337,0.02347,4302.73
SWARMSUSDTSWAP,60,20250604,100000,0.02347,0.02363,0.02313,0.02333,6850.47
