<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWARMSUSDTSWAP,3,20250604,172700,0.02275,0.0228,0.02274,0.02279,910.84
SWARMSUSDTSWAP,3,20250604,173000,0.02279,0.02283,0.02276,0.02279,1226.95
SWARMSUSDTSWAP,3,20250604,173300,0.0228,0.02287,0.02277,0.02282,367.56
SWARMSUSDTSWAP,3,20250604,173600,0.0228,0.0228,0.02275,0.02276,120.77
SWARMSUSDTSWAP,3,20250604,173900,0.02275,0.02276,0.02271,0.02273,164.53
SWARMSUSDTSWAP,3,20250604,174200,0.02275,0.02275,0.02267,0.02274,151.26
SWARMSUSDTSWAP,3,20250604,174500,0.02273,0.02281,0.02267,0.0228,921.63
SWARMSUSDTSWAP,3,20250604,174800,0.0228,0.02291,0.0228,0.02285,521.41
SWARMSUSDTSWAP,3,20250604,175100,0.02281,0.02283,0.0227,0.02277,4444.25
SWARMSUSDTSWAP,3,20250604,175400,0.02278,0.02291,0.02277,0.02289,3045.89
SWARMSUSDTSWAP,3,20250604,175700,0.0229,0.023,0.02289,0.023,1046.23
SWARMSUSDTSWAP,3,20250604,180000,0.02299,0.02304,0.02289,0.02289,1579.02
SWARMSUSDTSWAP,3,20250604,180300,0.02289,0.02293,0.02287,0.02289,126.56
SWARMSUSDTSWAP,3,20250604,180600,0.02291,0.02311,0.02291,0.02293,647.78
SWARMSUSDTSWAP,3,20250604,180900,0.02296,0.02304,0.02296,0.02304,174.79
SWARMSUSDTSWAP,3,20250604,181200,0.02302,0.02313,0.02299,0.02304,1588.26
SWARMSUSDTSWAP,3,20250604,181500,0.02305,0.02322,0.02305,0.02316,1508.58
SWARMSUSDTSWAP,3,20250604,181800,0.02317,0.02326,0.02314,0.02316,761.74
SWARMSUSDTSWAP,3,20250604,182100,0.02313,0.02329,0.0231,0.02323,2296.39
SWARMSUSDTSWAP,3,20250604,182400,0.02325,0.02327,0.02321,0.02322,310.81
SWARMSUSDTSWAP,3,20250604,182700,0.02322,0.02326,0.02316,0.02318,388.17
SWARMSUSDTSWAP,3,20250604,183000,0.02317,0.0233,0.02314,0.02327,516.9
SWARMSUSDTSWAP,3,20250604,183300,0.02328,0.02332,0.02305,0.02313,2160.55
SWARMSUSDTSWAP,3,20250604,183600,0.02316,0.02333,0.02315,0.02332,1162.98
SWARMSUSDTSWAP,3,20250604,183900,0.02332,0.02338,0.0233,0.02334,406.65
SWARMSUSDTSWAP,3,20250604,184200,0.02337,0.02343,0.02328,0.02333,251.32
SWARMSUSDTSWAP,3,20250604,184500,0.02332,0.02333,0.02321,0.02323,158.69
SWARMSUSDTSWAP,3,20250604,184800,0.02323,0.02327,0.02317,0.0232,461.67
SWARMSUSDTSWAP,3,20250604,185100,0.02319,0.02329,0.02317,0.02323,104.03
SWARMSUSDTSWAP,3,20250604,185400,0.02322,0.0233,0.02321,0.0233,111.97
SWARMSUSDTSWAP,3,20250604,185700,0.02329,0.0233,0.02321,0.02326,651.42
SWARMSUSDTSWAP,3,20250604,190000,0.02327,0.02327,0.02318,0.0232,181.13
SWARMSUSDTSWAP,3,20250604,190300,0.02321,0.02322,0.02318,0.02319,32.15
SWARMSUSDTSWAP,3,20250604,190600,0.02317,0.02318,0.02308,0.02308,275.58
SWARMSUSDTSWAP,3,20250604,190900,0.02308,0.02315,0.02308,0.02315,123.64
SWARMSUSDTSWAP,3,20250604,191200,0.02315,0.02316,0.02306,0.02306,211.08
SWARMSUSDTSWAP,3,20250604,191500,0.02305,0.02318,0.02304,0.02308,1516.14
SWARMSUSDTSWAP,3,20250604,191800,0.02307,0.02313,0.02298,0.02311,458.17
SWARMSUSDTSWAP,3,20250604,192100,0.02313,0.02313,0.02307,0.02308,379.49
SWARMSUSDTSWAP,3,20250604,192400,0.02308,0.02308,0.02302,0.02302,297.32
SWARMSUSDTSWAP,3,20250604,192700,0.02303,0.02306,0.023,0.023,223.87
SWARMSUSDTSWAP,3,20250604,193000,0.02299,0.02305,0.02293,0.02304,1066.32
SWARMSUSDTSWAP,3,20250604,193300,0.02306,0.0231,0.02303,0.02308,59.45
SWARMSUSDTSWAP,3,20250604,193600,0.02311,0.02317,0.02308,0.02316,303.78
SWARMSUSDTSWAP,3,20250604,193900,0.02318,0.02328,0.02318,0.02321,95.32
SWARMSUSDTSWAP,3,20250604,194200,0.02319,0.02319,0.02312,0.02317,13.94
SWARMSUSDTSWAP,3,20250604,194500,0.02316,0.02322,0.02314,0.02318,155.84
SWARMSUSDTSWAP,3,20250604,194800,0.0232,0.02325,0.02317,0.02324,80.11
SWARMSUSDTSWAP,3,20250604,195100,0.02324,0.02324,0.02318,0.02322,248.27
SWARMSUSDTSWAP,3,20250604,195400,0.0232,0.02329,0.0232,0.02322,120.06
SWARMSUSDTSWAP,3,20250604,195700,0.0232,0.0232,0.02313,0.02319,272.02
SWARMSUSDTSWAP,3,20250604,200000,0.0232,0.0232,0.02306,0.02313,412.43
SWARMSUSDTSWAP,3,20250604,200300,0.02309,0.02314,0.02305,0.02309,276.6
SWARMSUSDTSWAP,3,20250604,200600,0.02309,0.02309,0.02303,0.02307,125.75
SWARMSUSDTSWAP,3,20250604,200900,0.02306,0.02306,0.02295,0.02295,640.35
SWARMSUSDTSWAP,3,20250604,201200,0.02297,0.02302,0.02295,0.02301,204.64
SWARMSUSDTSWAP,3,20250604,201500,0.02299,0.02302,0.02293,0.02296,376.07
SWARMSUSDTSWAP,3,20250604,201800,0.02296,0.02305,0.02295,0.02305,102.13
SWARMSUSDTSWAP,3,20250604,202100,0.02305,0.02307,0.02301,0.02305,30.2
SWARMSUSDTSWAP,3,20250604,202400,0.02301,0.02303,0.02291,0.02292,168.92
SWARMSUSDTSWAP,3,20250604,202700,0.02293,0.02299,0.02285,0.02285,196.17
SWARMSUSDTSWAP,3,20250604,203000,0.02285,0.02285,0.02268,0.02272,1045.14
SWARMSUSDTSWAP,3,20250604,203300,0.02272,0.02277,0.02266,0.02274,172.6
SWARMSUSDTSWAP,3,20250604,203600,0.02273,0.02273,0.02264,0.02272,279.81
SWARMSUSDTSWAP,3,20250604,203900,0.02271,0.02275,0.02266,0.02273,187.68
SWARMSUSDTSWAP,3,20250604,204200,0.02273,0.02273,0.02266,0.02267,138.24
SWARMSUSDTSWAP,3,20250604,204500,0.02266,0.02273,0.02263,0.0227,850.36
SWARMSUSDTSWAP,3,20250604,204800,0.02271,0.02281,0.02268,0.02272,205.55
SWARMSUSDTSWAP,3,20250604,205100,0.02271,0.02281,0.0227,0.02281,275.88
SWARMSUSDTSWAP,3,20250604,205400,0.0228,0.02286,0.02279,0.02282,94.28
SWARMSUSDTSWAP,3,20250604,205700,0.02282,0.02284,0.0228,0.02284,11.68
SWARMSUSDTSWAP,3,20250604,210000,0.02286,0.02293,0.02286,0.0229,230.61
SWARMSUSDTSWAP,3,20250604,210300,0.0229,0.02295,0.0229,0.02293,47.45
SWARMSUSDTSWAP,3,20250604,210600,0.02292,0.02292,0.02279,0.02283,643.57
SWARMSUSDTSWAP,3,20250604,210900,0.02283,0.02297,0.02282,0.02296,365.37
SWARMSUSDTSWAP,3,20250604,211200,0.02296,0.02298,0.02295,0.02298,48.93
SWARMSUSDTSWAP,3,20250604,211500,0.02297,0.02299,0.02295,0.02297,59.15
SWARMSUSDTSWAP,3,20250604,211800,0.02295,0.02299,0.02291,0.02297,109.06
SWARMSUSDTSWAP,3,20250604,212100,0.02297,0.02299,0.02297,0.02299,20.88
SWARMSUSDTSWAP,3,20250604,212400,0.02299,0.02302,0.02299,0.02301,68.3
SWARMSUSDTSWAP,3,20250604,212700,0.02301,0.02305,0.02301,0.02303,62.1
SWARMSUSDTSWAP,3,20250604,213000,0.02303,0.02305,0.02295,0.02298,110.36
SWARMSUSDTSWAP,3,20250604,213300,0.023,0.023,0.02293,0.02297,45.49
SWARMSUSDTSWAP,3,20250604,213600,0.02297,0.02298,0.02295,0.02295,18.56
SWARMSUSDTSWAP,3,20250604,213900,0.02295,0.02295,0.0229,0.02292,139.19
SWARMSUSDTSWAP,3,20250604,214200,0.02292,0.02299,0.02292,0.02298,15.36
SWARMSUSDTSWAP,3,20250604,214500,0.02298,0.02299,0.02291,0.02294,122.92
SWARMSUSDTSWAP,3,20250604,214800,0.02297,0.02298,0.02287,0.02287,123.79
SWARMSUSDTSWAP,3,20250604,215100,0.0229,0.0229,0.02285,0.02287,68.97
SWARMSUSDTSWAP,3,20250604,215400,0.02288,0.02288,0.02281,0.02284,81.93
SWARMSUSDTSWAP,3,20250604,215700,0.02284,0.02286,0.0228,0.02286,134.09
SWARMSUSDTSWAP,3,20250604,220000,0.02283,0.02286,0.02283,0.02283,137.73
SWARMSUSDTSWAP,3,20250604,220300,0.02284,0.02294,0.02282,0.02292,95.22
SWARMSUSDTSWAP,3,20250604,220600,0.02293,0.02293,0.02284,0.02285,57.78
SWARMSUSDTSWAP,3,20250604,220900,0.02287,0.02287,0.02281,0.02285,122.88
SWARMSUSDTSWAP,3,20250604,221200,0.02287,0.02288,0.02284,0.02287,25.73
SWARMSUSDTSWAP,3,20250604,221500,0.02286,0.02286,0.02279,0.02286,46.2
SWARMSUSDTSWAP,3,20250604,221800,0.02287,0.02294,0.02287,0.02292,63.99
SWARMSUSDTSWAP,3,20250604,222100,0.02291,0.02296,0.02291,0.02296,62.59
SWARMSUSDTSWAP,3,20250604,222400,0.02295,0.02295,0.02292,0.02292,15.35
