<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWEATUSDTSWAP,1440,20250225,030000,0.006264,0.00658,0.006103,0.006391,103776.35
SWEATUSDTSWAP,1440,20250226,030000,0.00639,0.006481,0.006131,0.006321,56543.78
SWEATUSDTSWAP,1440,20250227,030000,0.006329,0.006557,0.006177,0.0064,39534.95
SWEATUSDTSWAP,1440,20250228,030000,0.0064,0.006653,0.005952,0.006416,97242.63
SWEATUSDTSWAP,1440,20250301,030000,0.006417,0.006511,0.006106,0.006302,44347.7
SWEATUSDTSWAP,1440,20250302,030000,0.006304,0.006597,0.006217,0.006516,54547.12
SWEATUSDTSWAP,1440,20250303,030000,0.006515,0.00658,0.005929,0.006009,56367.06
SWEATUSDTSWAP,1440,20250304,030000,0.00601,0.006321,0.005638,0.006204,49662.97
SWEATUSDTSWAP,1440,20250305,030000,0.006204,0.006345,0.006138,0.006242,25587.96
SWEATUSDTSWAP,1440,20250306,030000,0.006242,0.006352,0.006073,0.006096,23946.94
SWEATUSDTSWAP,1440,20250307,030000,0.006097,0.006146,0.005839,0.005875,22670.07
SWEATUSDTSWAP,1440,20250308,030000,0.005876,0.005962,0.005718,0.005778,10483.41
SWEATUSDTSWAP,1440,20250309,030000,0.005779,0.005827,0.005276,0.005415,14418.75
SWEATUSDTSWAP,1440,20250310,030000,0.005416,0.005645,0.004852,0.004988,17190.03
SWEATUSDTSWAP,1440,20250311,030000,0.004989,0.005074,0.00456,0.005027,25601.98
SWEATUSDTSWAP,1440,20250312,030000,0.005028,0.005134,0.004853,0.005042,18179.84
SWEATUSDTSWAP,1440,20250313,030000,0.005035,0.005241,0.00492,0.005035,13815.93
SWEATUSDTSWAP,1440,20250314,030000,0.00504,0.005311,0.005001,0.005251,10094.62
SWEATUSDTSWAP,1440,20250315,030000,0.005248,0.005308,0.005183,0.00524,6085.54
SWEATUSDTSWAP,1440,20250316,030000,0.005238,0.005249,0.005017,0.005045,7004.5
SWEATUSDTSWAP,1440,20250317,030000,0.005051,0.00531,0.005048,0.005262,5976.88
SWEATUSDTSWAP,1440,20250318,030000,0.005261,0.005297,0.004613,0.004781,19863.77
