<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWEATUSDTSWAP,60,20250531,190000,0.003444,0.003489,0.003439,0.003465,290.78
SWEATUSDTSWAP,60,20250531,200000,0.003465,0.003472,0.003442,0.00345,128.67
SWEATUSDTSWAP,60,20250531,210000,0.003447,0.003482,0.003447,0.003467,272.72
SWEATUSDTSWAP,60,20250531,220000,0.003469,0.003485,0.003465,0.003476,126.07
SWEATUSDTSWAP,60,20250531,230000,0.003475,0.003497,0.003465,0.003497,65.91
SWEATUSDTSWAP,60,20250601,000000,0.003495,0.003509,0.003487,0.003494,162.26
SWEATUSDTSWAP,60,20250601,010000,0.003495,0.003495,0.003473,0.003474,55.15
SWEATUSDTSWAP,60,20250601,020000,0.003474,0.003506,0.003468,0.003482,304.03
SWEATUSDTSWAP,60,20250601,030000,0.003483,0.0035,0.003471,0.003491,249.09
SWEATUSDTSWAP,60,20250601,040000,0.00349,0.003503,0.003468,0.003477,113.02
SWEATUSDTSWAP,60,20250601,050000,0.003477,0.003497,0.003463,0.003489,122.17
SWEATUSDTSWAP,60,20250601,060000,0.003489,0.00351,0.003478,0.003501,128.42
SWEATUSDTSWAP,60,20250601,070000,0.003498,0.00353,0.003486,0.003514,73.91
SWEATUSDTSWAP,60,20250601,080000,0.003515,0.003526,0.00351,0.003517,87.76
SWEATUSDTSWAP,60,20250601,090000,0.003518,0.003519,0.003497,0.003499,90.17
SWEATUSDTSWAP,60,20250601,100000,0.0035,0.003506,0.003483,0.0035,65.11
SWEATUSDTSWAP,60,20250601,110000,0.003499,0.003502,0.003471,0.003479,111.18
SWEATUSDTSWAP,60,20250601,120000,0.00348,0.003489,0.003417,0.003441,452.29
SWEATUSDTSWAP,60,20250601,130000,0.00344,0.003452,0.003428,0.003449,103.95
SWEATUSDTSWAP,60,20250601,140000,0.003448,0.003478,0.003439,0.003467,256.14
SWEATUSDTSWAP,60,20250601,150000,0.003468,0.00347,0.003432,0.00345,122.18
SWEATUSDTSWAP,60,20250601,160000,0.003449,0.003486,0.003448,0.003477,157.45
SWEATUSDTSWAP,60,20250601,170000,0.003478,0.003522,0.003478,0.003502,252.55
SWEATUSDTSWAP,60,20250601,180000,0.003503,0.003509,0.003477,0.003488,219.16
SWEATUSDTSWAP,60,20250601,190000,0.003487,0.003517,0.003485,0.00349,382.39
SWEATUSDTSWAP,60,20250601,200000,0.003491,0.003504,0.003488,0.003493,94.2
SWEATUSDTSWAP,60,20250601,210000,0.003492,0.003492,0.003457,0.00348,200.18
SWEATUSDTSWAP,60,20250601,220000,0.003481,0.003501,0.003481,0.003495,107.52
SWEATUSDTSWAP,60,20250601,230000,0.003494,0.003504,0.003487,0.003489,37.18
SWEATUSDTSWAP,60,20250602,000000,0.00349,0.00352,0.003486,0.00352,153.25
SWEATUSDTSWAP,60,20250602,010000,0.00352,0.003527,0.003509,0.00352,118.83
SWEATUSDTSWAP,60,20250602,020000,0.003519,0.003531,0.003511,0.003518,35.4
SWEATUSDTSWAP,60,20250602,030000,0.003516,0.00352,0.003508,0.003514,238.87
SWEATUSDTSWAP,60,20250602,040000,0.003514,0.003527,0.003504,0.003506,92.94
SWEATUSDTSWAP,60,20250602,050000,0.003505,0.003517,0.003488,0.003495,365.85
SWEATUSDTSWAP,60,20250602,060000,0.003496,0.003499,0.003474,0.003478,137.7
SWEATUSDTSWAP,60,20250602,070000,0.003476,0.003487,0.003461,0.003467,201.16
SWEATUSDTSWAP,60,20250602,080000,0.003467,0.003485,0.003462,0.003477,131.58
SWEATUSDTSWAP,60,20250602,090000,0.003478,0.003524,0.003467,0.003509,290.53
SWEATUSDTSWAP,60,20250602,100000,0.003506,0.003525,0.003487,0.003497,219.1
SWEATUSDTSWAP,60,20250602,110000,0.003503,0.003507,0.003472,0.003478,195.45
SWEATUSDTSWAP,60,20250602,120000,0.003479,0.003479,0.003444,0.003455,189.74
SWEATUSDTSWAP,60,20250602,130000,0.003453,0.003469,0.00344,0.003447,133.18
SWEATUSDTSWAP,60,20250602,140000,0.003449,0.003459,0.003436,0.003457,98.08
SWEATUSDTSWAP,60,20250602,150000,0.003457,0.003474,0.003439,0.003468,105.52
SWEATUSDTSWAP,60,20250602,160000,0.003468,0.003488,0.003452,0.003458,266.22
SWEATUSDTSWAP,60,20250602,170000,0.003461,0.003482,0.003452,0.003468,340.89
SWEATUSDTSWAP,60,20250602,180000,0.003467,0.00349,0.003459,0.003484,211.99
SWEATUSDTSWAP,60,20250602,190000,0.003484,0.003487,0.003463,0.003475,125.94
SWEATUSDTSWAP,60,20250602,200000,0.003479,0.003482,0.003467,0.003477,96.73
SWEATUSDTSWAP,60,20250602,210000,0.003481,0.003496,0.003473,0.003474,83.82
SWEATUSDTSWAP,60,20250602,220000,0.003475,0.003484,0.003436,0.00346,195.54
SWEATUSDTSWAP,60,20250602,230000,0.003457,0.003506,0.003457,0.003502,163.56
SWEATUSDTSWAP,60,20250603,000000,0.003503,0.003526,0.003503,0.003518,90.45
SWEATUSDTSWAP,60,20250603,010000,0.003519,0.003548,0.003519,0.00354,162.85
SWEATUSDTSWAP,60,20250603,020000,0.00354,0.003558,0.003532,0.003543,261.05
SWEATUSDTSWAP,60,20250603,030000,0.003543,0.003562,0.003531,0.003542,336.65
SWEATUSDTSWAP,60,20250603,040000,0.003546,0.00358,0.003543,0.003577,240.47
SWEATUSDTSWAP,60,20250603,050000,0.00358,0.003586,0.003525,0.003532,229.2
SWEATUSDTSWAP,60,20250603,060000,0.003533,0.003534,0.003512,0.003518,79.22
SWEATUSDTSWAP,60,20250603,070000,0.00352,0.003524,0.003506,0.003517,95.74
SWEATUSDTSWAP,60,20250603,080000,0.003517,0.003545,0.003517,0.003542,116.68
SWEATUSDTSWAP,60,20250603,090000,0.003543,0.003557,0.003536,0.003556,116.58
SWEATUSDTSWAP,60,20250603,100000,0.003556,0.003556,0.003522,0.003529,610.61
SWEATUSDTSWAP,60,20250603,110000,0.003526,0.003536,0.0034,0.003454,2187.54
SWEATUSDTSWAP,60,20250603,120000,0.003458,0.003475,0.003418,0.003462,1165.53
SWEATUSDTSWAP,60,20250603,130000,0.00346,0.003471,0.003434,0.003453,1651.5
SWEATUSDTSWAP,60,20250603,140000,0.003453,0.003474,0.003407,0.003437,681.56
SWEATUSDTSWAP,60,20250603,150000,0.003444,0.003461,0.003431,0.003455,513.53
SWEATUSDTSWAP,60,20250603,160000,0.003454,0.00351,0.00345,0.003471,795.14
SWEATUSDTSWAP,60,20250603,170000,0.003472,0.00351,0.003466,0.00351,360.91
SWEATUSDTSWAP,60,20250603,180000,0.003509,0.00352,0.003473,0.003489,626.76
SWEATUSDTSWAP,60,20250603,190000,0.003491,0.003523,0.003479,0.003492,445.99
SWEATUSDTSWAP,60,20250603,200000,0.003493,0.003517,0.003484,0.003493,197.77
SWEATUSDTSWAP,60,20250603,210000,0.003499,0.003506,0.003482,0.003501,83.93
SWEATUSDTSWAP,60,20250603,220000,0.003502,0.003529,0.003466,0.003495,1647.53
SWEATUSDTSWAP,60,20250603,230000,0.003495,0.003499,0.003438,0.003454,782.24
SWEATUSDTSWAP,60,20250604,000000,0.003453,0.003462,0.003362,0.003379,349.98
SWEATUSDTSWAP,60,20250604,010000,0.003379,0.003432,0.003377,0.003418,357.99
SWEATUSDTSWAP,60,20250604,020000,0.003417,0.003431,0.003394,0.003402,466.3
SWEATUSDTSWAP,60,20250604,030000,0.003401,0.003404,0.00333,0.003378,706.23
SWEATUSDTSWAP,60,20250604,040000,0.003379,0.003409,0.003366,0.003384,276.44
SWEATUSDTSWAP,60,20250604,050000,0.003386,0.003406,0.003365,0.003387,444.1
SWEATUSDTSWAP,60,20250604,060000,0.003386,0.003495,0.003376,0.003471,1284.35
SWEATUSDTSWAP,60,20250604,070000,0.003463,0.003468,0.003407,0.003426,756.01
SWEATUSDTSWAP,60,20250604,080000,0.003428,0.003442,0.003393,0.00342,449.25
SWEATUSDTSWAP,60,20250604,090000,0.003418,0.003443,0.003413,0.003424,486.72
SWEATUSDTSWAP,60,20250604,100000,0.003425,0.003439,0.003396,0.003429,594.87
SWEATUSDTSWAP,60,20250604,110000,0.003428,0.003456,0.00341,0.003417,535.3
SWEATUSDTSWAP,60,20250604,120000,0.003417,0.003427,0.003395,0.003406,497.77
SWEATUSDTSWAP,60,20250604,130000,0.003403,0.003424,0.003314,0.003387,6072.04
SWEATUSDTSWAP,60,20250604,140000,0.003388,0.003388,0.003341,0.003355,609.02
SWEATUSDTSWAP,60,20250604,150000,0.003354,0.003366,0.00326,0.00327,1590.93
SWEATUSDTSWAP,60,20250604,160000,0.003271,0.003285,0.0032,0.003229,743.48
SWEATUSDTSWAP,60,20250604,170000,0.003226,0.003249,0.003188,0.003248,421.52
SWEATUSDTSWAP,60,20250604,180000,0.003247,0.003292,0.003245,0.003281,387.74
SWEATUSDTSWAP,60,20250604,190000,0.00328,0.003283,0.003261,0.003264,128.73
SWEATUSDTSWAP,60,20250604,200000,0.003264,0.003264,0.003203,0.00322,191.32
SWEATUSDTSWAP,60,20250604,210000,0.003222,0.003238,0.003201,0.003201,181.57
SWEATUSDTSWAP,60,20250604,220000,0.003202,0.003208,0.003191,0.0032,107.6
