<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWEATUSDTSWAP,3,20250604,172700,0.003217,0.003222,0.003214,0.00322,24.08
SWEATUSDTSWAP,3,20250604,173000,0.003219,0.003221,0.003214,0.003216,5.53
SWEATUSDTSWAP,3,20250604,173300,0.003216,0.003227,0.003216,0.003219,26.67
SWEATUSDTSWAP,3,20250604,173600,0.003218,0.003218,0.003214,0.003218,2.76
SWEATUSDTSWAP,3,20250604,173900,0.003216,0.003226,0.003216,0.003226,4.04
SWEATUSDTSWAP,3,20250604,174200,0.003224,0.003229,0.003214,0.003216,16.74
SWEATUSDTSWAP,3,20250604,174500,0.003217,0.003225,0.003217,0.003225,2.98
SWEATUSDTSWAP,3,20250604,174800,0.003227,0.003234,0.003227,0.003227,8.81
SWEATUSDTSWAP,3,20250604,175100,0.003229,0.003236,0.003229,0.003236,3.82
SWEATUSDTSWAP,3,20250604,175400,0.003239,0.003249,0.003239,0.003249,16.5
SWEATUSDTSWAP,3,20250604,175700,0.003246,0.003249,0.003243,0.003248,17.17
SWEATUSDTSWAP,3,20250604,180000,0.003247,0.00328,0.003245,0.003255,98.09
SWEATUSDTSWAP,3,20250604,180300,0.003252,0.003257,0.00325,0.003255,12.26
SWEATUSDTSWAP,3,20250604,180600,0.003257,0.003278,0.003257,0.003261,50.76
SWEATUSDTSWAP,3,20250604,180900,0.003265,0.003274,0.00326,0.003272,24.94
SWEATUSDTSWAP,3,20250604,181200,0.003274,0.003281,0.003271,0.003279,20.18
SWEATUSDTSWAP,3,20250604,181500,0.003281,0.003289,0.003278,0.003279,17.76
SWEATUSDTSWAP,3,20250604,181800,0.00328,0.003283,0.003275,0.00328,9.91
SWEATUSDTSWAP,3,20250604,182100,0.003281,0.003287,0.00328,0.003286,7.5
SWEATUSDTSWAP,3,20250604,182400,0.003286,0.003292,0.003284,0.003284,6.96
SWEATUSDTSWAP,3,20250604,182700,0.003283,0.003291,0.003283,0.003283,22.29
SWEATUSDTSWAP,3,20250604,183000,0.003281,0.003285,0.003277,0.003285,16.16
SWEATUSDTSWAP,3,20250604,183300,0.003285,0.003289,0.00328,0.00328,18.35
SWEATUSDTSWAP,3,20250604,183600,0.003284,0.003287,0.003283,0.003286,9.73
SWEATUSDTSWAP,3,20250604,183900,0.003283,0.003283,0.003278,0.003279,3.26
SWEATUSDTSWAP,3,20250604,184200,0.003279,0.003281,0.003274,0.003276,6.75
SWEATUSDTSWAP,3,20250604,184500,0.003278,0.003288,0.003277,0.003288,15.24
SWEATUSDTSWAP,3,20250604,184800,0.003283,0.003289,0.00328,0.003283,9.23
SWEATUSDTSWAP,3,20250604,185100,0.003281,0.003282,0.003278,0.003278,5.22
SWEATUSDTSWAP,3,20250604,185400,0.003276,0.003282,0.003274,0.003282,18.93
SWEATUSDTSWAP,3,20250604,185700,0.00328,0.003284,0.003274,0.003281,16.63
SWEATUSDTSWAP,3,20250604,190000,0.00328,0.003283,0.003277,0.003277,1.85
SWEATUSDTSWAP,3,20250604,190300,0.003276,0.003279,0.003269,0.003269,19.22
SWEATUSDTSWAP,3,20250604,190600,0.003268,0.003272,0.003262,0.003262,2.98
SWEATUSDTSWAP,3,20250604,190900,0.003263,0.00327,0.003263,0.00327,4.17
SWEATUSDTSWAP,3,20250604,191200,0.003271,0.003271,0.00327,0.00327,0.89
SWEATUSDTSWAP,3,20250604,191500,0.00327,0.003275,0.003269,0.003271,20.58
SWEATUSDTSWAP,3,20250604,191800,0.003268,0.003268,0.003261,0.003268,7.47
SWEATUSDTSWAP,3,20250604,192100,0.00327,0.003279,0.003266,0.003266,27.34
SWEATUSDTSWAP,3,20250604,192400,0.003267,0.003271,0.003266,0.003271,3.17
SWEATUSDTSWAP,3,20250604,192700,0.003269,0.003278,0.003269,0.003272,8.25
SWEATUSDTSWAP,3,20250604,193000,0.003271,0.003274,0.003269,0.003272,4.25
