<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWELLUSDTSWAP,1440,20250225,030000,0.01193,0.01309,0.0112,0.01263,22586.39
SWELLUSDTSWAP,1440,20250226,030000,0.01263,0.01284,0.01177,0.01263,14906.13
SWELLUSDTSWAP,1440,20250227,030000,0.01264,0.01458,0.01233,0.01312,53440.61
SWELLUSDTSWAP,1440,20250228,030000,0.01311,0.01626,0.01215,0.01388,60249.81
SWELLUSDTSWAP,1440,20250301,030000,0.01387,0.01416,0.01283,0.01335,36664.83
SWELLUSDTSWAP,1440,20250302,030000,0.01334,0.01412,0.0127,0.01391,30103.07
SWELLUSDTSWAP,1440,20250303,030000,0.01391,0.01398,0.01223,0.01325,78555.14
SWELLUSDTSWAP,1440,20250304,030000,0.01324,0.01338,0.01145,0.01283,47290.47
SWELLUSDTSWAP,1440,20250305,030000,0.01282,0.01307,0.01186,0.01258,20749.77
SWELLUSDTSWAP,1440,20250306,030000,0.01259,0.01268,0.01123,0.01158,19883.61
SWELLUSDTSWAP,1440,20250307,030000,0.01159,0.01262,0.01104,0.01187,28141.41
SWELLUSDTSWAP,1440,20250308,030000,0.01186,0.01206,0.01141,0.01168,10717.16
SWELLUSDTSWAP,1440,20250309,030000,0.01167,0.01173,0.01024,0.01073,12104.08
SWELLUSDTSWAP,1440,20250310,030000,0.01074,0.01129,0.00985,0.01022,13560.6
SWELLUSDTSWAP,1440,20250311,030000,0.01022,0.01121,0.00958,0.01114,16463.31
SWELLUSDTSWAP,1440,20250312,030000,0.01112,0.01165,0.0107,0.01094,17637.04
SWELLUSDTSWAP,1440,20250313,030000,0.01096,0.01104,0.01034,0.01049,7333.54
SWELLUSDTSWAP,1440,20250314,030000,0.01049,0.01094,0.01047,0.01065,6383.28
SWELLUSDTSWAP,1440,20250315,030000,0.01066,0.01123,0.01058,0.01122,4483.23
SWELLUSDTSWAP,1440,20250316,030000,0.01122,0.01184,0.01077,0.01084,15916.85
SWELLUSDTSWAP,1440,20250317,030000,0.01084,0.01151,0.01084,0.01138,8368.3
SWELLUSDTSWAP,1440,20250318,030000,0.01138,0.01178,0.01067,0.01099,10360.03
SWELLUSDTSWAP,1440,20250319,030000,0.01099,0.01175,0.01098,0.01152,10498.46
SWELLUSDTSWAP,1440,20250320,030000,0.01153,0.01173,0.0112,0.01122,5742.38
