<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWELLUSDTSWAP,60,20250531,190000,0.008816,0.00892,0.008789,0.008855,168.82
SWELLUSDTSWAP,60,20250531,200000,0.008852,0.008871,0.008727,0.008732,143.07
SWELLUSDTSWAP,60,20250531,210000,0.008731,0.008826,0.008721,0.008786,103.1
SWELLUSDTSWAP,60,20250531,220000,0.008793,0.008881,0.008777,0.00885,114.88
SWELLUSDTSWAP,60,20250531,230000,0.008852,0.008913,0.008844,0.008903,86.96
SWELLUSDTSWAP,60,20250601,000000,0.008906,0.008955,0.008891,0.008919,68.75
SWELLUSDTSWAP,60,20250601,010000,0.008919,0.009076,0.00888,0.009001,176.95
SWELLUSDTSWAP,60,20250601,020000,0.009001,0.009062,0.008938,0.00897,164.88
SWELLUSDTSWAP,60,20250601,030000,0.008969,0.009064,0.008942,0.008992,201.59
SWELLUSDTSWAP,60,20250601,040000,0.008991,0.00909,0.008984,0.009007,113.39
SWELLUSDTSWAP,60,20250601,050000,0.009003,0.009042,0.008856,0.00903,320.82
SWELLUSDTSWAP,60,20250601,060000,0.009034,0.00907,0.008957,0.008976,159.5
SWELLUSDTSWAP,60,20250601,070000,0.008985,0.009182,0.008933,0.009156,153.01
SWELLUSDTSWAP,60,20250601,080000,0.009156,0.009222,0.009117,0.009141,304.42
SWELLUSDTSWAP,60,20250601,090000,0.00914,0.009144,0.009048,0.009059,142.38
SWELLUSDTSWAP,60,20250601,100000,0.009051,0.009069,0.008989,0.009012,176.49
SWELLUSDTSWAP,60,20250601,110000,0.009017,0.009027,0.008862,0.008887,211.69
SWELLUSDTSWAP,60,20250601,120000,0.008888,0.008962,0.008787,0.00884,497.59
SWELLUSDTSWAP,60,20250601,130000,0.008837,0.008952,0.008799,0.008928,235.13
SWELLUSDTSWAP,60,20250601,140000,0.008926,0.009056,0.008882,0.008993,132.35
SWELLUSDTSWAP,60,20250601,150000,0.008992,0.009063,0.00893,0.008981,288.19
SWELLUSDTSWAP,60,20250601,160000,0.00898,0.00931,0.008947,0.00927,328.13
SWELLUSDTSWAP,60,20250601,170000,0.009266,0.00946,0.009252,0.009434,725.17
SWELLUSDTSWAP,60,20250601,180000,0.009433,0.00944,0.009308,0.009359,318.0
SWELLUSDTSWAP,60,20250601,190000,0.009358,0.009815,0.009345,0.009674,1374.56
SWELLUSDTSWAP,60,20250601,200000,0.009678,0.009794,0.009602,0.009632,762.48
SWELLUSDTSWAP,60,20250601,210000,0.00963,0.009799,0.009564,0.009712,918.5
SWELLUSDTSWAP,60,20250601,220000,0.009715,0.009828,0.009653,0.009794,729.73
SWELLUSDTSWAP,60,20250601,230000,0.009796,0.009899,0.00976,0.009837,306.36
SWELLUSDTSWAP,60,20250602,000000,0.00983,0.009832,0.009626,0.009723,237.11
SWELLUSDTSWAP,60,20250602,010000,0.009712,0.009754,0.009652,0.009715,208.7
SWELLUSDTSWAP,60,20250602,020000,0.009715,0.009837,0.009705,0.009837,186.03
SWELLUSDTSWAP,60,20250602,030000,0.00983,0.009836,0.009673,0.009696,245.48
SWELLUSDTSWAP,60,20250602,040000,0.009698,0.009746,0.009609,0.009662,169.49
SWELLUSDTSWAP,60,20250602,050000,0.009665,0.009669,0.009516,0.009576,173.13
SWELLUSDTSWAP,60,20250602,060000,0.009578,0.009584,0.009453,0.009457,332.8
SWELLUSDTSWAP,60,20250602,070000,0.009458,0.009529,0.00937,0.009376,215.29
SWELLUSDTSWAP,60,20250602,080000,0.009378,0.009495,0.009356,0.009468,283.43
SWELLUSDTSWAP,60,20250602,090000,0.009467,0.009532,0.009404,0.009473,106.05
SWELLUSDTSWAP,60,20250602,100000,0.009478,0.009582,0.009468,0.009533,82.31
SWELLUSDTSWAP,60,20250602,110000,0.009526,0.009572,0.009443,0.009466,75.0
SWELLUSDTSWAP,60,20250602,120000,0.009476,0.009476,0.009298,0.009327,163.22
SWELLUSDTSWAP,60,20250602,130000,0.009328,0.009363,0.009225,0.009254,174.23
SWELLUSDTSWAP,60,20250602,140000,0.009254,0.009307,0.009225,0.009284,92.75
SWELLUSDTSWAP,60,20250602,150000,0.009293,0.009402,0.009278,0.009402,108.18
SWELLUSDTSWAP,60,20250602,160000,0.009399,0.00944,0.009308,0.009352,412.31
SWELLUSDTSWAP,60,20250602,170000,0.009348,0.009605,0.009285,0.009589,427.69
SWELLUSDTSWAP,60,20250602,180000,0.009595,0.009625,0.009452,0.009599,299.66
SWELLUSDTSWAP,60,20250602,190000,0.009608,0.009629,0.009504,0.009622,129.76
SWELLUSDTSWAP,60,20250602,200000,0.009623,0.009715,0.00957,0.009706,143.68
