<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SWELLUSDTSWAP,3,20250604,172700,0.009316,0.009316,0.009306,0.009306,0.12
SWELLUSDTSWAP,3,20250604,173000,0.009304,0.009305,0.009275,0.0093,17.1
SWELLUSDTSWAP,3,20250604,173300,0.009304,0.00932,0.009304,0.00931,2.58
SWELLUSDTSWAP,3,20250604,173600,0.009304,0.009309,0.00929,0.009292,3.28
SWELLUSDTSWAP,3,20250604,173900,0.009298,0.00932,0.009298,0.009316,10.69
SWELLUSDTSWAP,3,20250604,174200,0.009318,0.009346,0.009318,0.009346,1.15
SWELLUSDTSWAP,3,20250604,174500,0.00934,0.009355,0.009336,0.009355,0.11
SWELLUSDTSWAP,3,20250604,174800,0.009357,0.009397,0.009357,0.009375,21.74
SWELLUSDTSWAP,3,20250604,175100,0.009373,0.009387,0.009366,0.009387,0.47
SWELLUSDTSWAP,3,20250604,175400,0.009384,0.009403,0.009384,0.009399,0.19
SWELLUSDTSWAP,3,20250604,175700,0.009401,0.009422,0.0094,0.009413,12.46
SWELLUSDTSWAP,3,20250604,180000,0.009412,0.009444,0.009407,0.009409,10.82
SWELLUSDTSWAP,3,20250604,180300,0.009408,0.009413,0.009402,0.009408,1.68
SWELLUSDTSWAP,3,20250604,180600,0.00941,0.009474,0.009409,0.009445,41.68
SWELLUSDTSWAP,3,20250604,180900,0.009448,0.009468,0.009448,0.009464,9.07
SWELLUSDTSWAP,3,20250604,181200,0.009464,0.009476,0.009461,0.00947,3.18
SWELLUSDTSWAP,3,20250604,181500,0.009466,0.009507,0.009466,0.009499,11.85
SWELLUSDTSWAP,3,20250604,181800,0.009495,0.009495,0.009475,0.009484,1.63
SWELLUSDTSWAP,3,20250604,182100,0.00948,0.009493,0.009474,0.009488,0.57
SWELLUSDTSWAP,3,20250604,182400,0.009491,0.009495,0.00948,0.00948,0.52
SWELLUSDTSWAP,3,20250604,182700,0.009482,0.009492,0.009482,0.009485,3.66
SWELLUSDTSWAP,3,20250604,183000,0.009483,0.009489,0.009455,0.009489,1.94
SWELLUSDTSWAP,3,20250604,183300,0.009488,0.0095,0.009479,0.009479,1.89
SWELLUSDTSWAP,3,20250604,183600,0.009486,0.009531,0.009486,0.009531,3.97
SWELLUSDTSWAP,3,20250604,183900,0.009526,0.009546,0.009525,0.009537,1.91
SWELLUSDTSWAP,3,20250604,184200,0.009548,0.009564,0.009542,0.009548,27.82
SWELLUSDTSWAP,3,20250604,184500,0.009555,0.009561,0.00954,0.00954,2.41
SWELLUSDTSWAP,3,20250604,184800,0.009538,0.009538,0.009504,0.009525,11.56
SWELLUSDTSWAP,3,20250604,185100,0.009517,0.009539,0.009501,0.009532,6.87
SWELLUSDTSWAP,3,20250604,185400,0.009525,0.009598,0.009524,0.009598,12.85
SWELLUSDTSWAP,3,20250604,185700,0.009588,0.009588,0.009567,0.009567,1.98
SWELLUSDTSWAP,3,20250604,190000,0.009568,0.009568,0.009552,0.009558,29.03
SWELLUSDTSWAP,3,20250604,190300,0.009557,0.009579,0.009552,0.009579,1.34
SWELLUSDTSWAP,3,20250604,190600,0.009564,0.009597,0.009561,0.00957,1.67
SWELLUSDTSWAP,3,20250604,190900,0.009575,0.009627,0.009575,0.009627,18.5
SWELLUSDTSWAP,3,20250604,191200,0.009623,0.009661,0.009593,0.009603,46.01
SWELLUSDTSWAP,3,20250604,191500,0.009603,0.00961,0.009567,0.009579,16.0
SWELLUSDTSWAP,3,20250604,191800,0.009585,0.009621,0.009585,0.009621,5.52
SWELLUSDTSWAP,3,20250604,192100,0.009616,0.009636,0.009608,0.009608,31.87
SWELLUSDTSWAP,3,20250604,192400,0.009606,0.009606,0.00955,0.009552,11.7
SWELLUSDTSWAP,3,20250604,192700,0.009549,0.009582,0.009549,0.00957,24.22
SWELLUSDTSWAP,3,20250604,193000,0.009567,0.009576,0.009558,0.009567,1.04
SWELLUSDTSWAP,3,20250604,193300,0.009577,0.009585,0.009557,0.009581,10.97
SWELLUSDTSWAP,3,20250604,193600,0.009579,0.009579,0.009561,0.009575,2.05
SWELLUSDTSWAP,3,20250604,193900,0.009576,0.009585,0.009567,0.009567,0.17
SWELLUSDTSWAP,3,20250604,194200,0.009565,0.009568,0.009558,0.009558,0.72
SWELLUSDTSWAP,3,20250604,194500,0.009564,0.009564,0.009536,0.009561,3.12
SWELLUSDTSWAP,3,20250604,194800,0.009557,0.009576,0.009549,0.009576,2.98
SWELLUSDTSWAP,3,20250604,195100,0.009574,0.009574,0.00953,0.009546,53.15
SWELLUSDTSWAP,3,20250604,195400,0.009538,0.009555,0.009534,0.009547,3.81
SWELLUSDTSWAP,3,20250604,195700,0.009543,0.009543,0.009525,0.009537,30.71
SWELLUSDTSWAP,3,20250604,200000,0.00954,0.009553,0.009528,0.009536,5.22
SWELLUSDTSWAP,3,20250604,200300,0.009535,0.009544,0.009527,0.009531,3.73
SWELLUSDTSWAP,3,20250604,200600,0.009529,0.009537,0.009513,0.009534,3.74
SWELLUSDTSWAP,3,20250604,200900,0.009531,0.009531,0.009513,0.00952,4.83
SWELLUSDTSWAP,3,20250604,201200,0.009521,0.009539,0.009521,0.009538,1.43
SWELLUSDTSWAP,3,20250604,201500,0.009529,0.009529,0.009485,0.009485,4.66
SWELLUSDTSWAP,3,20250604,201800,0.009498,0.009539,0.009498,0.009528,7.11
SWELLUSDTSWAP,3,20250604,202100,0.009528,0.009538,0.009528,0.009538,0.49
SWELLUSDTSWAP,3,20250604,202400,0.00954,0.009546,0.009515,0.00954,21.58
SWELLUSDTSWAP,3,20250604,202700,0.00954,0.00954,0.009516,0.009521,0.62
SWELLUSDTSWAP,3,20250604,203000,0.009516,0.009516,0.009465,0.009465,4.65
SWELLUSDTSWAP,3,20250604,203300,0.009471,0.00951,0.009461,0.009495,1.58
SWELLUSDTSWAP,3,20250604,203600,0.009494,0.009494,0.009469,0.009486,6.08
SWELLUSDTSWAP,3,20250604,203900,0.00948,0.00948,0.009464,0.009475,0.27
SWELLUSDTSWAP,3,20250604,204200,0.009477,0.009483,0.009471,0.009472,0.57
SWELLUSDTSWAP,3,20250604,204500,0.009473,0.009496,0.009471,0.009474,0.45
SWELLUSDTSWAP,3,20250604,204800,0.009473,0.009523,0.009473,0.009503,1.27
SWELLUSDTSWAP,3,20250604,205100,0.009502,0.009537,0.009502,0.00952,1.88
SWELLUSDTSWAP,3,20250604,205400,0.009524,0.009534,0.009524,0.009526,0.56
SWELLUSDTSWAP,3,20250604,205700,0.009525,0.009525,0.009511,0.009511,0.28
SWELLUSDTSWAP,3,20250604,210000,0.009514,0.009546,0.009512,0.009541,31.19
