<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRXUSDTSWAP,1440,20250225,030000,0.24003,0.24408,0.22513,0.23077,79544.77
TRXUSDTSWAP,1440,20250226,030000,0.23076,0.23195,0.22256,0.22712,45807.43
TRXUSDTSWAP,1440,20250227,030000,0.22713,0.22983,0.2255,0.22859,23472.58
TRXUSDTSWAP,1440,20250228,030000,0.2286,0.2335,0.21682,0.2333,53854.68
TRXUSDTSWAP,1440,20250301,030000,0.23333,0.2373,0.22955,0.23411,22702.64
TRXUSDTSWAP,1440,20250302,030000,0.23412,0.24762,0.23193,0.24407,36972.29
TRXUSDTSWAP,1440,20250303,030000,0.2441,0.2458,0.22724,0.23121,67105.26
TRXUSDTSWAP,1440,20250304,030000,0.2312,0.24307,0.2266,0.2426,61915.71
TRXUSDTSWAP,1440,20250305,030000,0.2426,0.24608,0.2406,0.24361,28208.51
TRXUSDTSWAP,1440,20250306,030000,0.24358,0.24697,0.239,0.24002,28229.1
TRXUSDTSWAP,1440,20250307,030000,0.24005,0.2469,0.23502,0.24359,41000.67
TRXUSDTSWAP,1440,20250308,030000,0.2436,0.25119,0.24354,0.24387,35735.79
TRXUSDTSWAP,1440,20250309,030000,0.24387,0.24426,0.23157,0.23204,39746.3
TRXUSDTSWAP,1440,20250310,030000,0.23207,0.23814,0.22679,0.22906,52400.55
TRXUSDTSWAP,1440,20250311,030000,0.22907,0.23256,0.22238,0.22424,53126.99
TRXUSDTSWAP,1440,20250312,030000,0.22423,0.22638,0.21982,0.2229,35551.96
TRXUSDTSWAP,1440,20250313,030000,0.2229,0.22692,0.22211,0.22517,28111.99
TRXUSDTSWAP,1440,20250314,030000,0.22517,0.2263,0.22049,0.22248,28380.49
TRXUSDTSWAP,1440,20250315,030000,0.22247,0.22514,0.21999,0.22155,25287.82
TRXUSDTSWAP,1440,20250316,030000,0.22154,0.22166,0.21076,0.21191,38863.45
TRXUSDTSWAP,1440,20250317,030000,0.2119,0.22234,0.21095,0.22068,38433.88
TRXUSDTSWAP,1440,20250318,030000,0.22067,0.23946,0.22,0.23706,44712.12
TRXUSDTSWAP,1440,20250319,030000,0.23709,0.24383,0.22876,0.23087,66269.7
TRXUSDTSWAP,1440,20250320,030000,0.2309,0.23706,0.22852,0.23375,36337.78
TRXUSDTSWAP,1440,20250321,030000,0.23376,0.23794,0.2299,0.2336,23174.53
TRXUSDTSWAP,1440,20250322,030000,0.2336,0.23849,0.23284,0.23705,17034.0
TRXUSDTSWAP,1440,20250323,030000,0.23704,0.24091,0.22963,0.23002,24157.63
TRXUSDTSWAP,1440,20250324,030000,0.23001,0.23021,0.22504,0.22813,34316.65
TRXUSDTSWAP,1440,20250325,030000,0.22813,0.22914,0.22585,0.22726,17261.04
TRXUSDTSWAP,1440,20250326,030000,0.2273,0.23192,0.22676,0.23142,22300.25
TRXUSDTSWAP,1440,20250327,030000,0.23142,0.23542,0.23075,0.23509,22332.01
TRXUSDTSWAP,1440,20250328,030000,0.2351,0.23522,0.229,0.23232,26934.9
TRXUSDTSWAP,1440,20250329,030000,0.23239,0.23587,0.23151,0.23166,25428.46
TRXUSDTSWAP,1440,20250330,030000,0.23165,0.23291,0.22947,0.23183,29324.09
TRXUSDTSWAP,1440,20250331,030000,0.23185,0.24019,0.23092,0.23876,28970.04
TRXUSDTSWAP,1440,20250401,030000,0.23876,0.23919,0.23316,0.23782,29674.38
TRXUSDTSWAP,1440,20250402,030000,0.23781,0.24027,0.23208,0.23407,40634.93
TRXUSDTSWAP,1440,20250403,030000,0.23404,0.2387,0.22996,0.2382,33639.53
TRXUSDTSWAP,1440,20250404,030000,0.23823,0.24193,0.23654,0.23915,28316.43
TRXUSDTSWAP,1440,20250405,030000,0.23915,0.23928,0.23576,0.2374,17002.76
TRXUSDTSWAP,1440,20250406,030000,0.2374,0.24005,0.22826,0.23012,32572.65
TRXUSDTSWAP,1440,20250407,030000,0.23012,0.23231,0.22072,0.22868,55472.97
TRXUSDTSWAP,1440,20250408,030000,0.22867,0.23686,0.22859,0.23057,59675.66
TRXUSDTSWAP,1440,20250409,030000,0.23058,0.2393,0.22619,0.23853,65047.0
TRXUSDTSWAP,1440,20250410,030000,0.23853,0.24426,0.23453,0.23633,53433.01
TRXUSDTSWAP,1440,20250411,030000,0.23634,0.24393,0.23442,0.24294,30224.46
TRXUSDTSWAP,1440,20250412,030000,0.24295,0.2509,0.24024,0.24603,34816.95
TRXUSDTSWAP,1440,20250413,030000,0.24603,0.25474,0.24554,0.25474,45954.63
TRXUSDTSWAP,1440,20250414,030000,0.25475,0.25986,0.25129,0.25219,55789.15
TRXUSDTSWAP,1440,20250415,030000,0.25218,0.25389,0.24683,0.25048,36946.62
TRXUSDTSWAP,1440,20250416,030000,0.25049,0.25527,0.24737,0.24749,40695.28
